r_bohr,rho_e_bohr3__H_q0_mult2_hund,rho_e_bohr3__He_q0_mult1_hund,rho_e_bohr3__Li_q0_mult2_hund,rho_e_bohr3__Be_q0_mult1_hund,rho_e_bohr3__B_q0_mult2_hund,rho_e_bohr3__C_q0_mult3_hund,rho_e_bohr3__N_q0_mult4_hund,rho_e_bohr3__O_q0_mult3_hund,rho_e_bohr3__F_q0_mult2_hund,rho_e_bohr3__Ne_q0_mult1_hund,rho_e_bohr3__Na_q0_mult2_hund,rho_e_bohr3__Mg_q0_mult1_hund,rho_e_bohr3__Al_q0_mult2_hund,rho_e_bohr3__Si_q0_mult3_hund,rho_e_bohr3__P_q0_mult4_hund,rho_e_bohr3__S_q0_mult3_hund,rho_e_bohr3__Cl_q0_mult2_hund,rho_e_bohr3__Ar_q0_mult1_hund,rho_e_bohr3__K_q0_mult2_hund,rho_e_bohr3__Ca_q0_mult1_hund,rho_e_bohr3__Sc_q0_mult2_hund,rho_e_bohr3__Ti_q0_mult3_hund,rho_e_bohr3__V_q0_mult4_hund,rho_e_bohr3__Cr_q0_mult7_hund,rho_e_bohr3__Mn_q0_mult6_hund,rho_e_bohr3__Fe_q0_mult5_hund,rho_e_bohr3__Co_q0_mult4_hund,rho_e_bohr3__Ni_q0_mult3_hund,rho_e_bohr3__Cu_q0_mult2_hund,rho_e_bohr3__Zn_q0_mult1_hund,rho_e_bohr3__Ga_q0_mult2_hund,rho_e_bohr3__Ge_q0_mult3_hund,rho_e_bohr3__As_q0_mult4_hund,rho_e_bohr3__Se_q0_mult3_hund,rho_e_bohr3__Br_q0_mult2_hund,rho_e_bohr3__Kr_q0_mult1_hund,rho_e_bohr3__Rb_q0_mult2_hund,rho_e_bohr3__Sr_q0_mult1_hund,rho_e_bohr3__Y_q0_mult2_hund,rho_e_bohr3__Zr_q0_mult3_hund,rho_e_bohr3__Nb_q0_mult6_hund,rho_e_bohr3__Mo_q0_mult7_hund,rho_e_bohr3__Tc_q0_mult6_hund,rho_e_bohr3__Ru_q0_mult5_hund,rho_e_bohr3__Rh_q0_mult4_hund,rho_e_bohr3__Pd_q0_mult1_hund,rho_e_bohr3__Ag_q0_mult2_hund,rho_e_bohr3__Cd_q0_mult1_hund,rho_e_bohr3__In_q0_mult2_hund,rho_e_bohr3__Sn_q0_mult3_hund,rho_e_bohr3__Sb_q0_mult4_hund,rho_e_bohr3__Te_q0_mult3_hund,rho_e_bohr3__I_q0_mult2_hund,rho_e_bohr3__Xe_q0_mult1_hund,rho_e_bohr3__Cs_q0_mult2_hund,rho_e_bohr3__Ba_q0_mult1_hund,rho_e_bohr3__La_q0_mult2_hund,rho_e_bohr3__Ce_q0_mult3_hund,rho_e_bohr3__Pr_q0_mult4_hund,rho_e_bohr3__Nd_q0_mult5_hund,rho_e_bohr3__Pm_q0_mult6_hund,rho_e_bohr3__Sm_q0_mult7_hund,rho_e_bohr3__Eu_q0_mult8_hund,rho_e_bohr3__Gd_q0_mult9_hund,rho_e_bohr3__Tb_q0_mult6_hund,rho_e_bohr3__Dy_q0_mult5_hund,rho_e_bohr3__Ho_q0_mult4_hund,rho_e_bohr3__Er_q0_mult3_hund,rho_e_bohr3__Tm_q0_mult2_hund,rho_e_bohr3__Yb_q0_mult1_hund,rho_e_bohr3__Lu_q0_mult2_hund,rho_e_bohr3__Hf_q0_mult3_hund,rho_e_bohr3__Ta_q0_mult4_hund,rho_e_bohr3__W_q0_mult5_hund,rho_e_bohr3__Re_q0_mult6_hund,rho_e_bohr3__Os_q0_mult5_hund,rho_e_bohr3__Ir_q0_mult4_hund,rho_e_bohr3__Pt_q0_mult3_hund,rho_e_bohr3__Au_q0_mult2_hund,rho_e_bohr3__Hg_q0_mult1_hund,rho_e_bohr3__Tl_q0_mult2_hund,rho_e_bohr3__Pb_q0_mult3_hund,rho_e_bohr3__Bi_q0_mult4_hund,rho_e_bohr3__Po_q0_mult3_hund,rho_e_bohr3__At_q0_mult2_hund,rho_e_bohr3__Rn_q0_mult1_hund,rho_e_bohr3__Fr_q0_mult2_hund,rho_e_bohr3__Ra_q0_mult1_hund,rho_e_bohr3__Ac_q0_mult2_hund,rho_e_bohr3__Th_q0_mult3_hund,rho_e_bohr3__Pa_q0_mult4_hund,rho_e_bohr3__U_q0_mult5_hund,rho_e_bohr3__Np_q0_mult6_hund,rho_e_bohr3__Pu_q0_mult7_hund,rho_e_bohr3__Am_q0_mult8_hund,rho_e_bohr3__Cm_q0_mult9_hund,rho_e_bohr3__Bk_q0_mult6_hund,rho_e_bohr3__Cf_q0_mult5_hund,rho_e_bohr3__Es_q0_mult4_hund,rho_e_bohr3__Fm_q0_mult3_hund,rho_e_bohr3__Md_q0_mult2_hund,rho_e_bohr3__No_q0_mult1_hund,rho_e_bohr3__Lr_q0_mult2_hund
1.0000000000000004e-06,0.32297826598794893,3.6487197962329949,14.354621715645616,37.461154836766198,77.333136751325441,139.9124234649918,231.17269744687309,358.40159462942478,528.97060631622617,751.1153498583252,1071.8999115354698,1457.3274618168966,1933.1169910551257,2516.775414932386,3224.2471050514396,4075.1780166267599,5083.594935627827,6271.1375506386248,7842.1224442674256,9475.5191393923669,11407.777616743617,13665.920124724071,16274.599849362387,19191.07036752909,22593.709622086986,26484.021583053523,30887.476927294734,35995.440652241043,41470.023681490595,47920.458860946412,54779.433060346142,62951.535288059145,72044.21796071314,82229.784432848741,93848.496315464465,106498.59763196936,120825.82518739731,136550.33294871455,154307.53653784178,174028.55737697455,195632.15086386225,219587.8638000309,246860.80576491845,275824.62894423888,309197.89028057246,345482.50215047959,386426.73375228874,429694.19623811601,479515.61700639827,533001.20203877485,594270.43672280619,657368.2957927098,733500.65922871931,812768.05261494196,903235.5669279967,997676.69706289342,1108785.5302977411,1229388.1051897702,1362333.2006111986,1509586.5379077271,1669070.765785157,1837096.6085048793,2033269.1447402497,2241009.3586764331,2477509.203692127,2728775.3960351544,3015252.2342847157,3324674.2980788723,3672588.173793342,4040191.6267756186,4460054.9883430218,4903217.7173010763,5410783.1332212267,5960660.1262672711,6564011.3837074693,7215213.4892644975,7960236.7527058367,8774249.5944949798,9669520.7830290329,10625745.125847705,11699277.872370597,12879967.556193516,14210807.872792188,15696492.721184365,17322492.406643268,18901894.800137609,20860422.636524945,22975879.286798283,25375027.913637243,27900940.408566646,30874285.789394945,33890121.720939577,37517972.294980258,41200844.187523901,45641173.209672526,50301274.707497776,55694425.625409946,61413286.174942993,67970807.6283966,74924187.653360024,82982482.950729251,91971144.26583606,101689675.77906959
1.0150494464681606e-06,0.32297826598659229,3.6487197961844267,14.354621713199311,37.461154816038409,77.333136684215091,139.91242323332625,231.17269677495818,358.40159294592638,528.97060246501189,751.11534182510536,1071.8998581156127,1457.3273487794459,1933.1167908443495,2516.775083504237,3224.2465866020061,4075.1772341422889,5083.5938245261495,6271.136033511295,7842.1191754871506,9475.5152811474254,11407.772684305928,13665.913678806137,16274.59151053787,19191.060360074342,22593.697205789009,26484.006160023666,30887.458150210365,35995.416948721773,41469.996777781344,47920.426225080068,54779.397143828093,62951.491834191031,72044.166547615794,82229.724022301554,93848.423904790936,106498.51435760414,120825.72806737531,136550.22214609661,154307.40831570746,174028.40979487839,195631.98368890624,219587.67490563157,246860.587610988,275824.38660561637,309197.61188489117,345482.18777241756,386426.37414846092,429693.79992356745,479515.16581608274,533000.69982409081,594269.8630925247,657367.67150469101,733499.93682743958,812767.25073431409,903234.65758924873,997675.70017069706,1108784.3933101066,1229386.8225427833,1362331.7550865877,1509584.9067565743,1669068.9443595139,1837094.6196562946,2033266.9034720536,2241006.8848954989,2477506.4248457868,2728772.3298956598,3015248.7922946746,3324670.4713254697,3672583.878380185,4040186.8951453492,4460049.6884400016,4903211.8888517162,5410776.610063782,5960652.8791222619,6564003.3424004801,7215204.633685058,7960226.8448880641,8774238.5493731871,9669508.4836677089,10625731.590282854,11699262.856883727,12879950.906836197,14210789.258918839,15696471.832478961,17322469.053575117,18901869.770535387,20860394.666503966,22975848.272913065,25374993.197200015,27900902.181753509,30874242.761393063,33890074.644859508,37517919.303729907,41200786.166218668,45641107.855276644,50301202.383656234,55694344.431235753,61413196.288404942,67970707.020181596,74924076.549672425,82982358.535236463,91971004.7844612,101689520.68671021
1.0303253787753168e-06,0.3229782659851948,3.6487197961343822,14.354621710678812,37.461154794682045,77.333136615069719,139.91242299463528,231.17269608266741,358.40159121137543,528.97059849700895,751.11533354827645,1071.8998030758164,1457.3272323142037,1933.1165845623536,2516.7747420258802,3224.2460524312582,4075.1764279301351,5083.592679732089,6271.134470379644,7842.1158075909825,9475.5113059118266,11407.767602305757,13665.907037434405,16274.582918863611,19191.050049172751,22593.684413003346,26483.990269336566,30887.438803767258,35995.392526467665,41469.969058296709,47920.392599628933,54779.360138240794,62951.447062706669,72044.113575561001,82229.661779973772,93848.34929847077,106498.42855817736,120825.6280024607,136550.10798369389,154307.27620558866,174028.25773775711,195631.81144481606,219587.48028350377,246860.36284211278,275824.13691869134,309197.32504757051,345481.8638616316,386426.0036405531,429693.39159174415,479514.70094451879,533000.18238094263,594269.27206828073,657367.02828657394,733499.19252103753,812766.42453850596,903233.72067690652,997674.67304998916,1108783.2218459039,1229385.5010024416,1362330.2657297365,1509583.2261444917,1669067.0677032736,1837092.5705002751,2033264.594242377,2241004.3361025671,2477503.5617370233,2728769.1707821093,3015245.2459337525,3324666.5285340231,3672579.4527179208,4040182.0200384958,4460044.2278287662,4903205.88366694,5410769.889105401,5960645.4122228837,6563995.0572577622,7215195.5095785912,7960216.6366363838,8774227.1693311427,9669495.8113539312,10625717.644279951,11699247.386083119,12879933.75262128,14210770.080618143,15696450.31036693,17322444.992373794,18901843.981960945,20860365.8483487,22975816.318594418,25374957.428057317,27900862.795789212,30874198.428654481,33890026.141291782,37517864.705627151,41200726.385533303,45641040.519140653,50301127.866739571,55694260.775012612,61413103.676238887,67970603.361226261,74923962.076988935,82982230.347095013,91970861.073596925,101689360.89148936
1.0458312054079828e-06,0.32297826598375468,3.6487197960828235,14.354621708081897,37.461154772678057,77.333136543827379,139.91242274870615,231.17269536938267,358.40158942422352,528.9705944086752,751.11532502044997,1071.899746366958,1457.3271123172296,1933.1163720250402,2516.7743901925769,3224.2455020624916,4075.1755972708261,5083.5915002240599,6271.132859848768,7842.1123375738625,9475.5072101385394,11407.762366208539,13665.90019468297,16274.574066673576,19191.039425624105,22593.671232315377,26483.973896813604,30887.418870703223,35995.367363687947,41469.940498303535,47920.357954590268,54779.322010564858,62951.400933657322,72044.058997282686,82229.597650327953,93848.272429934776,106498.340157132,120825.52490336742,136549.99035964077,154307.14008960492,174028.10106993237,195631.63397789927,219587.27975998702,246860.13125773199,275823.87966066791,309197.02951266477,345481.53012909461,386425.62189795898,429692.97087828844,479514.22197689587,532999.64924760745,594268.66312269028,657366.3655643987,733498.42564535397,812765.5732902803,903232.75535493996,997673.61478423758,1108782.014859804,1229384.1393895051,1362328.7312116507,1509581.4945718236,1669065.1341418482,1837090.4592082908,2033262.2149906193,2241001.710023263,2477500.6118109897,2728765.9158755145,3015241.5920373974,3324662.466186231,3672574.8928573709,4040176.9971048171,4460038.6016366147,4903199.6963880789,5410762.9643487055,5960637.7189061083,6563986.5208861232,7215186.1088032313,7960206.118841528,8774215.4442139119,9669482.7547796369,10625703.275394339,11699231.446163479,12879916.078241251,14210750.320776377,15696428.1356431,17322420.201568522,18901817.41140189,20860336.15634336,22975783.395327937,25374920.574290592,27900822.215527676,30874152.751619019,33889976.166954145,37517808.451951563,41200664.792122416,45640971.141177177,50301051.090252668,55694174.582090005,61413008.255802244,67970496.559030533,74923844.133159831,82982098.271916538,91970713.005002826,101689196.25081387
1.0615703861485017e-06,0.32297826598227103,3.6487197960296989,14.35462170540621,37.46115475000677,77.333136470424677,139.91242249531899,231.17269463446718,358.40158758287595,528.9705901963614,751.11531623401538,1071.8996879384226,1457.3269886814296,1933.11615304273,2516.7740276903373,3224.2449350045508,4075.1747414230922,5083.5902849494778,6271.1312004814581,7842.1087623396506,9475.5029901730195,11407.756971342233,13665.89314444628,16274.564946069384,19191.028479949535,22593.657651964488,26483.95702784626,30887.398333232944,35995.341437931296,41469.911072318937,47920.322259051885,54779.282726779886,62951.353405883419,72044.002764082543,82229.531576142821,93848.193230595745,106498.24907559025,120825.41867810301,136549.86916898438,154306.99984630325,174027.9396516126,195631.45112980585,219587.07315615594,246859.89265120617,275823.61460199469,309196.72501646902,345481.18627701735,386425.22858005075,429692.53740779392,479513.72848582867,532999.09994836501,594268.03571238776,657365.68274680665,733497.63551609521,812764.69623005646,903231.76076197531,997672.52442912851,1108780.7712747906,1229382.7364889754,1362327.150163054,1509579.7104934568,1669063.1419498781,1837088.2838963845,2033259.7635937193,2240999.0043142638,2477497.5724353818,2728762.5622714283,3015237.8273451347,3324658.2806571359,3672570.1947296355,4040171.8218621816,4460032.8048431212,4903193.3214940187,5410755.8296145052,5960629.7923069168,6563977.7256682515,7215176.422970321,7960195.2821180727,8774203.3635587655,9669469.3022939451,10625688.470804114,11699215.022900987,12879897.867924558,14210729.961761098,15696405.288520139,17322394.65903746,18901790.035148147,20860305.563992482,22975749.473734789,25374882.603013694,27900780.404757418,30874105.689527124,33889924.677252233,37517750.492505439,41200601.33102347,45640899.659477383,50300971.985684365,55694085.775554217,61412909.941947281,67970386.518290177,74923722.612938672,82981962.191844523,91970560.446551263,101689026.617768
1.0775464328470257e-06,0.32297826598074231,3.6487197959749627,14.354621702649389,37.461154726647976,77.333136394795886,139.91242223424786,231.17269387726515,358.40158568568881,528.97058585630805,751.1153071811309,1071.8996277380634,1457.3268612964621,1933.1159274199936,2516.7736541956601,3224.2443507513926,4075.1738596231926,5083.5890328238811,6271.1294907969677,7842.1050786983933,9475.4986422498914,11407.751412893202,13665.88588043374,16274.555548913217,19191.017202382613,22593.643659833651,26483.939647383304,30887.377173031964,35995.31472606599,41469.880754087601,47920.285481164567,54779.242251834221,62951.304436977778,72043.9448257857,82229.463498462981,93848.111629787309,106498.15523228339,120825.30923188674,136549.74430358998,154306.85535054904,174027.77333876907,195631.26273738412,219586.86028766283,246859.64680963126,275823.34150616411,309196.41128728603,345480.83199858479,386424.82333587506,429692.09079347661,479513.22003097564,532998.53399307362,594267.38927753363,657364.979224512,733496.82142822526,812763.79257522291,903230.7360105284,997671.40101172309,1108779.4899811954,1229381.2910490311,1362325.5211731526,1509577.8723174359,1669061.0893497071,1837086.0426234831,2033257.2378642471,2240996.2165612075,2477494.4408981083,2728759.106977351,3015233.9484976428,3324653.9682118939,3672565.3541424694,4040166.489692593,4460026.8322756439,4903186.753296243,5410748.4785362761,5960621.6253521945,6563968.663755931,7215166.443436889,7960184.1167960986,8774190.9165857639,9669455.4418928139,10625673.217298657,11699198.101640612,12879879.105421517,14210708.985405251,15696381.748610836,17322368.341988288,18901761.828770898,20860274.043997403,22975714.523545474,25374843.480343468,27900737.326169033,30874057.200383592,33889871.626239866,37517690.775569573,41200535.945607707,45640826.010255352,50300890.482446767,55693994.276160046,61412808.646944962,67970273.140812039,74923597.407888398,82981821.985449821,91970403.262108564,101688851.84098205
1.0937629102051138e-06,0.32297826597916729,3.6487197959185691,14.354621699808977,37.461154702580785,77.333136316873777,139.91242196525945,231.17269309710082,358.40158373096881,528.97058138464183,751.11529785371613,1071.8995657121536,1457.3267300486402,1933.1156949554763,2516.7732693752259,3224.2437487816269,4075.1729510842142,5083.5877427298838,6271.1277292696259,7842.1012833633959,9475.4941624897274,11407.745685901857,13665.87839616408,16274.545866820634,19191.005582861144,22593.629243438489,26483.921739917285,30887.355371220401,35995.287204259061,41469.849516558432,47920.247588113896,54779.20054961383,62951.253983247625,72043.885130696464,82229.393356545712,93848.027554701257,106498.05854347956,120825.19646706458,136549.61565204541,154306.70647341438,174027.60198300687,195631.06863253796,219586.64096456993,246859.3935136497,275823.06012949819,309196.08804518171,345480.4669776801,386424.40580383944,429691.63063682662,479512.69615864841,532997.95087673445,594266.7232413186,657364.25436976075,733495.98265533417,812762.86151944799,903229.6801862123,997670.24352958729,1108778.1698357137,1229379.8017798951,1362323.8427883966,1509575.9784035499,1669058.9745097884,1837083.7333896756,2033254.6355484687,2240993.3442765484,2477491.2144048586,2728755.5469100662,3015229.9520337684,3324649.5250024395,3672560.3667765344,4040160.9958380484,4460020.6786047686,4903179.9859338347,5410740.9045545133,5960613.2107543927,6563959.3270630185,7215156.1612979639,7960172.6129125189,8774178.0921881776,9669441.161208272,10625657.501266859,11699180.667283088,12879859.773989853,14210687.372991119,15696357.494909966,17322341.226937626,18901732.767100703,20860241.568231959,22975678.513572883,25374803.171369672,27900692.941322289,30874007.240920253,33889816.966577992,37517629.247856796,41200468.577529624,45640750.127791792,50300806.507812053,55693900.00225997,61412704.280406564,67970156.325425938,74923468.406284779,82981677.527622044,91970241.311415091,101688671.76449752
1.1102234365711046e-06,0.32297826597754475,3.6487197958604627,14.354621696882415,37.461154677783796,77.333136236588587,139.91242168811414,231.17269229327781,358.40158171697158,528.97057677737098,751.11528824344464,1071.8995018053363,1457.3265948208309,1933.115455441716,2516.7728728856173,3224.2431285580574,4075.172014995399,5083.5864135162656,6271.1259143275265,7842.0973729483858,9475.4895468954273,11407.739785258342,13665.870684959573,16274.535891153018,19190.993611017708,22593.614389916249,26483.903289470662,30887.332908346132,35995.258847955316,41469.817331860409,47920.208546090747,54779.157582909887,62951.201999676028,72043.823625552424,82229.321087807301,93847.940930322831,106497.95892290867,120825.08028302272,136549.48309956116,154306.55308206362,174027.42543143412,195630.86864207601,219586.41499118414,246859.13253725541,275822.77022093284,309195.75500173669,345480.09088860563,386423.97561139258,429691.15652725566,479512.15640140558,532997.35007904214,594266.03700944851,657363.50753576891,733495.11844899389,812761.9022319559,903228.59234692238,997669.05094989936,1108776.8096603826,1229378.2673526998,1362322.1135111642,1509574.0270618671,1669056.7955430557,1837081.3541344227,2033251.9543243353,2240990.3848973284,2477487.8900766121,2728751.8788928958,3015225.8343874337,3324644.9470640565,3672555.2281815708,4040155.3353963341,4460014.338339502,4903173.0133681763,5410733.1009108359,5960604.5410050405,6563949.7072582394,7215145.5673786188,7960160.7602022346,8774164.878922604,9669426.4474974722,10625641.308685068,11699162.704271402,12879839.856379762,14210665.105233554,15696332.505775511,17322313.289690334,18901702.824205235,20860208.107717261,22975641.411684543,25374761.640123688,27900647.210611515,30873955.766557172,33889760.64949245,37517565.854464591,41200399.166675001,45640671.944375142,50300719.986847617,55693802.869731218,61412596.749203578,67970035.967895001,74923335.49301666,82981528.689458221,91970074.449958295,101688486.22762831
1.1269316847474762e-06,0.32297826597587276,3.6487197958005955,14.354621693867109,37.461154652234825,77.333136153868764,139.91242140256406,231.17269146507846,358.40157964189905,528.97057203038366,751.11527834174058,1071.8994359605724,1457.3264554923489,1933.1152086649633,2516.7724643730012,3224.2424895272052,4075.1710505214187,5083.5850439968963,6271.1240443511124,7842.0933439644286,9475.4847913487829,11407.733705697847,13665.862739940059,16274.52561300997,19190.98127617074,22593.599086014317,26483.884279581653,30887.309764367448,35995.229631855182,41469.784171277752,47920.168320261102,54779.11331338586,62951.14843988153,72043.760255476489,82229.246627767134,93847.85167936291,106497.85628168554,120824.9605760977,136549.34652786839,154306.3950396346,174027.24352652306,195630.6625875569,219586.18216587958,246858.86364759135,275822.47152179334,309195.41185979004,345479.70339578902,386423.53237468842,429690.66804172739,479511.60027763539,532996.731063916,594265.32996961474,657362.73805614712,733494.22803808947,812760.91385678668,903227.47152199573,997667.8222085312,1108775.4082415313,1229376.686398292,1362320.3317984415,1509572.0165512259,1669054.5505052395,1837078.9027347267,2033249.1917994027,2240987.3357828986,2477484.4649470774,2728748.0996528678,3015221.5918844645,3324640.2303118482,3672549.9337724065,4040149.5033166055,4460007.805822405,4903165.8293776074,5410725.0606420431,5960595.608368095,6563939.7957577864,7215134.6522257905,7960148.5480889659,8774151.2649987154,9669411.2876312099,10625624.625104427,11699144.196576955,12879819.334818488,14210642.162262766,15696306.758909479,17322284.505317722,18901671.973365933,20860173.632596038,22975603.184773855,25374718.849546686,27900600.093230441,30873902.73136311,33889702.624730617,37517500.538826093,41200327.651107326,45640591.390241072,50300630.84234944,55693702.791901104,61412485.957384177,67969911.960822403,74923198.549483299,82981375.338147879,91969902.528845489,101688295.06481723
1.1438913828103569e-06,0.32297826597415003,3.648719795738915,14.354621690760363,37.461154625911043,77.333136068640371,139.91242110835492,231.17269061176384,358.40157750389938,528.97056713944289,751.11526813976525,1071.8993681190966,1457.3263119388494,1933.1149544049899,2516.7720434728153,3224.2418311188067,4075.1700568015958,5083.583632949676,6271.1221176717245,7842.0891928168658,9475.4798916067703,11407.727441796062,13665.854554016903,16274.515023221269,19190.968567314983,22593.583318078385,26483.864693289608,30887.285918635185,35995.199529892358,41469.750005224239,47920.126874735419,54779.067701543216,62951.093256076667,72043.694963928341,82229.169909990072,93847.759722190225,106497.75052823141,120824.83723948401,136549.20581511405,154306.23220511671,174027.05610597273,195630.45028513059,219585.942280919,246858.58660474222,275822.16376556497,309195.0583131715,345479.3041534893,386423.0756982466,429690.16474438546,479511.02729112981,532996.09327902831,594264.60149094649,657361.94524430321,733493.31062812952,812759.89551203675,903226.31671134359,997666.55620909622,1108773.9643287014,1229375.0575060144,1362318.4960604422,1509569.945077694,1669052.2373931324,1837076.3770032348,2033246.3455087051,2240984.1942125619,2477480.9359600502,2728744.205817793,3015217.2207393097,3324635.370537078,3672544.4788248739,4040143.4943949371,4460001.0752245635,4903158.4275518674,5410716.776573793,5960586.4048729483,6563929.5837176219,7215123.4060998932,7960135.9656758457,8774137.2382688262,9669395.668082336,10625607.435638133,11699125.12768529,12879798.190994587,14210618.523606651,15696280.231337842,17322254.848135486,18901640.187054373,20860138.112105828,22975563.798730686,25374674.761456255,27900551.54713586,30873848.088014353,33889642.840516381,37517433.242659576,41200253.967012525,45640508.393510401,50300538.994773068,55693599.679469258,61412371.806087889,67969784.193555579,74923057.453488827,82981217.336854368,91969725.394670367,101688098.10548824
