state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,r_iso_0.003_e_bohr3_bohr,r_iso_0.001_e_bohr3_bohr,r_iso_0.0001_e_bohr3_bohr,r_iso_0.003_e_bohr3_angstrom,r_iso_0.001_e_bohr3_angstrom,r_iso_0.0001_e_bohr3_angstrom
H_qm1_mult1_ning2022,H,1,-1,2,1,ning2022_monoanion_reference,bound_experimental,3.1392845721295353,4.021915084665289,5.498057454716875,1.661237854110325,2.1283058069918805,2.909446709271523
H_q0_mult2_nist,H,1,0,1,2,nist_reference,reference,2.332257881725107,2.9063956637353012,4.122293783070556,1.2341777209578308,1.53799835111602,2.181423926648053
He_q0_mult1_nist,He,2,0,2,1,nist_reference,reference,2.150687152806159,2.536914978769596,3.36337501221071,1.1380946290468772,1.3424775927633381,1.7798214081825068
He_qp1_mult2_nist,He,2,1,1,2,nist_reference,reference_uncertain,1.6960132104728116,1.9826566989128924,2.587836870238907,0.8974915403726451,1.0491767421088734,1.3694242972649735
Li_qm1_mult1_ning2022,Li,3,-1,4,1,ning2022_monoanion_reference,bound_experimental,3.061169758985731,5.035446508420061,8.677919100828602,1.6199012751606778,2.6646435389769776,4.592157026218349
Li_q0_mult2_nist,Li,3,0,3,2,nist_reference,reference,2.6897203987960463,4.161905541177964,6.48531620244515,1.4233387387437966,2.2023855663222953,3.43188153983396
Li_qp1_mult1_nist,Li,3,1,2,1,nist_reference,reference_uncertain,1.6169861739669713,1.8473971354803018,2.334601199333812,0.8556722336085549,0.9776004635836577,1.2354177512342652
Be_qm1_mult2_formal,Be,4,-1,5,2,formal_anion_reference,formal_monoanion,3.7667952172906816,5.043257510185207,7.492950236423112,1.9933021871286425,2.6687769431054154,3.9650985075453566
Be_q0_mult1_nist,Be,4,0,4,1,nist_reference,reference,3.3628479296342224,4.136827483683877,5.678717734881102,1.7795424880947657,2.1891148298027097,3.0050480124497834
Be_qp1_mult2_nist,Be,4,1,3,2,nist_reference,reference,2.795765038955426,3.429910068352736,4.66965057138731,1.4794551456545493,1.8150302436190187,2.471072665258337
Be_qp2_mult1_nist,Be,4,2,2,1,nist_reference,reference_uncertain,1.3039951219584918,1.4670367818883625,1.8104311334211387,0.6900445016691119,0.7763224325317963,0.9580388977157552
