state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,overall_pass,scf_converged,electron_count_error_qa,electron_count_tolerance,electron_count_pass,max_rel_angular_sigma,max_rel_angular_sigma_tolerance,angular_sigma_pass,tail_reaches_min_cutoff,radii_monotonic,linear_dependency_warning_count,linear_dependency_vectors_removed
H_qm1_mult1_ning2022,H,1,-1,2,1,ning2022_monoanion_reference,bound_experimental,True,True,5.950795411990839e-14,2e-06,True,2.10515190380446e-15,1e-08,True,True,True,0,0
H_q0_mult2_nist,H,1,0,1,2,nist_reference,reference,True,True,3.019806626980426e-14,2e-06,True,1.6314174492170645e-15,1e-08,True,True,True,0,0
He_q0_mult1_nist,He,2,0,2,1,nist_reference,reference,True,True,5.684341886080802e-14,2e-06,True,1.7524599891480374e-15,1e-08,True,True,True,0,0
He_qp1_mult2_nist,He,2,1,1,2,nist_reference,reference_uncertain,True,True,2.7755575615628914e-14,2e-06,True,1.4160183730438575e-15,1e-08,True,True,True,0,0
Li_qm1_mult1_ning2022,Li,3,-1,4,1,ning2022_monoanion_reference,bound_experimental,True,True,1.1013412404281553e-13,2e-06,True,1.8873687919836045e-15,1e-08,True,True,True,0,0
Li_q0_mult2_nist,Li,3,0,3,2,nist_reference,reference,True,True,8.348877145181177e-14,2e-06,True,1.6367661128968726e-15,1e-08,True,True,True,0,0
Li_qp1_mult1_nist,Li,3,1,2,1,nist_reference,reference_uncertain,True,True,5.240252676230739e-14,2e-06,True,1.3615825573831897e-15,1e-08,True,True,True,0,0
Be_qm1_mult2_formal,Be,4,-1,5,2,formal_anion_reference,formal_monoanion,True,True,1.438849039914203e-13,2e-06,True,2.3957797937113796e-15,1e-08,True,True,True,0,0
Be_q0_mult1_nist,Be,4,0,4,1,nist_reference,reference,True,True,1.1546319456101628e-13,2e-06,True,1.6621996610321122e-15,1e-08,True,True,True,0,0
Be_qp1_mult2_nist,Be,4,1,3,2,nist_reference,reference,True,True,8.526512829121202e-14,2e-06,True,1.4423875205376312e-15,1e-08,True,True,True,0,0
Be_qp2_mult1_nist,Be,4,2,2,1,nist_reference,reference_uncertain,True,True,5.062616992290714e-14,2e-06,True,1.8086800124748535e-15,1e-08,True,True,True,0,0
B_qm2_mult4_formal,B,5,-2,7,4,formal_anion_reference,formal_multianion,True,True,2.0250467969162855e-13,2e-06,True,3.1972471886435294e-15,1e-08,True,True,True,0,0
B_qm1_mult3_ning2022,B,5,-1,6,3,ning2022_monoanion_reference,bound_experimental,True,True,1.7408297026122455e-13,2e-06,True,3.193195803820394e-15,1e-08,True,True,True,0,0
B_q0_mult2_nist,B,5,0,5,2,nist_reference,reference,True,True,1.474376176702208e-13,2e-06,True,1.8934364038263123e-15,1e-08,True,True,True,0,0
B_qp1_mult1_nist,B,5,1,4,1,nist_reference,reference,True,True,1.1546319456101628e-13,2e-06,True,1.442452441511966e-15,1e-08,True,True,True,0,0
B_qp2_mult2_nist,B,5,2,3,2,nist_reference,reference,True,True,8.43769498715119e-14,2e-06,True,1.658536483732019e-15,1e-08,True,True,True,0,0
B_qp3_mult1_nist,B,5,3,2,1,nist_reference,reference_uncertain,True,True,5.595524044110789e-14,2e-06,True,1.8874740250940357e-15,1e-08,True,True,True,0,0
C_qm3_mult2_formal,C,6,-3,9,2,formal_anion_reference,formal_multianion,True,True,2.611244553918368e-13,2e-06,True,2.3969510122261744e-15,1e-08,True,True,True,0,0
C_qm2_mult3_formal,C,6,-2,8,3,formal_anion_reference,formal_multianion,True,True,2.3447910280083306e-13,2e-06,True,2.473905021516582e-15,1e-08,True,True,True,0,0
C_qm1_mult4_ning2022,C,6,-1,7,4,ning2022_monoanion_reference,bound_experimental,True,True,2.0516921495072893e-13,2e-06,True,2.4206651356673413e-15,1e-08,True,True,True,0,0
C_q0_mult3_nist,C,6,0,6,3,nist_reference,reference,True,True,1.7408297026122455e-13,2e-06,True,2.306992743871764e-15,1e-08,True,True,True,0,0
C_qp1_mult2_nist,C,6,1,5,2,nist_reference,reference,True,True,1.4210854715202004e-13,2e-06,True,1.9016858149940338e-15,1e-08,True,True,True,0,0
