state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,overall_pass,scf_converged,electron_count_error_qa,electron_count_tolerance,electron_count_pass,max_rel_angular_sigma,max_rel_angular_sigma_tolerance,angular_sigma_pass,tail_reaches_min_cutoff,radii_monotonic,linear_dependency_warning_count,linear_dependency_vectors_removed
Tb_qm1_mult9_ning2022,Tb,65,-1,66,9,ning2022_monoanion_reference,bound_experimental,True,True,1.7905676941154525e-12,1.3199999999999999e-05,True,2.1439409119906263e-15,1e-08,True,True,True,0,0
Dy_qm1_mult6_ning2022,Dy,66,-1,67,6,ning2022_monoanion_reference,bound_provisional,True,True,1.8474111129762605e-12,1.3399999999999999e-05,True,2.228695536964732e-15,1e-08,True,True,True,0,0
Ho_qm1_mult5_formal,Ho,67,-1,68,5,formal_anion_reference,formal_monoanion,True,True,1.8474111129762605e-12,1.3599999999999999e-05,True,1.9794499771959413e-15,1e-08,True,True,True,0,0
Er_qm1_mult4_formal,Er,68,-1,69,4,formal_anion_reference,formal_monoanion,True,True,1.8758328224066645e-12,1.38e-05,True,1.9672852458783147e-15,1e-08,True,True,True,0,0
Tm_qm1_mult3_ning2022,Tm,69,-1,70,3,ning2022_monoanion_reference,bound_provisional,True,True,1.8900436771218665e-12,1.4e-05,True,2.0859242386551316e-15,1e-08,True,True,True,0,0
Yb_qm1_mult2_formal,Yb,70,-1,71,2,formal_anion_reference,formal_monoanion,True,True,1.9184653865522705e-12,1.42e-05,True,1.9228378037572024e-15,1e-08,True,True,True,0,0
Lu_qm1_mult1_ning2022,Lu,71,-1,72,1,ning2022_monoanion_reference,bound_experimental,True,True,1.9610979506978765e-12,1.44e-05,True,2.0943624508826635e-15,1e-08,True,True,True,0,0
Hf_qm1_mult4_ning2022,Hf,72,-1,73,4,ning2022_monoanion_reference,bound_experimental,True,True,1.9895196601282805e-12,1.4599999999999999e-05,True,1.665224077094116e-15,1e-08,True,True,True,0,0
Ta_qm1_mult5_ning2022,Ta,73,-1,74,5,ning2022_monoanion_reference,bound_experimental,True,True,1.9895196601282805e-12,1.4799999999999999e-05,True,2.2802235316380487e-15,1e-08,True,True,True,0,0
W_qm1_mult6_ning2022,W,74,-1,75,6,ning2022_monoanion_reference,bound_experimental,True,True,2.0463630789890885e-12,1.4999999999999999e-05,True,2.896829683251435e-15,1e-08,True,True,True,0,0
Re_qm1_mult5_ning2022,Re,75,-1,76,5,ning2022_monoanion_reference,bound_experimental,True,True,2.0179413695586845e-12,1.52e-05,True,2.5994848072537718e-15,1e-08,True,True,True,0,0
Os_qm1_mult4_ning2022,Os,76,-1,77,4,ning2022_monoanion_reference,bound_experimental,True,True,2.1032064978498966e-12,1.5399999999999998e-05,True,2.7406144539109327e-15,1e-08,True,True,True,0,0
Ir_qm1_mult3_ning2022,Ir,77,-1,78,3,ning2022_monoanion_reference,bound_experimental,True,True,2.1032064978498966e-12,1.56e-05,True,2.8833329819254155e-15,1e-08,True,True,True,0,0
Pt_qm1_mult2_ning2022,Pt,78,-1,79,2,ning2022_monoanion_reference,bound_experimental,True,True,2.1600499167107046e-12,1.5799999999999998e-05,True,2.789685693124761e-15,1e-08,True,True,True,0,0
Au_qm1_mult1_ning2022,Au,79,-1,80,1,ning2022_monoanion_reference,bound_experimental,True,True,2.1316282072803006e-12,1.6e-05,True,2.5906038127599948e-15,1e-08,True,True,True,0,0
Hg_qm1_mult2_formal,Hg,80,-1,81,2,formal_anion_reference,formal_monoanion,True,True,2.1884716261411086e-12,1.62e-05,True,2.014087118939237e-15,1e-08,True,True,True,0,0
Tl_qm2_mult4_formal,Tl,81,-2,83,4,formal_anion_reference,formal_multianion,True,True,2.2311041902867146e-12,1.66e-05,True,2.5383220120303704e-15,1e-08,True,True,True,0,0
Tl_qm1_mult3_ning2022,Tl,81,-1,82,3,ning2022_monoanion_reference,bound_experimental,True,True,2.1884716261411086e-12,1.64e-05,True,2.3717070286906563e-15,1e-08,True,True,True,0,0
Pb_qm2_mult3_formal,Pb,82,-2,84,3,formal_anion_reference,formal_multianion,True,True,2.2737367544323206e-12,1.68e-05,True,1.871891552074274e-15,1e-08,True,True,True,0,0
Pb_qm1_mult4_ning2022,Pb,82,-1,83,4,ning2022_monoanion_reference,bound_experimental,True,True,2.2453150450019166e-12,1.66e-05,True,1.841978032025922e-15,1e-08,True,True,True,0,0
Bi_qm3_mult1_formal,Bi,83,-3,86,1,formal_anion_reference,formal_multianion,True,True,2.3021584638627246e-12,1.7199999999999998e-05,True,2.6914497759405482e-15,1e-08,True,True,True,0,0
Bi_qm2_mult2_formal,Bi,83,-2,85,2,formal_anion_reference,formal_multianion,True,True,2.2879476091475226e-12,1.7e-05,True,2.13831053721085e-15,1e-08,True,True,True,0,0
Bi_qm1_mult3_ning2022,Bi,83,-1,84,3,ning2022_monoanion_reference,bound_experimental,True,True,2.2453150450019166e-12,1.68e-05,True,1.9033516226695232e-15,1e-08,True,True,True,0,0
Po_qm2_mult1_formal,Po,84,-2,86,1,formal_anion_reference,formal_multianion,True,True,2.3163693185779266e-12,1.7199999999999998e-05,True,2.4526420968652994e-15,1e-08,True,True,True,0,0
Po_qm1_mult2_formal,Po,84,-1,85,2,formal_anion_reference,formal_monoanion,True,True,2.2595258997171186e-12,1.7e-05,True,2.468661399433267e-15,1e-08,True,True,True,0,0
At_qm1_mult1_ning2022,At,85,-1,86,1,ning2022_monoanion_reference,bound_experimental,True,True,2.3305801732931286e-12,1.7199999999999998e-05,True,2.4632194980338106e-15,1e-08,True,True,True,0,0
