state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,overall_pass,scf_converged,electron_count_error_qa,electron_count_tolerance,electron_count_pass,max_rel_angular_sigma,max_rel_angular_sigma_tolerance,angular_sigma_pass,tail_reaches_min_cutoff,radii_monotonic,linear_dependency_warning_count,linear_dependency_vectors_removed
H_q0_mult2_hund,H,1,0,1,2,nist_ground_state,recommended,True,True,3.064215547965432e-14,2e-06,True,1.544259516778365e-15,1e-08,True,True,True,0,0
He_q0_mult1_hund,He,2,0,2,1,nist_ground_state,recommended,True,True,5.773159728050814e-14,2e-06,True,1.6934706345197764e-15,1e-08,True,True,True,0,0
Li_q0_mult2_hund,Li,3,0,3,2,nist_ground_state,recommended,True,True,8.43769498715119e-14,2e-06,True,1.2928260831528268e-15,1e-08,True,True,True,0,0
Be_q0_mult1_hund,Be,4,0,4,1,nist_ground_state,recommended,True,True,1.1546319456101628e-13,2e-06,True,1.4260618504804196e-15,1e-08,True,True,True,0,0
B_q0_mult2_hund,B,5,0,5,2,nist_ground_state,recommended,True,True,1.4210854715202004e-13,2e-06,True,1.3710675315649054e-15,1e-08,True,True,True,0,0
C_q0_mult3_hund,C,6,0,6,3,nist_ground_state,recommended,True,True,1.723066134218243e-13,2e-06,True,1.6482883975464814e-15,1e-08,True,True,True,0,0
N_q0_mult4_hund,N,7,0,7,4,nist_ground_state,recommended,True,True,2.007283228522283e-13,2e-06,True,1.8788205278341634e-15,1e-08,True,True,True,0,0
O_q0_mult3_hund,O,8,0,8,3,nist_ground_state,recommended,True,True,2.291500322826323e-13,2e-06,True,1.976368334047634e-15,1e-08,True,True,True,0,0
F_q0_mult2_hund,F,9,0,9,2,nist_ground_state,recommended,True,True,2.540190280342358e-13,2e-06,True,1.9464536269994978e-15,1e-08,True,True,True,0,0
Ne_q0_mult1_hund,Ne,10,0,10,1,nist_ground_state,recommended,True,True,2.753353101070388e-13,2e-06,True,2.084080852774139e-15,1e-08,True,True,True,0,0
Na_q0_mult2_hund,Na,11,0,11,2,nist_ground_state,recommended,True,True,2.984279490192421e-13,2.2e-06,True,1.6065782881564057e-15,1e-08,True,True,True,0,0
Mg_q0_mult1_hund,Mg,12,0,12,1,nist_ground_state,recommended,True,True,3.3217872896784684e-13,2.4e-06,True,1.5066889248535295e-15,1e-08,True,True,True,0,0
Al_q0_mult2_hund,Al,13,0,13,2,nist_ground_state,recommended,True,True,3.552713678800501e-13,2.5999999999999997e-06,True,2.6842659605398385e-15,1e-08,True,True,True,0,0
Si_q0_mult3_hund,Si,14,0,14,3,nist_ground_state,recommended,True,True,3.9968028886505635e-13,2.8e-06,True,2.222573218368105e-15,1e-08,True,True,True,0,0
P_q0_mult4_hund,P,15,0,15,4,nist_ground_state,recommended,True,True,4.227729277772596e-13,3e-06,True,1.8858199779809306e-15,1e-08,True,True,True,0,0
