r_bohr,rho_e_bohr3__H_q0_mult2_hund,rho_e_bohr3__He_q0_mult1_hund,rho_e_bohr3__Li_q0_mult2_hund,rho_e_bohr3__Be_q0_mult1_hund,rho_e_bohr3__B_q0_mult2_hund,rho_e_bohr3__C_q0_mult3_hund,rho_e_bohr3__N_q0_mult4_hund,rho_e_bohr3__O_q0_mult3_hund,rho_e_bohr3__F_q0_mult2_hund,rho_e_bohr3__Ne_q0_mult1_hund,rho_e_bohr3__Na_q0_mult2_hund,rho_e_bohr3__Mg_q0_mult1_hund,rho_e_bohr3__Al_q0_mult2_hund,rho_e_bohr3__Si_q0_mult3_hund,rho_e_bohr3__P_q0_mult4_hund,rho_e_bohr3__S_q0_mult3_hund,rho_e_bohr3__Cl_q0_mult2_hund,rho_e_bohr3__Ar_q0_mult1_hund,rho_e_bohr3__K_q0_mult2_hund,rho_e_bohr3__Ca_q0_mult1_hund,rho_e_bohr3__Sc_q0_mult2_hund,rho_e_bohr3__Ti_q0_mult3_hund,rho_e_bohr3__V_q0_mult4_hund,rho_e_bohr3__Cr_q0_mult7_hund,rho_e_bohr3__Mn_q0_mult6_hund,rho_e_bohr3__Fe_q0_mult5_hund,rho_e_bohr3__Co_q0_mult4_hund,rho_e_bohr3__Ni_q0_mult3_hund,rho_e_bohr3__Cu_q0_mult2_hund,rho_e_bohr3__Zn_q0_mult1_hund,rho_e_bohr3__Ga_q0_mult2_hund,rho_e_bohr3__Ge_q0_mult3_hund,rho_e_bohr3__As_q0_mult4_hund,rho_e_bohr3__Se_q0_mult3_hund,rho_e_bohr3__Br_q0_mult2_hund,rho_e_bohr3__Kr_q0_mult1_hund,rho_e_bohr3__Rb_q0_mult2_hund,rho_e_bohr3__Sr_q0_mult1_hund,rho_e_bohr3__Y_q0_mult2_hund,rho_e_bohr3__Zr_q0_mult3_hund,rho_e_bohr3__Nb_q0_mult6_hund,rho_e_bohr3__Mo_q0_mult7_hund,rho_e_bohr3__Tc_q0_mult6_hund,rho_e_bohr3__Ru_q0_mult5_hund,rho_e_bohr3__Rh_q0_mult4_hund,rho_e_bohr3__Pd_q0_mult1_hund,rho_e_bohr3__Ag_q0_mult2_hund,rho_e_bohr3__Cd_q0_mult1_hund,rho_e_bohr3__In_q0_mult2_hund,rho_e_bohr3__Sn_q0_mult3_hund,rho_e_bohr3__Sb_q0_mult4_hund,rho_e_bohr3__Te_q0_mult3_hund,rho_e_bohr3__I_q0_mult2_hund,rho_e_bohr3__Xe_q0_mult1_hund,rho_e_bohr3__Cs_q0_mult2_hund,rho_e_bohr3__Ba_q0_mult1_hund,rho_e_bohr3__La_q0_mult2_hund,rho_e_bohr3__Ce_q0_mult3_hund,rho_e_bohr3__Pr_q0_mult4_hund,rho_e_bohr3__Nd_q0_mult5_hund,rho_e_bohr3__Pm_q0_mult6_hund,rho_e_bohr3__Sm_q0_mult7_hund,rho_e_bohr3__Eu_q0_mult8_hund,rho_e_bohr3__Gd_q0_mult9_hund,rho_e_bohr3__Tb_q0_mult6_hund,rho_e_bohr3__Dy_q0_mult5_hund,rho_e_bohr3__Ho_q0_mult4_hund,rho_e_bohr3__Er_q0_mult3_hund,rho_e_bohr3__Tm_q0_mult2_hund,rho_e_bohr3__Yb_q0_mult1_hund,rho_e_bohr3__Lu_q0_mult2_hund,rho_e_bohr3__Hf_q0_mult3_hund,rho_e_bohr3__Ta_q0_mult4_hund,rho_e_bohr3__W_q0_mult5_hund,rho_e_bohr3__Re_q0_mult6_hund,rho_e_bohr3__Os_q0_mult5_hund,rho_e_bohr3__Ir_q0_mult4_hund,rho_e_bohr3__Pt_q0_mult3_hund,rho_e_bohr3__Au_q0_mult2_hund,rho_e_bohr3__Hg_q0_mult1_hund,rho_e_bohr3__Tl_q0_mult2_hund,rho_e_bohr3__Pb_q0_mult3_hund,rho_e_bohr3__Bi_q0_mult4_hund,rho_e_bohr3__Po_q0_mult3_hund,rho_e_bohr3__At_q0_mult2_hund,rho_e_bohr3__Rn_q0_mult1_hund
1.0000000000000004e-06,0.3111539674492152,3.53216712887123,13.975522312076219,36.235388098329366,74.465743183952696,133.58153316078179,218.69923929572266,335.85558806755637,489.52488535352404,687.6753663939229,958.77479230271229,1296.7554720983164,1704.4088626686889,2194.5870286596955,2789.7156268145613,3491.5631519280114,4336.6285439037611,5308.7453595692168,6492.4423253552341,7829.1932629370367,9421.9219190830081,11223.65131724831,13524.777072872537,16017.063656773136,18704.208986493795,21709.819501118473,25595.192394841855,30084.759236857935,34755.380021407858,39896.49763341582,46618.664996428655,53322.804203580177,60813.572761439398,69117.962825327399,78569.318061483122,88999.375606149522,101262.46489815533,114813.51419316241,129706.68202134309,146087.59101190785,164482.98027649184,184705.10875288892,207265.15167875326,232002.76845661207,259592.53916912261,289392.73003356834,322773.29208421614,350753.91518315021,387748.12374201324,441144.54581695679,489904.8127240843,539937.32977116166,601000.52409379219,665506.96214758512,734639.85760247963,813968.17276572122,895512.17132804426,988077.22444173379,1090965.2401024145,1199108.1377966956,1322742.5977387191,1453245.2689793105,1599036.0166312233,1758856.1300884367,1931248.2087574701,2119992.2396770748,2325828.4150595125,2555836.1710152067,2805705.7113080053,3071299.5979931289,3366235.8644432104,3691634.6326453886,4044418.2949932003,4421869.4334789524,4845484.3925183685,5295487.2983843088,5793770.4359552246,6338953.8561799005,6930616.1300000381,7575696.2421787493,8271144.2251995578,9064591.5438762829,9903709.4480355009,10847970.160782104,11879302.556031356,12936936.096016869
1.0150494464681606e-06,0.31115396744896529,3.5321671288574281,13.975522311712975,36.235388096354484,74.465743177042668,133.5815331414029,218.6992392492827,335.8555879685731,489.5248851733993,687.67536606606154,958.77479127367701,1296.755469776884,1704.4088585787376,2194.5870220841707,2789.7156160115001,3491.563135432591,4336.6285175460971,5308.7453212902792,6492.4422605966629,7829.1931704567141,9421.9217778977945,11223.651114067481,13524.776694295735,16017.063094647947,18704.208272160962,21709.81862789458,25595.190973005749,30084.756941927128,34755.377066930472,39896.493957282808,46618.659056508332,53322.79685034859,60813.563711860035,69117.951776507733,78569.304444720474,88999.359095213877,101262.44321496609,114813.48667734826,129706.64833432338,146087.55010536435,164482.93022825528,184705.04814728827,207265.07897534923,232002.6815912645,259592.43518928683,289392.60906343628,322773.15116909979,350753.7895505809,387747.98559645819,441144.33696631552,489904.569133682,539937.06298633059,601000.20418167231,665506.59231408755,734639.45271371736,813967.69263875508,895511.65163677791,988076.63560305699,1090964.5710079521,1199107.3974989741,1322741.7500718634,1453244.3274456423,1599034.9589045588,1758854.9228432407,1931246.8713306929,2119990.749864147,2325826.7626791308,2555834.2976750419,2805703.6257212753,3071297.2942453362,3366233.3139138669,3691631.7924817163,4044415.1214507977,4421865.9684111578,4845480.5288606081,5295483.0589284897,5793765.7822741456,6338948.7075475734,6930610.4938527774,7575690.026588602,8271137.4314661548,9064583.9338489324,9903701.1556143928,10847960.993584007,11879292.414811667,12936924.967012955
1.0303253787753168e-06,0.31115396744870816,3.5321671288432106,13.975522311338736,36.235388094319632,74.465743169923073,133.58153312143631,218.69923920143447,335.85558786658783,489.52488498781184,687.67536572825725,958.77479021343493,1296.7554673850545,1704.4088543647588,2194.5870153092419,2789.715604880832,3491.5631184369367,4336.628490389141,5308.7452818505171,6492.4421938742698,7829.1930751718974,9421.9216324311037,11223.650904725147,13524.776304238505,16017.062515476209,18704.20753616585,21709.817728190003,25595.189508052325,30084.754577402549,34755.374022858698,39896.490169671262,46618.652936461483,53322.78927413233,60813.554387855089,69117.940392636592,78569.290415034891,88999.34208359124,101262.42087424663,114813.45832713571,129706.61362576974,146087.5079583631,164482.87866235094,184704.98570388241,207265.00406729098,232002.5920918241,259592.32805638955,289392.48442503932,322773.00598091772,350753.6601083139,387747.84326175426,441144.12178256735,489904.31815675786,539936.78811162629,600999.87456871406,665506.21126598935,734639.03554732865,813967.19795275293,895511.11618670984,988076.02890881011,1090963.8816243117,1199106.634752939,1322740.8767009573,1453243.3573615674,1599033.8691041442,1758853.6789905019,1931245.493348822,2119989.2148752972,2325825.0601932425,2555832.367529274,2805701.4768929533,3071294.9206406134,3366230.6860443694,3691628.8661952885,4044411.851676608,4421862.3982714536,4845476.5480445046,5295478.6909188423,5793760.9874784704,6338943.4027921436,6930604.6867992375,7575683.6225215513,8271130.431724539,9064576.0930608623,9903692.6117398236,10847951.54840623,11879281.966076709,12936913.500541043
1.0458312054079828e-06,0.31115396744844281,3.5321671288285579,13.975522310953139,36.235388092223111,74.465743162587543,133.58153310086425,218.69923915213528,335.85558776150981,489.52488479659655,687.67536538020909,958.77478912104016,1296.7554649206911,1704.4088500229884,2194.587008328861,2789.7155934126204,3491.5631009258846,4336.6284624086311,5308.7452412147404,6492.4421251284975,7829.1929769975377,9421.9214825530871,11223.65068903445,13524.775902352723,16017.061918740976,18704.206777851577,21709.816801201745,25595.187998674082,30084.752141173871,34755.370886475663,39896.486267200788,46618.646630825853,53322.781468169662,60813.544781102806,69117.928663553816,78569.275959904917,88999.324556098785,101262.39785605826,114813.42911722293,129706.57786470611,146087.46453329004,164482.82553275872,184704.92136694433,207264.92688772792,232002.49987841913,259592.21767482339,289392.35600714735,322772.85639010242,350753.52674082841,387747.69661087322,441143.90007368126,489904.05956933834,539936.50490175013,600999.53496077296,665505.81866324949,734638.60573103721,813966.68826626777,895510.56450001127,988075.40381758963,1090963.1713362986,1199105.8488779273,1322739.9768466265,1453242.3578614015,1599032.7462574681,1758852.3974202387,1931244.0735821896,2119987.6333407443,2325823.3060826096,2555830.3788555143,2805699.2629054994,3071292.4750608294,3366227.9784896923,3691625.8511747709,4044408.4827527991,4421858.7198739825,4845472.4465177059,5295474.1904575042,5793756.0472894683,6338937.9371798001,6930598.7036573403,7575677.0242627999,8271123.2197283022,9064568.0145151913,9903683.8087874502,10847941.816820079,11879271.200502217,12936901.686368754
1.0615703861485017e-06,0.31115396744816981,3.5321671288134633,13.975522310555863,36.23538809006299,74.4657431550296,133.5815330796683,218.69923910134099,335.85558765324538,489.52488459958215,687.67536502160658,958.77478799552,1296.755462381595,1704.4088455495528,2194.5870011367947,2789.7155815966344,3491.5630828838084,4336.6284335796081,5308.7451993466639,6492.4420542979924,7829.1928758460199,9421.921328129989,11223.650466802867,13524.775488279665,16017.061303909652,18704.205996541328,21709.81584610245,25595.186443523853,30084.749631066668,34755.367654982023,39896.482246388259,46618.640133973626,53322.773425493666,60813.534883029264,69117.916578791177,78569.261066429433,88999.306497093421,101262.37413985813,114813.39902154138,129706.5410192173,146087.4197913899,164482.77079206362,184704.8550790571,207264.84736778284,232002.40486875561,259592.10394608194,289392.22369515977,322772.70226315805,350753.38932910014,387747.54551293631,441143.67164180463,489903.79314066359,539936.21310396527,600999.18505478697,665505.41415551817,734638.16288128076,813966.16312447051,895509.99608436855,988074.75977157662,1090962.4395100686,1199105.0391726436,1322739.0497058639,1453241.3280532234,1599031.5893625338,1758851.0769888293,1931242.6107638443,2119986.0038491846,2325821.4987819106,2555828.3298791414,2805696.9817832364,3071289.9553236514,3366225.1888337247,3691622.7447296903,4044405.0116730956,4421854.9299362507,4845468.2206201777,5295469.5535284216,5793750.9572986998,6338932.3058332298,6930592.5390879326,7575670.2259242777,8271115.7890416896,9064559.6910028644,9903674.7389017493,10847931.790141376,11879260.108481284,12936889.513953418
1.0775464328470257e-06,0.31115396744788826,3.5321671287979122,13.97552231014652,36.235388087837421,74.465743147242421,133.5815330578296,218.69923904900628,335.85558754169779,489.52488439659362,687.67536465212947,958.77478683586719,1296.7554597654996,1704.408840940459,2194.5869937266298,2789.7155694223229,3491.5630642945957,4336.6284038763361,5308.7451562089282,6492.4419813195309,7829.1927716270529,9421.9211690239645,11223.650237832066,13524.77506164978,16017.06067043349,18704.205191537716,21709.814862039635,25595.184841213595,30084.747044840595,34755.364325493676,39896.478103645146,46618.633440106409,53322.765138926348,60813.524684800359,69117.904127563204,78569.245721316198,88999.287890457927,101262.34970447989,114813.36801323158,129706.50305642033,146087.37369273324,164482.71439141245,184704.78678106307,207264.76543648978,232002.30697804567,259591.98676867253,289392.08737100009,322772.54346254136,350753.2477504983,387747.38983309688,441143.43628308573,489903.51863297506,539935.91245787335,600998.8245385075,665504.99738182197,734637.70660286827,813965.62205874082,895509.41043254174,988074.09619604307,1090961.6854925635,1199104.2049145312,1322738.0944513245,1453240.2670180623,1599030.3973869672,1758849.7165179697,1931241.1035884256,2119984.3249465274,2325819.6366783958,2555826.2187717436,2805694.631490604,3071287.3591805743,3366222.314587093,3691619.5440879925,4044401.4353400562,4421851.0250763148,4845463.8665809315,5295464.77599381,5793745.7129640486,6338926.503727247,6930586.1875899974,7575663.2214393755,8271108.1330338204,9064551.1150963381,9903665.3939890899,10847921.459422622,11879248.680115785,12936876.972432826
1.0937629102051138e-06,0.31115396744759805,3.5321671287818877,13.975522309724774,36.235388085544301,74.465743139219143,133.58153303532856,218.69923899508461,335.8555874267675,489.5248841874494,687.67536427144762,958.77478564104638,1296.7554570700713,1704.4088361915933,2194.5869860917469,2789.7155568788216,3491.56304514166,4336.6283732722968,5308.7451117630208,6492.4419061279677,7829.1926642476119,9421.9210050930051,11223.650001917664,13524.774622082256,16017.060017747062,18704.20436212228,21709.813848134996,25595.183190313233,30084.744380187418,34755.360895038903,39896.473835273806,46618.626543249877,53322.756601071844,60813.51417731437,69117.891298757386,78569.229910870054,88999.268719586034,101262.32452811589,114813.33606461991,129706.46394243502,146087.32619617908,164482.65628047142,184704.71641201145,207264.68102073116,232002.20611892972,259591.86603802536,289391.94691301236,322772.379846539,350753.10187867132,387747.22943241964,441143.19378749205,489903.23580130609,539935.60269518127,600998.45309021848,665504.56797024608,734637.23648862948,813965.06458625477,895508.80702191312,988073.41249883501,1090960.908610923,1199103.3453591226,1322737.1102305721,1453239.1738090953,1599029.1692670975,1758848.3147936435,1931239.5507110027,2119982.5951345982,2325817.7181103993,2555824.0436494909,2805692.2099303128,3071284.684314942,3366219.3531849775,3691616.2463935977,4044397.7505623698,4421847.0018096501,4845459.3805146366,5295459.8535904316,5793740.3096057419,6338920.5256843297,6930579.6434957311,7575656.0045576356,8271100.2448727991,9064542.2791428082,9903655.7657104209,10847910.815445121,11879236.905207474,12936864.050615408
1.1102234365711046e-06,0.3111539674472994,3.532167128765376,13.975522309290245,36.235388083181633,74.465743130952518,133.58153301214529,218.69923893952779,335.85558730835169,489.52488397196248,687.67536387922132,958.77478440999323,1296.7554542929031,1704.4088312987151,2194.5869782253344,2789.7155439549351,3491.5630254079033,4336.6283417401846,5308.7450659692822,6492.4418286562068,7829.1925536118606,9421.9208361907931,11223.649758849104,13524.77416918477,16017.059345267835,18704.203507554703,21709.812803483546,25595.181489349266,30084.741634728882,34755.357360556023,39896.469437464824,46618.619437248592,53322.747804310275,60813.503351193285,69117.878080923867,78569.213620980299,88999.248967368098,101262.2985882971,114813.30314719366,129706.42364235438,146087.27725933952,164482.59640738013,184704.64390910271,207264.59404517326,232002.10220140021,259591.74164640001,289391.80219585251,322772.21126914141,350752.95158343809,387747.06416775589,441142.94393862376,489902.94439326442,539935.28353946225,600998.07037845103,665504.1255375999,734636.75211904687,813964.49020954641,895508.18531401991,988072.70806984883,1090960.1081718917,1199102.4597393887,1322736.0961653402,1453238.047450792,1599027.9039070127,1758846.8705650326,1931237.9507458694,2119980.8128698063,2325815.7413659031,2555821.8025714201,2805689.7149415137,3071281.9283398543,3366216.3019847912,3691612.8487038296,4044393.9540519519,4421842.8565461421,4845454.7584181894,5295454.7819258133,5793734.742402087,6338914.3663699925,6930572.9009655304,7575648.5688390676,8271092.1175196208,9064533.1752575748,9903645.8454739638,10847899.848710664,11879224.773248974,12936850.736970376
1.1269316847474762e-06,0.31115396744699136,3.532167128748366,13.975522308842526,36.23538808074737,74.465743122435242,133.58153298825897,218.69923888228595,335.85558718634513,489.52488374994095,687.67536347510065,958.77478314160794,1296.7554514315148,1704.4088262574605,2194.5869701203701,2789.7155306391278,3491.5630050757159,4336.6283092518479,5308.7450187868308,6492.4417488350882,7829.1924396210507,9421.9206621665799,11223.649508409428,13524.773702553073,16017.058652395584,18704.202627072271,21709.811727152941,25595.179736803493,30084.738806014557,34755.353718890481,39896.464906293011,46618.612115760472,53322.738740790592,60813.492196775056,69117.86446226621,78569.196837108349,88999.228616175693,101262.27186187299,114813.26923157564,129706.38212021226,146087.22683854171,164482.53471870613,184704.56920763419,207264.50443219754,232001.99513272056,259591.61348278949,289391.65309037588,322772.03757991223,350752.79673066991,387746.89389161672,441142.68651352095,489902.6441488053,539934.95470590878,600997.67606168764,665503.66968907672,734636.25306188758,813963.89841607364,895507.54475407652,988071.9822804844,1090959.2834611966,1199101.5472650405,1322735.0513507258,1453236.8869380457,1599026.6001775658,1758845.3825433932,1931236.3022653111,2119978.9765617652,2325813.7046809727,2555819.4935377496,2805687.1442978447,3071279.0887960647,3366213.1582638361,3691609.3479868188,4044390.0424210671,4421838.5855868049,4845449.9961671438,5295449.5564743225,5793729.0063852649,6338908.0202880353,6930565.9539827276,7575640.9076484526,8271083.7437218688,9064523.795316821,9903635.6244274043,10847888.549433097,11879212.273414319,12936837.019617317
1.1438913828103569e-06,0.31115396744667434,3.5321671287308378,13.975522308381223,36.235388078239204,74.465743113659613,133.5815329636483,218.69923882330841,335.85558706063853,489.52488352118678,687.67536305872545,958.77478183475796,1296.755448483354,1704.4088210633263,2194.5869617696208,2789.7155169195112,3491.562984126952,4336.6282757782983,5308.7449701735613,6492.4416665933713,7829.1923221734314,9421.9204828650381,11223.649250375098,13524.773221770718,16017.057938511887,18704.201719889112,21709.810618182502,25595.177931111786,30084.735891519849,34755.349966791946,39896.4602377142,46618.604572251134,53322.729402423567,60813.480704104382,69117.850430629886,78569.17954427519,88999.207647845935,101262.24432499157,114813.23428749759,129706.33933895314,146087.17488878817,164482.47115939663,184704.49224094051,207264.41210183263,232001.88481734268,259591.48143282224,289391.49946352333,322771.85862385377,350752.63718217233,387746.7184520429,441142.42128246394,489902.3348000003,539934.61590107915,600997.26978805545,665503.20001789927,734635.73887181235,813963.28867775365,895506.88477048033,988071.23448308336,1090958.4337429083,1199100.6071218331,1322733.9748543999,1453235.6912352873,1599025.2569153898,1758843.8494009178,1931234.6037983347,2119977.0845718789,2325811.6062382059,2555817.1144880597,2805684.4957054406,3071276.1631497745,3366209.9192168806,3691605.7411187715,4044386.0121792592,4421834.1851205444,4845445.0895120045,5295444.1725731324,5793723.096436833,6338901.4817756349,6930558.7963482812,7575633.0141494414,8271075.1160072833,9064514.1309505086,9903625.0934500881,10847876.907529613,11879199.394549396,12936822.886315655
