state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,r_iso_0.003_e_bohr3_bohr,r_iso_0.001_e_bohr3_bohr,r_iso_0.0001_e_bohr3_bohr,r_iso_0.003_e_bohr3_angstrom,r_iso_0.001_e_bohr3_angstrom,r_iso_0.0001_e_bohr3_angstrom
Ni_qm1_mult2_ning2022,Ni,28,-1,29,2,ning2022_monoanion_reference,bound_experimental,3.795598299006914,4.847448875608452,6.816729687979601,2.0085441215766497,2.565159475989364,3.607258003764722
Ni_q0_mult3_nist,Ni,28,0,28,3,nist_reference,reference,3.589668682336232,4.3044137322658695,5.845942830646209,1.8995708613845341,2.277797653413025,3.093539722219749
Ni_qp1_mult2_nist,Ni,28,1,27,2,nist_reference,reference,2.879761382092422,3.3299426263495278,4.065262231003012,1.5239040962418362,1.7621297514786536,2.151244128991481
Pd_qm1_mult2_ning2022,Pd,46,-1,47,2,ning2022_monoanion_reference,bound_experimental,3.8513013709803166,4.778565087025556,6.812329736503584,2.038020917842264,2.528707744870635,3.6049296497145353
Pd_q0_mult1_nist,Pd,46,0,46,1,nist_reference,reference,3.4322597725971127,4.044183426900512,5.283825469958081,1.816273653557505,2.140089706227349,2.7960800250906503
Pd_qp1_mult2_nist,Pd,46,1,45,2,nist_reference,reference_uncertain,3.159921913876039,3.618844029254044,4.785136222789585,1.672158665056192,1.9150097900936294,2.5321850401667088
