state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,r_iso_0.003_e_bohr3_bohr,r_iso_0.001_e_bohr3_bohr,r_iso_0.0001_e_bohr3_bohr,r_iso_0.003_e_bohr3_angstrom,r_iso_0.001_e_bohr3_angstrom,r_iso_0.0001_e_bohr3_angstrom
H_q0_mult2_hund,H,1,0,1,2,nist_ground_state,recommended,2.3324233508411827,2.902821344104575,4.1280813375605305,1.2342652834431664,1.5361069026229566,2.184486568591007
He_q0_mult1_hund,He,2,0,2,1,nist_ground_state,recommended,2.1480128315384803,2.5357935872601787,3.3740656936514455,1.1366794391773885,1.3418841779320545,1.785478673169968
Li_q0_mult2_hund,Li,3,0,3,2,nist_ground_state,recommended,2.699133159506268,4.168645848804419,6.4696385730359225,1.428319757203329,2.2059523835126913,3.4235852956296142
Be_q0_mult1_hund,Be,4,0,4,1,nist_ground_state,recommended,3.3622424015363577,4.129170343367746,5.685431308099005,1.7792220564248142,2.1850628456467267,3.0086006824004263
B_q0_mult2_hund,B,5,0,5,2,nist_ground_state,recommended,3.2570905036449096,3.9147269685583246,5.403528564422285,1.7235780683774606,2.07158429866845,2.859424174755676
C_q0_mult3_hund,C,6,0,6,3,nist_ground_state,recommended,3.089172625532967,3.648198482603027,4.8960222537111,1.634719753977433,1.9305434978444265,2.59086340073786
N_q0_mult4_hund,N,7,0,7,4,nist_ground_state,recommended,2.908870493224988,3.3904127737671907,4.45285135977462,1.5393079744828329,1.7941291754320259,2.356347463131164
O_q0_mult3_hund,O,8,0,8,3,nist_ground_state,recommended,2.8016636764886664,3.2710408904093518,4.333062093654073,1.4825765702125173,1.7309602951364864,2.292957713389376
F_q0_mult2_hund,F,9,0,9,2,nist_ground_state,recommended,2.679715688048062,3.1076449805795483,4.051301262423161,1.418044473814287,1.6444949032997929,2.143856302576891
Ne_q0_mult1_hund,Ne,10,0,10,1,nist_ground_state,recommended,2.5590785708583614,2.948977108390803,3.798997051403969,1.354206060608463,1.560531481235039,2.010342663890673
Na_q0_mult2_hund,Na,11,0,11,2,nist_ground_state,recommended,2.767853111818544,4.256541111332374,6.685476707068594,1.4646847899013262,2.2524645533888217,3.5378019174035313
Mg_q0_mult1_hund,Mg,12,0,12,1,nist_ground_state,recommended,3.628096384185446,4.531480584405735,6.299797589158851,1.9199059254705133,2.397956256916923,3.3337093174845243
Al_q0_mult2_hund,Al,13,0,13,2,nist_ground_state,recommended,3.737796466343283,4.560468484091781,6.406876239373098,1.9779567089826275,2.413295992822721,3.390372898952157
Si_q0_mult3_hund,Si,14,0,14,3,nist_ground_state,recommended,3.7136416681772615,4.423482045625266,5.975257074633082,1.9651745402592073,2.340805891383475,3.161969873182753
P_q0_mult4_hund,P,15,0,15,4,nist_ground_state,recommended,3.5969087169749483,4.209315929215359,5.527114560958101,1.9034021227214912,2.227474063231753,2.924823067709167
S_q0_mult3_hund,S,16,0,16,3,nist_ground_state,recommended,3.4955970261903793,4.071893752894751,5.324794264292709,1.8497902847602459,2.154753379250194,2.8177597774107075
Cl_q0_mult2_hund,Cl,17,0,17,2,nist_ground_state,recommended,3.375405348718716,3.9011650100918764,5.032271660595258,1.7861875881020381,2.0644076193127927,2.662963481860007
Ar_q0_mult1_hund,Ar,18,0,18,1,nist_ground_state,recommended,3.2487652894194348,3.7281438281525427,4.754782096257945,1.719172554733454,1.9728487528269958,2.516122328149299
K_q0_mult2_hund,K,19,0,19,2,nist_ground_state,recommended,3.1750269327546166,4.433250421316633,7.426141011030227,1.6801518968169948,2.3459750931868855,3.9297445879893598
Ca_q0_mult1_hund,Ca,20,0,20,1,nist_ground_state,recommended,3.9054499326309173,5.10291872153911,7.205571643016224,2.066675102670938,2.7003482965287686,3.8130243050130725
Sc_q0_mult2_hund,Sc,21,0,21,2,nist_ground_state,recommended,3.9718448182684836,4.9907878087904365,6.920763237041109,2.101809763070849,2.6410111728644177,3.662310187097432
Ti_q0_mult3_hund,Ti,22,0,22,3,nist_ground_state,recommended,3.92235513679429,4.861789123389591,6.695922801452233,2.0756209514598574,2.572748008313845,3.543329752494295
V_q0_mult4_hund,V,23,0,23,4,nist_ground_state,recommended,3.856311300751495,4.750559738499381,6.530360290569036,2.040672058505396,2.5138879526471873,3.455717844755027
Cr_q0_mult7_hund,Cr,24,0,24,7,nist_ground_state,recommended,3.549035169572164,4.382850467310417,6.156094496989061,1.8780685324308533,2.3193045860962367,3.257664915971978
Mn_q0_mult6_hund,Mn,25,0,25,6,nist_ground_state,recommended,3.7302631041133534,4.574883814554194,6.293261308854549,1.9739702253690714,2.4209242571910656,3.330250466903413
Fe_q0_mult5_hund,Fe,26,0,26,5,nist_ground_state,recommended,3.692211110042872,4.492922697888174,6.132582602681642,1.9538339772775566,2.377552302071246,3.2452229573193314
Co_q0_mult4_hund,Co,27,0,27,4,nist_ground_state,recommended,3.638436392350075,4.407315603477469,5.997059595703658,1.925377622151786,2.332250978617479,3.1735072704735345
Ni_q0_mult3_hund,Ni,28,0,28,3,nist_ground_state,recommended,3.5844581639346127,4.331003132825073,5.886900245835656,1.8968135737894065,2.291868158240527,3.115213452955497
Cu_q0_mult2_hund,Cu,29,0,29,2,nist_ground_state,recommended,3.3464388373152705,4.079949345307639,5.676454251559321,1.7708591703879728,2.1590162151754173,3.0038502286586373
Zn_q0_mult1_hund,Zn,30,0,30,1,nist_ground_state,recommended,3.4878613321079084,4.204244383589404,5.709798896779849,1.8456967317412851,2.224790316862443,3.0214954550149864
Ga_q0_mult2_hund,Ga,31,0,31,2,nist_ground_state,recommended,3.637504249328921,4.4346859295347185,6.322118998932216,1.924884353307689,2.34673473142196,3.345521298851816
Ge_q0_mult3_hund,Ge,32,0,32,3,nist_ground_state,recommended,3.7262043902489688,4.4502306685924475,6.053617169535259,1.9718224464864629,2.3549606530807443,3.2034362496491813
As_q0_mult4_hund,As,33,0,33,4,nist_ground_state,recommended,3.698082764189999,4.335219755922972,5.715035396528494,1.9569411228425202,2.2940994990909025,3.024266491346869
Se_q0_mult3_hund,Se,34,0,34,3,nist_ground_state,recommended,3.6597968706147523,4.267282060440533,5.592298320031419,1.936681100463442,2.2581484188803285,2.9593168275317585
Br_q0_mult2_hund,Br,35,0,35,2,nist_ground_state,recommended,3.5884610244558126,4.149637310013219,5.359310897406518,1.898931796355649,2.1958934979718228,2.836025193051635
Kr_q0_mult1_hund,Kr,36,0,36,1,nist_ground_state,recommended,3.499642803283567,4.017041318273288,5.1251159452101795,1.851931217798354,2.1257267208859685,2.712094561440815
Rb_q0_mult2_hund,Rb,37,0,37,2,nist_ground_state,recommended,3.438698711510773,4.543324697002279,7.618833501327439,1.8196809932930105,2.4042238913863834,4.031713062566792
