r_bohr,rho_e_bohr3__H_qm1_mult1_ning2022,rho_e_bohr3__Li_qm1_mult1_ning2022,rho_e_bohr3__Be_qm1_mult2_formal,rho_e_bohr3__B_qm2_mult4_formal,rho_e_bohr3__B_qm1_mult3_ning2022,rho_e_bohr3__C_qm3_mult2_formal,rho_e_bohr3__C_qm2_mult3_formal,rho_e_bohr3__C_qm1_mult4_ning2022,rho_e_bohr3__N_qm3_mult1_formal,rho_e_bohr3__N_qm2_mult2_formal,rho_e_bohr3__N_qm1_mult3_formal,rho_e_bohr3__O_qm2_mult1_formal,rho_e_bohr3__O_qm1_mult2_ning2022,rho_e_bohr3__F_qm1_mult1_ning2022,rho_e_bohr3__Na_qm1_mult1_ning2022,rho_e_bohr3__Mg_qm1_mult2_formal,rho_e_bohr3__Al_qm2_mult4_formal,rho_e_bohr3__Al_qm1_mult3_ning2022,rho_e_bohr3__Si_qm2_mult3_formal,rho_e_bohr3__Si_qm1_mult4_ning2022,rho_e_bohr3__P_qm3_mult1_formal,rho_e_bohr3__P_qm2_mult2_formal,rho_e_bohr3__P_qm1_mult3_ning2022,rho_e_bohr3__S_qm2_mult1_formal,rho_e_bohr3__S_qm1_mult2_ning2022,rho_e_bohr3__Cl_qm1_mult1_ning2022,rho_e_bohr3__K_qm1_mult1_ning2022,rho_e_bohr3__Ca_qm1_mult2_ning2022,rho_e_bohr3__Sc_qm1_mult1_ning2022,rho_e_bohr3__Ti_qm1_mult4_ning2022,rho_e_bohr3__V_qm1_mult5_ning2022,rho_e_bohr3__Cr_qm1_mult6_ning2022,rho_e_bohr3__Mn_qm1_mult5_formal,rho_e_bohr3__Fe_qm1_mult4_ning2022,rho_e_bohr3__Co_qm1_mult3_ning2022,rho_e_bohr3__Ni_qm1_mult2_ning2022,rho_e_bohr3__Cu_qm1_mult1_ning2022,rho_e_bohr3__Zn_qm1_mult2_formal,rho_e_bohr3__Ga_qm2_mult4_formal,rho_e_bohr3__Ga_qm1_mult3_ning2022,rho_e_bohr3__Ge_qm2_mult3_formal,rho_e_bohr3__Ge_qm1_mult4_ning2022,rho_e_bohr3__As_qm3_mult1_formal,rho_e_bohr3__As_qm2_mult2_formal,rho_e_bohr3__As_qm1_mult3_ning2022,rho_e_bohr3__Se_qm2_mult1_formal,rho_e_bohr3__Se_qm1_mult2_ning2022,rho_e_bohr3__Br_qm1_mult1_ning2022,rho_e_bohr3__Rb_qm1_mult1_ning2022,rho_e_bohr3__Sr_qm1_mult2_ning2022,rho_e_bohr3__Y_qm1_mult1_ning2022,rho_e_bohr3__Zr_qm1_mult4_ning2022,rho_e_bohr3__Nb_qm1_mult5_ning2022,rho_e_bohr3__Mo_qm1_mult6_ning2022,rho_e_bohr3__Tc_qm1_mult5_formal,rho_e_bohr3__Ru_qm1_mult4_ning2022,rho_e_bohr3__Rh_qm1_mult3_ning2022,rho_e_bohr3__Pd_qm1_mult2_ning2022,rho_e_bohr3__Ag_qm1_mult1_ning2022,rho_e_bohr3__Cd_qm1_mult2_formal,rho_e_bohr3__In_qm2_mult4_formal,rho_e_bohr3__In_qm1_mult3_ning2022,rho_e_bohr3__Sn_qm2_mult3_formal,rho_e_bohr3__Sn_qm1_mult4_ning2022,rho_e_bohr3__Sb_qm3_mult1_formal,rho_e_bohr3__Sb_qm2_mult2_formal,rho_e_bohr3__Sb_qm1_mult3_ning2022,rho_e_bohr3__Te_qm2_mult1_formal,rho_e_bohr3__Te_qm1_mult2_ning2022,rho_e_bohr3__I_qm1_mult1_ning2022,rho_e_bohr3__Cs_qm1_mult1_ning2022,rho_e_bohr3__Ba_qm1_mult2_ning2022,rho_e_bohr3__La_qm1_mult3_ning2022,rho_e_bohr3__Ce_qm1_mult4_ning2022,rho_e_bohr3__Pr_qm1_mult5_ning2022,rho_e_bohr3__Nd_qm1_mult6_ning2022,rho_e_bohr3__Pm_qm1_mult7_formal,rho_e_bohr3__Sm_qm1_mult8_formal,rho_e_bohr3__Eu_qm1_mult9_ning2022,rho_e_bohr3__Gd_qm1_mult10_ning2022,rho_e_bohr3__Tb_qm1_mult9_ning2022,rho_e_bohr3__Dy_qm1_mult6_ning2022,rho_e_bohr3__Ho_qm1_mult5_formal,rho_e_bohr3__Er_qm1_mult4_formal,rho_e_bohr3__Tm_qm1_mult3_ning2022,rho_e_bohr3__Yb_qm1_mult2_formal,rho_e_bohr3__Lu_qm1_mult1_ning2022,rho_e_bohr3__Hf_qm1_mult4_ning2022,rho_e_bohr3__Ta_qm1_mult5_ning2022,rho_e_bohr3__W_qm1_mult6_ning2022,rho_e_bohr3__Re_qm1_mult5_ning2022,rho_e_bohr3__Os_qm1_mult4_ning2022,rho_e_bohr3__Ir_qm1_mult3_ning2022,rho_e_bohr3__Pt_qm1_mult2_ning2022,rho_e_bohr3__Au_qm1_mult1_ning2022,rho_e_bohr3__Hg_qm1_mult2_formal,rho_e_bohr3__Tl_qm2_mult4_formal,rho_e_bohr3__Tl_qm1_mult3_ning2022,rho_e_bohr3__Pb_qm2_mult3_formal,rho_e_bohr3__Pb_qm1_mult4_ning2022,rho_e_bohr3__Bi_qm3_mult1_formal,rho_e_bohr3__Bi_qm2_mult2_formal,rho_e_bohr3__Bi_qm1_mult3_ning2022,rho_e_bohr3__Po_qm2_mult1_formal,rho_e_bohr3__Po_qm1_mult2_formal,rho_e_bohr3__At_qm1_mult1_ning2022
1.0000000000000004e-06,0.31786229396922011,13.983116199415221,36.018487996094009,74.033540336842179,74.113191441996634,133.00210691224757,132.93143978745303,132.94693430607421,217.9194384091175,217.94974494769434,218.12909537129428,334.58668369649251,334.97268663319778,488.21609277048509,958.81249591110168,1296.2368853910918,1703.5714485026547,1703.7745369924432,2193.4455965857405,2193.6531398511006,2788.1282642802325,2788.3075936875248,2788.7367975097904,3489.72722172764,3490.3247758702541,4334.968222451007,6492.7177832879497,7828.512179321855,9421.2737898640207,11219.502031299566,13519.202459432865,16018.063571409481,18699.164123402432,21703.022962358977,25586.265354330066,30073.600040022837,34759.144802211922,39893.592984793744,46614.077842316226,46615.52154509972,53317.763020920174,53318.859176587997,60806.762056420317,60807.759801591208,60809.696660750895,69110.917057090453,69113.413584369569,78563.895268174383,101263.22153216577,114810.07509825515,129703.02767688766,146073.48428056954,164487.68310889549,184708.70209288911,207243.43915411385,232011.83153363151,259603.05889285158,289409.63637048582,322786.49263078894,350741.2981187253,387736.1825253205,387737.91336722835,441128.62584404205,441131.40523196658,489883.87105164403,489886.5975893836,489892.23181871109,539915.31282579678,539923.1760676828,600984.2357456889,734642.29716573493,813957.82402449439,895480.96084675589,988045.10508400248,1090950.2447814378,1199091.5018572379,1322724.3149506438,1453225.0057994127,1599014.5585960778,1758836.5922226417,1931325.0425780478,2119964.479319673,2325797.9334883192,2555802.6052940749,2805669.6527576968,3071235.4463962428,3366200.6202869173,3691599.5190276215,4044297.5660931668,4421716.8444932615,4845339.1221892089,5295310.3726194063,5793554.1011968292,6339175.7664902806,6930870.335580688,7575625.9155458063,8271064.9409363819,8271083.0278888969,9064521.8290878497,9064520.2911037654,9903646.4547658451,9903637.9089581631,9903650.7365348432,10847875.49881652,10847902.32012091,11879216.045004182
1.0150494464681606e-06,0.31786229396898352,13.983116199051793,36.018487994130666,74.033540329972681,74.11319143511929,133.00210689295372,132.93143976816913,132.94693428678792,217.91943836284688,217.94974490141553,218.12909532497551,334.58668359789135,334.97268653447844,488.21609259084909,958.81249488202593,1296.2368830705964,1703.5714444147161,1703.7745329040226,2193.4455900136481,2193.653133278397,2788.1282534833035,2788.3075828899209,2788.7367867105395,3489.7272052408834,3490.3247593806936,4334.9681961034448,6492.7177185267228,7828.512086849717,9421.2736486886843,11219.501828194198,13519.202081012885,16018.063009249607,18699.163409263754,21703.022089410297,25586.263932993272,30073.597745949319,34759.141847413921,39893.589308941984,46614.071902986965,46615.515605584849,53317.755668392907,53318.851823907746,60806.753007868843,60807.750752889136,60809.687611757501,69110.906009412065,69113.402536288151,78563.88165236538,101263.19984882325,114810.04758328554,129702.99399084153,146073.44337803527,164487.63305922778,184708.64148611922,207243.36645843205,232011.74466488522,259602.95490879333,289409.51539325062,322786.35170989385,350741.17249077256,387736.04438413621,387737.77522542008,441128.41700111522,441131.19638770714,489883.62747187261,489886.35400824016,489891.98823472881,539915.0460520864,539922.90929003176,600983.91584245535,734641.89227565867,813957.34390376334,895480.44117372145,988044.51626460836,1090949.5756962614,1199090.7615698951,1322723.4672956283,1453224.0642790226,1599013.5008837846,1758835.3849910626,1931323.7050975494,2119962.9895265489,2325796.2811299409,2555800.7319789329,2805667.5671982644,3071233.1426972942,3366198.06978493,3691596.6788913822,4044294.3926464422,4421713.3795462307,4845335.2586484849,5295306.1333066868,5793549.4476912264,6339170.6176770106,6930864.6992259882,7575619.7000146452,8271058.1472700536,8271076.2342076171,9064514.2191206794,9064512.6811379138,9903638.1623990368,9903629.6165985782,9903642.4441644438,10847866.331700195,10847893.152981738,11879205.903860528
1.0303253787753168e-06,0.31786229396873966,13.983116198677346,36.018487992107794,74.033540322894751,74.113191428033304,133.00210687307495,132.93143974830051,132.94693426691663,217.91943831517295,217.94974485373319,218.12909527725191,334.58668349629988,334.97268643276527,488.21609240576549,958.81249382174133,1296.2368806797324,1703.5714402028095,1703.7745286916193,2193.4455832422573,2193.653126506375,2788.128242358951,2788.3075717648771,2788.736775583795,3489.7271882541618,3490.3247423910821,4334.9681689568888,6492.7176518015958,7828.5119915733321,9421.2735032321834,11219.501618929602,13519.201691117236,16018.06243004215,18699.162673468727,21703.021189989267,25586.262468554298,30073.595382308056,34759.138803011869,39893.58552162032,46614.065783549027,46615.509485955758,53317.748092902315,53318.844248259513,60806.743684922971,60807.741429787988,60809.678288356212,69110.894626716748,69113.391153177523,78563.867623662401,101263.17750794577,114810.01923394328,129702.95928329113,146073.40123516502,164487.58149184874,184708.57904150864,207243.29155832998,232011.65516194302,259602.84777154546,289409.39074753487,322786.20651575801,350741.0430532617,387735.90205393423,387737.6328945756,441128.20182531502,441130.98121053464,489883.37650590058,489886.10304085515,489891.73726441828,539914.77118883934,539922.63442272448,600983.58623865305,734641.4751079164,813956.84922418464,895479.90574243874,988043.90959022939,1090948.8863221868,1199089.9988345518,1322722.593936922,1453223.0942086279,1599012.4110981803,1758834.1411523533,1931322.3270603307,2119961.4545581038,2325794.5786667271,2555798.8018589485,2805665.4183980701,3071230.7691428866,3366195.4419436175,3691593.7526332233,4044291.1229708334,4421709.8095309557,4845331.2779529672,5295301.7654444817,5793544.6530763507,6339165.3127351608,6930858.8919587098,7575613.296008382,8271051.1475975495,8271069.2345196996,9064506.3783946447,9064504.8404132389,9903629.6185803972,9903621.0727873836,9903633.9003421105,10847856.886606641,10847883.707864657,11879195.455203881
1.0458312054079828e-06,0.31786229396848853,13.983116198291542,36.01848799002358,74.033540315602238,74.113191420732534,133.00210685259322,132.93143972782929,132.94693424644282,217.91943826605331,217.94974480460485,218.12909522808127,334.5866833916275,334.97268632796761,488.21609221506901,958.81249272930438,1296.2368782163644,1703.5714358631744,1703.7745243514719,2193.4455762655225,2193.6531195289908,2788.1282308972477,2788.3075603024563,2788.7367641196265,3489.7271707523118,3490.3247248862513,4334.9681409871055,6492.7175830530086,7828.5118934076618,9421.2733533646569,11219.501403319009,13519.201289397924,16018.0618332701,18699.161915360582,21703.020263293212,25586.260959706091,30073.592946989469,34759.135666288545,39893.5816194484,46614.059478540788,46615.50318075058,53317.740287687338,53318.836442882137,60806.734079261929,60807.731823966969,60809.66868222598,69110.882898845506,69113.379424878454,78563.853169544833,101263.15448959483,114809.9900249272,129702.9235232611,146073.3578143479,164487.52836073725,184708.51470332907,207243.21438696445,232011.56294492981,259602.73738549682,289409.26232210244,322786.05691880884,350740.90969067672,387735.75540769263,387737.48624767119,441127.98012461833,441130.75950842397,489883.117929767,489885.84446326457,489891.47868381417,539914.48799076793,539922.35122046969,600983.24664014485,734641.04529022914,813956.33954431978,895479.35407509468,988043.28451947914,1090948.1760440322,1199089.212970559,1322721.6940951603,1453222.0947225597,1599011.2882667617,1758832.859596546,1931320.9072366692,2119959.873044576,2325792.8245794503,2555796.8132117488,2805663.2044395981,3071228.3236149522,3366192.7344179805,3691590.7376418309,4044287.7541485983,4421706.1312616784,4845327.176550407,5295297.2651350535,5793539.7130736355,6339159.8469307367,6930852.9085966013,7575606.6978122536,8271043.9356725197,8271062.0225787964,9064498.2999128625,9064496.7619328555,9903620.8156856559,9903612.2699003108,9903625.0974435471,10847847.155107271,10847873.97634105,11879184.689710088
1.0615703861485017e-06,0.31786229396822963,13.983116197894043,36.018487987876171,74.033540308088575,74.113191413210345,133.00210683149041,132.93143970673731,132.94693422534826,217.9194382154443,217.94974475398678,218.12909517741932,334.58668328378172,334.97268621999206,488.21609201858973,958.81249160373898,1296.2368756782935,1703.5714313919402,1703.7745198797095,2193.445569077212,2193.6531123400146,2788.1282190879665,2788.3075484924384,2788.736752307806,3489.7271527197145,3490.3247068505834,4334.9681121691247,6492.7175122195949,7828.5117922650879,9421.2731989523672,11219.50118116997,13519.20087549639,16018.061218400859,18699.161134262704,21703.019308494928,25586.259405101991,30073.590437819945,34759.132434444276,39893.577598943622,46614.052982335008,46615.496684341866,53317.732245781714,53318.82840080915,60806.724182312631,60807.721926852901,60809.658784793239,69110.870815331131,69113.367340923214,78563.838277112474,101263.13077322682,114809.9599301694,129702.88667883727,146073.31307683291,164487.47361847674,184708.44841416291,207243.1348754653,232011.46793154895,259602.623652137,289409.13000234566,322785.90278554463,350740.77228399797,387735.60431453597,387737.33515383257,441127.75170117896,441130.53108352807,489882.85151271935,489885.57804471685,489891.2122621609,539914.19620514615,539922.05943053775,600982.89674387942,734640.60243903566,813955.81440934166,895478.78567939415,988042.64049455663,1090947.4442279588,1199088.4032766283,1322720.7669673506,1453221.0649289037,1599010.1313875492,1758831.5391800278,1931319.4443595677,2119958.2435746784,2325791.0173028167,2555794.7642627461,2805660.9233471942,3071225.8039311878,3366189.9447919345,3691587.6312267575,4044284.2831735406,4421702.3414560407,4845322.9507808927,5295292.6283624833,5793534.6232747985,6339154.2153862622,6930846.7438003113,7575599.8995382469,8271036.5050592674,8271054.5919491854,9064489.9764663838,9064488.4384878296,9903611.7458593342,9903603.200081883,9903616.0276132952,10847837.128517998,10847863.949726786,11879173.59777231
1.0775464328470257e-06,0.31786229396796273,13.983116197484481,36.01848798566364,74.033540300346985,74.113191405459958,133.00210680974763,132.93143968500567,132.94693420361378,217.91943816330038,217.94974470183362,218.12909512522106,334.58668317266472,334.97268610874198,488.21609181615202,958.8124904440408,1296.2368730632543,1703.5714267851145,1703.7745152723396,2193.445561670916,2193.6531049330297,2788.1282069205604,2788.3075363242779,2788.7367401377878,3489.7271341402702,3490.3246882679778,4334.9680824772349,6492.7174392381376,7828.5116880553387,9421.273039857484,11219.500952284205,13519.200449043212,16018.060584885619,18699.160329477916,21703.018324742276,25586.257803354401,30073.587852560013,34759.129104594649,39893.573456517428,46614.046289133832,46615.489990931528,53317.723960008065,53318.820114863141,60806.713985242146,60807.711729612609,60809.648587224663,69110.858365389329,69113.354890527175,78563.822933074058,101263.10633767585,114809.92892281139,129702.84871713752,146073.26698269424,164487.41721621287,184708.38011485158,207243.05295287428,232011.37003700883,259602.50646996929,289408.99367018091,322785.74397841614,350740.63071059808,387735.44863962132,387737.17947821511,441127.51635115338,441130.29573200084,489882.57701701083,489885.30354746204,489890.93776170647,539913.89557158586,539921.75879253598,600982.5362376133,734640.14615914284,813955.27335063822,895478.20004811371,988041.9769407534,1090946.6902209178,1199087.5690302122,1322719.811726152,1453220.0039087059,1599008.9394281795,1758830.178724512,1931317.9371236092,2119956.5646943385,2325789.155224097,2555792.6531835506,2805658.573085322,3071223.2078431495,3366187.0705761337,3691584.430615976,4044280.7069483278,4421698.4367321953,4845318.5968735293,5295287.8509891368,5793529.3791379062,6339148.4130763765,6930840.3920686133,7575592.8951198282,8271028.8491269834,8271046.9360000584,9064481.4006276876,9064479.8626506086,9903602.4010078423,9903593.8552385364,9903606.6827577762,10847826.79789139,10847853.619074438,11879162.169492474
1.0937629102051138e-06,0.31786229396768795,13.983116197062499,36.018487983384034,74.033540292370759,74.113191397474651,133.00210678734538,132.93143966261499,132.94693418122014,217.91943810957508,217.94974464809883,218.12909507143988,334.58668305817832,334.97268599411814,488.216091607576,958.81248924917304,1296.236870368914,1703.5714220385851,1703.7745105252477,2193.4455540400181,2193.653097301426,2788.1281943841786,2788.3075237871144,2788.7367275987081,3489.7271149973972,3490.3246691218501,4334.9680518849254,6492.7173640434939,7828.5115806854064,9421.2728759379988,11219.500716457413,13519.200009657765,16018.059932158929,18699.159500287911,21703.017311157171,25586.256153033784,30073.585188902271,34759.12567376771,39893.569188472757,46614.039392963517,46615.483094545794,53317.715422971378,53318.811577648827,60806.703478949625,60807.701223145108,60809.638080418968,69110.845537908579,69113.342062578478,78563.807123735227,101263.08116113397,114809.89697518043,129702.80960428274,146073.2194907954,164487.3591036101,184708.30974444203,207242.96854608186,232011.26917394664,259602.38573441931,289408.85320394585,322785.58035570482,350740.48484413081,387735.28824401781,387737.01908188744,441127.27386451658,441130.05324381695,489882.29419768497,489885.02072654315,489890.65493749105,539913.58582180552,539921.44903818064,600982.16479964217,734639.67604337749,813954.71588539076,895477.59665865451,988041.2932659348,1090945.9133500606,1199086.7094868552,1322718.8275191481,1453218.9107151569,1599007.7113250005,1758828.7770159976,1931316.3841838129,2119954.834905406,2325787.2366816513,2555790.4780903505,2805656.151556734,3071220.5330342231,3366184.1092057815,3691581.1329534356,4044277.022281731,4421694.4136057515,4845314.11094312,5295282.9287519045,5793523.9759833403,6339142.4348233696,6930833.847733479,7575585.6783065852,8271020.9610438505,8271039.0478995591,9064472.5647440553,9064471.0267685242,9903592.7727922276,9903584.227031311,9903597.0545379855,10847816.154008811,10847842.975165341,11879150.394672442
1.1102234365711046e-06,0.31786229396740506,13.983116196627737,36.018487981035236,74.033540284152579,74.11319138924712,133.00210676426403,132.93143963954549,132.94693415814768,217.91943805422068,217.94974459273467,218.12909501602795,334.58668294021976,334.97268587601843,488.2160913926744,958.81248801807146,1296.2368675928669,1703.5714171481152,1703.7745056342019,2193.4455461777147,2193.6530894383909,2788.1281814676249,2788.3075108697558,2788.7367146793772,3489.7270952740128,3490.3246493951056,4334.9680203648968,6492.7172865685579,7828.5114700594422,9421.2727070476194,11219.500473479129,13519.199556947886,16018.059259638219,18699.158645952648,21703.016266834988,25586.254452667148,30073.582444469339,34759.122138901344,39893.564791000252,46614.032287669252,46615.475989029546,53317.706627052408,53318.802781546772,60806.692654058257,60807.690398073566,60809.627254998872,69110.832321440394,69113.328845628115,78563.790834986314,101263.05522113168,114809.86405876459,129702.76930536683,146073.17055875214,164487.29922880663,184708.2372401348,207242.8815797618,232011.16525235111,259602.26133774259,289408.70847828861,322785.41177139443,350740.33455442003,387735.12298458186,387736.85382170556,441127.02402487688,441129.80340258393,489882.00280236109,489884.72932957794,489890.36353712901,539913.26667938975,539921.1298910504,600981.78209850565,734639.19167222269,813954.14151614252,895476.97497257323,988040.5888600176,1090945.1129221371,1199085.8238795362,1322717.8134680807,1453217.7843727376,1599006.4459821084,1758827.332803675,1931314.7841544133,2119953.052664306,2325785.2599634761,2555788.2370422194,2805653.6566005941,3071217.7771175653,3366181.0580383195,3691577.7352964897,4044273.2258857801,4421690.2684867186,4845309.4889866924,5295277.857258481,5793518.4089896213,6339136.2752925698,6930827.1049551116,7575578.2426585807,8271012.8337709196,8271030.9206087347,9064463.4609308261,9064461.9229568727,9903582.8526207116,9903574.3068684414,9903587.1343621649,10847805.187372157,10847832.008501377,11879138.262804873
1.1269316847474762e-06,0.31786229396711341,13.983116196179772,36.018487978615255,74.033540275685155,74.113191380770076,133.00210674048259,132.93143961577621,132.94693413437537,217.91943799718774,217.94974453569148,218.12909495893541,334.58668281868432,334.97268575433736,488.21609117125513,958.81248674963626,1296.2368647326352,1703.5714121093383,1703.7745005948314,2193.4455380769809,2193.6530813369054,2788.1281681593705,2788.3074975606742,2788.7367013682629,3489.7270749525105,3490.3246290701422,4334.9679878890101,6492.7172067441679,7828.5113560787158,9421.272533035597,11219.50022313246,13519.199090509495,16018.058566723223,18699.15776570954,21703.015190843606,25586.252700736841,30073.579616811716,34759.118496840631,39893.560260175203,46614.024966909637,46615.468668041183,53317.697564400834,53318.793718706613,60806.681500906998,60807.67924473653,60809.61610130281,69110.818704189442,69113.315227880346,78563.774052289984,101263.02849451877,114809.83014418751,129702.72778442493,146073.12014289602,164487.23753836859,184708.16253722474,207242.79197630406,232011.05817948212,259602.13316892766,289408.55936405674,322785.23807504319,350740.17970734218,387734.9527138297,387736.68355018436,441126.766609282,441129.54598534742,489881.70257100492,489884.42909653054,489890.06330058299,539912.93785954348,539920.80106634635,600981.38779269555,734638.69261344336,813953.54973035341,895476.33443510206,988039.8630944211,1090944.288222888,1199084.91141798,1322716.7686680607,1453216.6238763602,1599005.1422703778,1758825.8447988187,1931313.13560764,2119951.2163806753,2325783.2233056701,2555785.9280393887,2805651.0859905733,3071214.9376339717,3366177.9143510833,3691574.2346132901,4044269.3143728245,4421685.9976762272,4845304.7268798966,5295272.6319833696,5793512.6731890887,6339129.9289875869,6930820.1577166282,7575570.5815406842,8271004.4600558355,8271022.5468752161,9064454.0810642727,9064452.5430919454,9903572.6316410564,9903564.0858976841,9903576.9133780897,10847793.888195375,10847820.709296426,11879125.763063908
1.1438913828103569e-06,0.31786229396681265,13.983116195718223,36.018487976121861,74.033540266961054,74.113191372036056,133.00210671598001,132.93143959128614,132.94693410988214,217.91943793842503,217.94974447691834,218.12909490011148,334.58668269346333,334.97268562896591,488.21609094312203,958.81248544273512,1296.2368617856646,1703.571406917762,1703.7744954026407,2193.4455297305922,2193.6530729897404,2788.1281544475437,2788.3074838479888,2788.7366876534857,3489.7270540147524,3490.3246081288189,4334.9679544282844,6492.7171244990795,7828.511238641493,9421.2723537466136,11219.499965193962,13519.198609926287,16018.057852795497,18699.156858772974,21703.0140822227,25586.250895679234,30073.57670340575,34759.114744335027,39893.555591953635,46614.017424150908,46615.461125046801,53317.68822692828,53318.784381039834,60806.670009541776,60807.667753179994,60809.604609376307,69110.8046740024,69113.30119718147,78563.756760667951,101263.00095744262,114809.79520118215,129702.68500440218,146073.06819823393,164487.17397724162,184708.08556904609,207242.69965574579,232010.94785978785,259602.00111359791,289408.40572818293,322785.05911164696,350740.0201647068,387734.77727980574,387736.50811536814,441126.50138802233,441129.2807623964,489881.39323570079,489884.11975948384,489889.75395993039,539912.59906883608,539920.46227063402,600980.9815303483,734638.17842170014,813952.93999995221,895475.67447466054,988039.11532150756,1090943.4385163926,1199083.9712879541,1322715.6921867714,1453215.4281904639,1599003.7990264567,1758824.3116736352,1931311.4370724419,2119949.3244159413,2325781.1248908471,2555783.5490214815,2805648.43743284,3071212.0120497048,3366174.675338869,3691570.627780085,4044265.2842525281,4421681.5973633388,4845299.8203733899,5295267.2482638992,5793506.7634635083,6339123.3902453985,6930812.9998187497,7575562.6881165877,8270995.8324264456,8271013.919226829,9064444.4167744033,9064442.8788037598,9903562.100732686,9903553.5549984947,9903566.3824651651,10847782.246395707,10847809.067467779,11879112.884295523
