comparison_id,comparison_kind,base_dataset_id,diffuse_dataset_id,base_basis_id,diffuse_basis_id,expected_state_count,common_state_count,release_gate_fail_count,outlier_count,low_sensitivity_count,moderate_sensitivity_count,high_sensitivity_count,base_state_count,diffuse_state_count,missing_base_state_count,missing_diffuse_state_count,unexpected_common_state_count,missing_base_state_ids,missing_diffuse_state_ids,unexpected_common_state_ids,max_relative_l1_delta,max_abs_signed_delta_electrons_trapz,max_l1_delta_electrons_trapz,max_abs_cumulative_delta_electrons,max_mean_abs_radial_shift_angstrom,max_abs_delta_mean_r_angstrom,max_abs_delta_rms_r_angstrom,max_abs_quantile_radius_delta_angstrom,max_abs_cutoff_radius_delta_angstrom
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall-v4z,dyall-av4z,166,166,0,14,132,20,14,501,166,0,0,0,,,,0.38341765063770683,1.5753983190865775e-06,3.4508871815407405,1.6607226590413848,0.5288044652562959,0.5282134622536202,1.2237935265590751,10.557999340335328,2.1274651448745816
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c_supplemented_basis_sensitivity,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c-QZVPall,x2c-QZVPall-s,192,192,0,0,192,0,0,430,192,0,0,0,,,,0.013830680576515474,5.1608132254043733e-14,0.1244807541700272,0.03257785643693545,0.005213362900838398,0.004048622842157158,0.006953003355020735,0.021350260867232948,0.019732304526452627
