comparison_id,comparison_kind,group_kind,group_value,metric,n,min,p50,p90,p95,p99,max
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,all,all,relative_l1_delta,166,3.763873090534997e-07,0.0011811335218063195,0.057514941152621415,0.11513016985924224,0.2943176432417111,0.38341765063770683
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,all,all,l1_delta_electrons_trapz,166,1.5056052241344319e-06,0.05949309923160173,1.8390955234023778,2.1829970808188386,2.8922731097059877,3.4508871815407405
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,all,all,max_abs_cumulative_delta_electrons,166,2.3056437026269805e-07,0.029647289906808538,0.8795897262044932,1.0743649189886284,1.4285113395797822,1.6607226590413848
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,all,all,mean_abs_radial_shift_angstrom,166,1.4111393521666076e-07,0.002154999844610466,0.11703688891051256,0.20148175502339485,0.49643982319170754,0.5288044652562959
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,all,all,delta_mean_r_angstrom,166,4.587611710284078e-10,0.002153766601263097,0.11664984937521974,0.2000203389361067,0.4901389786510124,0.5282134622536202
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,all,all,delta_rms_r_angstrom,166,2.2879299031482503e-08,0.013289210782535543,0.4995934507159292,0.648246512609811,0.9433065894858175,1.2237935265590751
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,all,all,max_abs_quantile_radius_delta_angstrom,166,8.211481955000663e-05,1.043348330981085,5.146747135616684,7.526332276524705,8.955362480676058,10.557999340335328
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,all,all,max_abs_cutoff_radius_delta_angstrom,166,1.3732989998991612e-06,0.016626031838318386,1.5203559653971102,1.6297747375475327,1.7764149219013667,2.1274651448745816
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,all,all,delta_tail_electrons_gt_10_bohr,166,5.609220827487034e-09,0.006968304234194566,0.5915994225525516,0.7935534223338698,1.0753921881043358,1.288171076783834
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,all,all,delta_tail_electrons_gt_15_bohr,166,1.820099853359564e-14,9.922494798642121e-05,0.21447396539758426,0.45921544893598787,0.5553746269978996,0.708342068162896
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,all,all,delta_tail_electrons_gt_20_bohr,166,3.657384568871646e-23,1.9659728279351253e-06,0.017405303009776746,0.17836845191371092,0.37441481745781496,0.520692828341278
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,charge,-1,relative_l1_delta,67,0.00021161222364105754,0.004765317330874522,0.04763881646153514,0.08054422863980235,0.1419079041302937,0.21752094715319004
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,charge,-1,l1_delta_electrons_trapz,67,0.0181993279991839,0.1446512463614426,1.0616785301504619,1.2225534810633698,1.4253589172288998,1.4337943196357685
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,charge,-1,max_abs_cumulative_delta_electrons,67,0.008556765774713426,0.07194182253544312,0.5115600485806524,0.5848694972987016,0.7015515990578048,0.7016272264290535
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,charge,-1,mean_abs_radial_shift_angstrom,67,0.00028000118274954227,0.008330390725360041,0.11199029963299986,0.14850688162319536,0.3400888226608146,0.5288044652562959
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,charge,-1,delta_mean_r_angstrom,67,0.0002797320913395018,0.008328166419701343,0.11184750396133658,0.14715625110619773,0.33858471823784186,0.5282134622536202
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,charge,-1,delta_rms_r_angstrom,67,0.001818900808140171,0.044307493831475545,0.5244431204661009,0.6672689197915366,0.9861228309817236,1.2237935265590751
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,charge,-1,max_abs_quantile_radius_delta_angstrom,67,0.3215722393239612,2.4248926156047403,7.75926614912664,8.347464951543873,10.141417138499294,10.557999340335328
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,charge,-1,max_abs_cutoff_radius_delta_angstrom,67,0.002186075786220471,0.06152544556700459,0.8790947937847413,1.26843558501556,1.8654961023378414,2.1274651448745816
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,charge,-1,delta_tail_electrons_gt_10_bohr,67,8.143600018274047e-05,0.03168918897036008,0.3847788145973096,0.5437732250351655,0.6395827397732359,0.6983963118619415
