z,symbol,charge,electron_count,state_source,source_table,state_role,physical_status,include_reason
96,Cm,3,93,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
97,Bk,0,97,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
97,Bk,1,96,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
97,Bk,2,95,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
97,Bk,3,94,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
98,Cf,0,98,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
98,Cf,1,97,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
98,Cf,2,96,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
98,Cf,3,95,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
99,Es,0,99,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
99,Es,1,98,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
99,Es,2,97,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
99,Es,3,96,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
100,Fm,0,100,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
100,Fm,1,99,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
100,Fm,2,98,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
100,Fm,3,97,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
101,Md,0,101,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
101,Md,1,100,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
101,Md,2,99,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
101,Md,3,98,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
102,No,0,102,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
102,No,1,101,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
102,No,2,100,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
102,No,3,99,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
103,Lr,0,103,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
103,Lr,1,102,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
103,Lr,2,101,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
103,Lr,3,100,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
