z,symbol,charge,electron_count,state_source,source_table,state_role,physical_status,include_reason
65,Tb,0,65,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
65,Tb,1,64,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
65,Tb,2,63,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
65,Tb,3,62,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
66,Dy,-1,67,ning2022,source/ning2022/ning2022_monoanions.csv,bound_provisional,provisional_experimental,accepted_physical_or_provisional_monoanion
66,Dy,0,66,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
66,Dy,1,65,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
66,Dy,2,64,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
66,Dy,3,63,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
67,Ho,-1,68,manual_curated,curated/formal_atoms_ions.csv,formal_monoanion,not_claimed,review_theory_only_but_required_by_policy
67,Ho,0,67,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
67,Ho,1,66,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
67,Ho,2,65,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
67,Ho,3,64,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
68,Er,-1,69,manual_curated,curated/formal_atoms_ions.csv,formal_monoanion,not_claimed,review_theory_only_but_required_by_policy
68,Er,0,68,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
68,Er,1,67,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
68,Er,2,66,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
68,Er,3,65,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
69,Tm,-1,70,ning2022,source/ning2022/ning2022_monoanions.csv,bound_provisional,provisional_experimental,accepted_physical_or_provisional_monoanion
69,Tm,0,69,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
69,Tm,1,68,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
69,Tm,2,67,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
69,Tm,3,66,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
70,Yb,-1,71,formal_rule,curated/formal_atoms_ions.csv,formal_monoanion,not_claimed,review_unbound_but_required_by_policy
70,Yb,0,70,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
70,Yb,1,69,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,v2_cation_charge_policy
70,Yb,2,68,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
70,Yb,3,67,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
71,Lu,-1,72,ning2022,source/ning2022/ning2022_monoanions.csv,bound_experimental,experimental_or_evaluated,accepted_physical_or_provisional_monoanion
71,Lu,0,71,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
71,Lu,1,70,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
71,Lu,2,69,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,v2_cation_charge_policy
71,Lu,3,68,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
72,Hf,-1,73,ning2022,source/ning2022/ning2022_monoanions.csv,bound_experimental,experimental_or_evaluated,accepted_physical_or_provisional_monoanion
72,Hf,0,72,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
