comparison_id,comparison_kind,left_dataset_id,right_dataset_id,left_basis_id,right_basis_id,state_id,symbol,z,charge,electron_count,state_category,state_role,integrity_status,comparison_tier,comparison_flags,integrity_flags,multiplicity,left_state_record_sha256,right_state_record_sha256,state_record_sha256_match,left_electron_count_trapz,right_electron_count_trapz,left_electron_count_error,right_electron_count_error,max_abs_electron_count_error,signed_delta_electrons_trapz,abs_signed_delta_electrons_trapz,l1_delta_electrons_trapz,radial_distribution_l1_delta_electrons,relative_l1_delta,relative_radial_distribution_l1_delta,max_abs_radial_distribution_delta_e_per_bohr,r_at_max_abs_radial_distribution_delta_bohr,max_abs_density_delta_e_bohr3,r_at_max_abs_density_delta_bohr,max_abs_cumulative_delta_electrons,r_at_max_abs_cumulative_delta_bohr,integrated_abs_cumulative_delta_electron_bohr,integrated_abs_cumulative_delta_electron_angstrom,mean_abs_radial_shift_bohr,mean_abs_radial_shift_angstrom,left_mean_r_bohr,right_mean_r_bohr,delta_mean_r_bohr,delta_mean_r_angstrom,left_mean_r2_bohr2,right_mean_r2_bohr2,delta_mean_r2_bohr2,left_rms_r_bohr,right_rms_r_bohr,delta_rms_r_bohr,delta_rms_r_angstrom,left_r50_bohr,right_r50_bohr,delta_r50_bohr,delta_r50_angstrom,left_r90_bohr,right_r90_bohr,delta_r90_bohr,delta_r90_angstrom,left_r95_bohr,right_r95_bohr,delta_r95_bohr,delta_r95_angstrom,left_r99_bohr,right_r99_bohr,delta_r99_bohr,delta_r99_angstrom,left_r99p5_bohr,right_r99p5_bohr,delta_r99p5_bohr,delta_r99p5_angstrom,left_r99p9_bohr,right_r99p9_bohr,delta_r99p9_bohr,delta_r99p9_angstrom,left_r99p99_bohr,right_r99p99_bohr,delta_r99p99_bohr,delta_r99p99_angstrom,left_r_iso_0p003_e_bohr3_bohr,right_r_iso_0p003_e_bohr3_bohr,delta_r_iso_0p003_e_bohr3_bohr,delta_r_iso_0p003_e_bohr3_angstrom,left_r_iso_0p001_e_bohr3_bohr,right_r_iso_0p001_e_bohr3_bohr,delta_r_iso_0p001_e_bohr3_bohr,delta_r_iso_0p001_e_bohr3_angstrom,left_r_iso_0p0001_e_bohr3_bohr,right_r_iso_0p0001_e_bohr3_bohr,delta_r_iso_0p0001_e_bohr3_bohr,delta_r_iso_0p0001_e_bohr3_angstrom,left_tail_electrons_gt_5_bohr,right_tail_electrons_gt_5_bohr,delta_tail_electrons_gt_5_bohr,abs_delta_tail_electrons_gt_5_bohr,left_tail_electrons_gt_10_bohr,right_tail_electrons_gt_10_bohr,delta_tail_electrons_gt_10_bohr,abs_delta_tail_electrons_gt_10_bohr,left_tail_electrons_gt_15_bohr,right_tail_electrons_gt_15_bohr,delta_tail_electrons_gt_15_bohr,abs_delta_tail_electrons_gt_15_bohr,left_tail_electrons_gt_20_bohr,right_tail_electrons_gt_20_bohr,delta_tail_electrons_gt_20_bohr,abs_delta_tail_electrons_gt_20_bohr,max_abs_quantile_radius_delta_angstrom,max_abs_cutoff_radius_delta_angstrom
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,x2c-QZVPall,dyall-v4z,H_qm1_mult1_ning2022,H,1,-1,2,ning2022_monoanion_reference,bound_experimental,PASS,moderate,relative_l1_watch,,1,df30689b463c8c60a8de55bb53f41e5348f79751eb5008f6866f0465d7534abd,df30689b463c8c60a8de55bb53f41e5348f79751eb5008f6866f0465d7534abd,True,2.0000743754094343,2.0000743754094352,7.437540943433518e-05,7.437540943522336e-05,7.437540943522336e-05,1.698817004880146e-15,1.698817004880146e-15,0.20332526296845949,0.20332526296845949,0.10165885102489591,0.10165885102489591,0.05485260198061487,2.8494609789315364,0.014987925759068044,1.0000000000000004e-06,0.10161690029292636,3.899364979154372,0.3279714654374806,0.17355502533597564,0.1639796346925057,0.08677428573147299,2.1699124088075696,2.3338734668528858,0.16396105804531613,0.08676445539312527,6.260895364236645,7.556653691101878,1.2957583268652328,2.5021781240024947,2.7489368292308716,0.24675870522837684,0.13057908339878796,1.9570108664833863,2.0113007232294384,0.054289856746052134,0.028728954973199286,3.92320892977871,4.438949934299103,0.5157410045203932,0.27291838632041315,4.502429117965331,5.173158586439176,0.6707294684738452,0.354934749397441,5.597161359113011,6.501402328523687,0.9042409694106759,0.47850371417696635,6.000527375184536,6.979084902234508,0.978557527049972,0.5178303428724411,6.838103939807309,7.964703606324775,1.1265996665174667,0.5961708693319628,7.865759474612212,9.172443877592512,1.3066844029802995,0.6914676078995665,3.1392845721295353,3.014944514150476,-0.12434005797905945,-0.06579792508487599,4.021915084665289,4.070280205328417,0.048365120663127925,0.025593719657501086,5.498057454716875,6.051925195324431,0.5538677406075561,0.29309418618385275,0.05048425251992227,0.11920184755399023,0.06871759503406796,0.06871759503406796,5.527921309786053e-07,3.32598070426876e-05,3.2707014911709e-05,3.2707014911709e-05,1.6896502754433788e-15,2.0423192052013482e-11,2.042150240173804e-11,2.042150240173804e-11,1.7533226006406367e-27,3.370557465243534e-20,3.370557289911274e-20,3.370557289911274e-20,0.6914676078995665,0.29309418618385275
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,x2c-QZVPall,dyall-v4z,H_q0_mult2_nist,H,1,0,1,nist_reference,reference,PASS,low,,,2,ec46271458438d403de3c7ddc2c1472b4b70e1f7b199dfcddec01ac7557b43dc,ec46271458438d403de3c7ddc2c1472b4b70e1f7b199dfcddec01ac7557b43dc,True,1.0000371877047176,1.0000371877047172,3.718770471761168e-05,3.718770471716759e-05,3.718770471761168e-05,3.5845587956599226e-16,3.5845587956599226e-16,0.002172897761706092,0.002172897761706092,0.002172816959630592,0.002172816959630592,0.0010249024143008656,0.8755360164827907,0.011824298538733957,1.0000000000000004e-06,0.000791076618349984,3.841551751712311,0.002381859631209961,0.0012604258364061352,0.002381771058611129,0.0012603789658053228,1.5251834769345987,1.5275559452172478,0.0023724682826491428,0.0012554561487681036,3.1364497405606264,3.1554820250642495,0.019032284503623043,1.771002467689028,1.7763676491830878,0.005365181494059845,0.002839131779014979,1.3474924332939464,1.3479840818299258,0.0004916485359793832,0.0002601692010141132,2.7373151335254744,2.739066167131885,0.0017510336064106014,0.0009266070800377834,3.254800838370996,3.263496281280773,0.008695442909776752,0.004601430226561928,4.369301620549167,4.415203996198239,0.045902375649071736,0.024290491119797565,4.8204111411128885,4.889195331349258,0.06878419023636972,0.03639902594350349,5.789900131154928,5.9491987883691895,0.1592986572142614,0.0842972191252359,6.9758522392929185,7.361349253282429,0.38549701398951086,0.20399623467440411,2.332257881725107,2.332423350841185,0.00016546911607795423,8.756248533671656e-05,2.9063956637353012,2.902821344104591,-0.0035743196307103098,-0.0018914484930551226,4.122293783070556,4.128081337560556,0.005787554490000346,0.0030626419429675175,0.0037593613167675776,0.004239167438665931,0.00047980612189835355,0.00047980612189835355,3.680170210018861e-08,5.409407308624757e-07,5.041390287622871e-07,5.041390287622871e-07,1.1248652563082048e-16,3.307753710161697e-13,3.306628844905389e-13,3.306628844905389e-13,1.1672543751944963e-28,5.458974213611762e-22,5.458973046357387e-22,5.458973046357387e-22,0.20399623467440411,0.0030626419429675175
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,x2c-QZVPall,dyall-v4z,He_q0_mult1_nist,He,2,0,2,nist_reference,reference,PASS,low,,,1,86faf6f35bcfc68c0da5dd7e993cebec75fdc1dc5545e3b0a7a5e8f062ab7d0e,86faf6f35bcfc68c0da5dd7e993cebec75fdc1dc5545e3b0a7a5e8f062ab7d0e,True,2.000074375409433,2.0000743754094352,7.437540943300291e-05,7.437540943522336e-05,7.437540943522336e-05,9.01655719742566e-17,9.01655719742566e-17,0.0027592070658626604,0.0027592070658626604,0.0013795522305503388,0.0013795522305503388,0.002067201137031738,0.3850153878391036,0.11655266736186132,1.0000000000000004e-06,0.0007796064369074429,2.6051907157806045,0.0014985576079648798,0.0007930025353603263,0.0007492509410596848,0.00039648652325641203,0.9382830288348001,0.9390059126602525,0.0007228838254523806,0.00038253364655978185,1.224414273109045,1.2285064644417525,0.00409219133270744,1.1065325449841252,1.1083801082849478,0.0018475633008225856,0.000977688394496036,0.812768679069095,0.8130560130082368,0.0002873339391418206,0.00015205057251284096,1.7231175557115788,1.7232894343154428,0.00017187860386402853,9.09542402066682e-05,2.0731763716603675,2.074751439663373,0.001575068003005331,0.000833490092812919,2.8394220259011758,2.8559889852840152,0.016566959382839475,0.008766857359354278,3.1564863402813783,3.181137947729326,0.024651607447947477,0.013045068873580467,3.8532556581720514,3.9140244538207556,0.06076879564870419,0.03215746179131564,4.716736510789993,4.9023490738442925,0.18561256305429996,0.09822193842563166,2.150687152806159,2.1480128315384666,-0.0026743212676922923,-0.0014151898694959824,2.536914978769596,2.53579358726016,-0.0011213915094359095,-0.0005934148312935997,3.36337501221071,3.3740656936514113,0.01069068144070151,0.005657264987442891,8.477035672409205e-05,0.00015655603436977043,7.178567764567837e-05,7.178567764567837e-05,3.553202713689172e-15,1.501668703831701e-12,1.4981155011180119e-12,1.4981155011180119e-12,1.120719294769439e-32,4.283507754134606e-26,4.283506633415311e-26,4.283506633415311e-26,4.3102909832632306e-57,4.8260806029144594e-45,4.8260806029101493e-45,4.8260806029101493e-45,0.09822193842563166,0.005657264987442891
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,x2c-QZVPall,dyall-v4z,He_qp1_mult2_nist,He,2,1,1,nist_reference,reference_uncertain,PASS,low,,,2,69e08af3fd9d6e4fa4f6fe006c62d2f5c63f4b0e64678d39c7a84a0e66389288,69e08af3fd9d6e4fa4f6fe006c62d2f5c63f4b0e64678d39c7a84a0e66389288,True,1.000037187704717,1.0000371877047163,3.7187704716945547e-05,3.718770471627941e-05,3.7187704716945547e-05,-9.449285419051997e-16,9.449285419051997e-16,0.003999294507905193,0.003999294507905193,0.003999145788852479,0.003999145788852479,0.004660710053597361,0.4470437981695764,0.04347209234649263,0.019410572542311304,0.0011107560455380083,0.6209668924092815,0.0008206321187516273,0.0004342598157784056,0.0008206016024615451,0.00043424366725313275,0.7576960091804328,0.7574512810115009,-0.00024472816893184035,-0.00012950456986474948,0.7710040626324636,0.770677183944384,-0.0003268786880795682,0.8780683701355285,0.8778822153024767,-0.00018615483305184366,-9.850889535048822e-05,0.6727879659453936,0.6716831569943787,-0.0011048089510148351,-0.0005846397192786995,1.349486234683026,1.3514693072752937,0.0019830725922675985,0.0010493968233943498,1.6028206746810723,1.6048497936120951,0.0020291189310228663,0.001073763496509157,2.160553277193286,2.156713820483272,-0.0038394567100139554,-0.002031752993187993,2.3878977948643287,2.384454462780385,-0.003443332083943762,-0.0018221328683941745,2.899695196514953,2.8980886434989985,-0.0016065530159545816,-0.0008501512441506482,3.6653838744671567,3.587007453674561,-0.07837642079259588,-0.04147501575558578,1.6960132104728116,1.6994402422703347,0.003427031797523128,0.0018135071282891833,1.9826566989128924,1.9841442124980246,0.0014875135851322163,0.0007871582901605884,2.587836870238907,2.5841619624945085,-0.0036749077443984923,-0.001944677430506629,2.107215253043591e-06,7.634498240887128e-07,-1.3437654289548781e-06,1.3437654289548781e-06,8.738018222218628e-17,4.5444801908261235e-15,4.457100008603938e-15,4.457100008603938e-15,2.7560672465682465e-34,1.2963105262730693e-28,1.2963077702058227e-28,1.2963077702058227e-28,1.0599845882544693e-58,1.4605084069619492e-47,1.4605084069513494e-47,1.4605084069513494e-47,0.04147501575558578,0.001944677430506629
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,x2c-QZVPall,dyall-v4z,Li_qm1_mult1_ning2022,Li,3,-1,4,ning2022_monoanion_reference,bound_experimental,PASS,low,,,1,694cd8ab6e917885f0fdc5b1947c0a42b3c2f46d83189ffffc88cf9dbf48b4ba,694cd8ab6e917885f0fdc5b1947c0a42b3c2f46d83189ffffc88cf9dbf48b4ba,True,4.000148750818875,4.000148750818868,0.00014875081887488761,0.00014875081886778219,0.00014875081887488761,-1.301701142011871e-15,1.301701142011871e-15,0.11767842865270477,0.11767842865270477,0.029418513156195703,0.029418513156195703,0.02018002089003801,6.577272596506497,0.3776280475807283,1.0000000000000004e-06,0.057841268365825815,8.478679514650755,0.31917355518103024,0.16889937172469233,0.07979042157262081,0.04222327274457404,2.8039149003881687,2.883662865452063,0.07974796506389437,0.042200805727701504,15.46887574068688,16.832717293094632,1.3638415524077523,3.933049165811035,4.102769466237974,0.16972030042693875,0.08981211521354668,1.531178216278118,1.531801500569925,0.0006232842918070247,0.0003298278431380929,6.913751332783891,7.158132175230973,0.24438084244708236,0.1293207726042725,8.187169404675158,8.728443000860535,0.541273596185377,0.28642965196481446,10.483625267387001,11.503341082815773,1.0197158154287713,0.5396103711222755,11.30821775889941,12.455349660741888,1.147131901842478,0.6070360603548564,12.997567370284013,14.36490962746692,1.3673422571829068,0.7235663620058631,15.05651730117913,16.653884496335206,1.5973671951560764,0.8452903171206405,3.061169758985731,3.039550048403655,-0.021619710582076124,-0.011440658146353117,5.035446508420061,5.004741028233894,-0.03070548018616659,-0.016248640364352963,8.677919100828602,8.73687132824396,0.058952227415359104,0.031196175280179102,0.8968731871895741,0.9089224781010978,0.012049290911523736,0.012049290911523736,0.0583414081362057,0.10278017469887682,0.04443876656267112,0.04443876656267112,0.0004247726121450987,0.0021890057235056525,0.0017642331113605538,0.0017642331113605538,3.446120018032341e-07,6.844270668613677e-06,6.499658666810442e-06,6.499658666810442e-06,0.8452903171206405,0.031196175280179102
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,x2c-QZVPall,dyall-v4z,Li_q0_mult2_nist,Li,3,0,3,nist_reference,reference,PASS,low,,,2,766545275ee62b188cdf3e50c91d0e4f44cfe562a180c0f4e2cba9290e5f966f,766545275ee62b188cdf3e50c91d0e4f44cfe562a180c0f4e2cba9290e5f966f,True,3.00011156311415,3.000111563114148,0.00011156311414994846,0.0001115631141481721,0.00011156311414994846,-1.741752969318846e-15,1.741752969318846e-15,0.013739102188081104,0.013739102188081104,0.004579530427135104,0.004579530427135104,0.004323018046085314,3.308527136816369,0.3790994035694837,1.0000000000000004e-06,0.002791262127519456,2.566565328265837,0.009501187484624371,0.005027811893380015,0.0031669447234695613,0.0016758749758495949,1.6508828496345784,1.651469040152312,0.0005861905177335647,0.0003101986632320333,5.98068839091896,5.987531056637026,0.006842665718066243,2.4455446000674286,2.4469432066635766,0.0013986065961479888,0.0007401107377001311,0.7485139623160305,0.748801208060928,0.00028724574489746857,0.00015200390212859706,4.41858092084332,4.40700357718909,-0.011577343654230354,-0.0061264664246111645,5.409185680134036,5.398733284505667,-0.010452395628369082,-0.00553116956587506,7.390561275675962,7.417083293288355,0.026522017612393256,0.014034847307646505,8.17497706474956,8.222012471207627,0.047035406458066475,0.024890065203168568,9.90951825544501,10.000495212467284,0.09097695702227426,0.04814293237348919,12.228777206544741,12.405229457682795,0.17645225113805374,0.09337451011479098,2.6897203987960463,2.6991331595062054,0.009412760710159063,0.004981018459499314,4.161905541177964,4.1686458488045135,0.0067403076265497575,0.00356681719044582,6.48531620244515,6.469638573035821,-0.015677629409328375,-0.008296244204399237,0.2020240462097888,0.2002002156320987,-0.0018238305776901165,0.0018238305776901165,0.002745155942639816,0.0030002296069080127,0.00025507366426819663,0.00025507366426819663,1.3207196286218449e-05,2.1273292262441412e-05,8.066095976222963e-06,8.066095976222963e-06,1.0484717180447866e-08,5.5820784872876655e-08,4.533606769242879e-08,4.533606769242879e-08,0.09337451011479098,0.008296244204399237
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,x2c-QZVPall,dyall-v4z,Li_qp1_mult1_nist,Li,3,1,2,nist_reference,reference_uncertain,PASS,low,,,1,5c5436c355e8fa06cdc4cfb76fdf0f8095f4870bb13f8e806916ea89eee174f1,5c5436c355e8fa06cdc4cfb76fdf0f8095f4870bb13f8e806916ea89eee174f1,True,2.0000743754094334,2.0000743754094334,7.4375409433447e-05,7.4375409433447e-05,7.4375409433447e-05,1.4712857208782178e-15,1.4712857208782178e-15,0.0017410106536191994,0.0017410106536191994,0.0008704729559183512,0.0008704729559183512,0.002683138557511011,0.34679090276477453,0.37619251735415915,1.0000000000000004e-06,0.0004552535634985144,0.6117602394345621,0.00035948924832151423,0.00019023351777639486,0.00017973794011931358,9.511322184578878e-05,0.5767715295487409,0.576788938448205,1.740889946411084e-05,9.212392863308904e-06,0.45516698996028876,0.45511197595332986,-5.50140069588978e-05,0.6746606480003772,0.6746198751543938,-4.077284598336117e-05,-2.157606091805265e-05,0.5054372046638642,0.5055904699598197,0.00015326529595549587,8.110450184195215e-05,1.0445479656612788,1.0444480448466342,-9.992081464460512e-05,-5.287581800478777e-05,1.2489476263131192,1.2482311294442836,-0.00071649686883557,-0.0003791538146711395,1.6969733743219853,1.69573083352117,-0.0012425408008152061,-0.0006575242754085708,1.8818996868890976,1.8813140581356858,-0.0005856287534118376,-0.00030990139035507694,2.299470739444913,2.30169609788463,0.002225358439716718,0.0011776089723887447,2.8720190982962266,2.886028113184786,0.014009014888559435,0.007413251426226482,1.6169861739669713,1.615635223915022,-0.0013509500519492956,-0.0007148919805597912,1.8473971354803018,1.846037780646887,-0.001359354833414761,-0.0007193395993739353,2.334601199333812,2.333878308198653,-0.0007228911351586653,-0.0003825375146897661,2.1662197257568202e-07,4.077910739362876e-08,-1.7584286518205325e-07,1.7584286518205325e-07,3.353960459301416e-08,1.2749596025225479e-09,-3.226464499049161e-08,3.226464499049161e-08,5.342116501690592e-10,1.6748164083386115e-10,-3.667300093351981e-10,3.667300093351981e-10,4.4782480683516985e-13,6.363592204872288e-13,1.8853441365205896e-13,1.8853441365205896e-13,0.007413251426226482,0.0007193395993739353
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,x2c-QZVPall,dyall-v4z,Be_qm1_mult2_formal,Be,4,-1,5,formal_anion_reference,formal_monoanion,PASS,moderate,relative_l1_watch;mean_radial_shift_watch,,2,29c3237e71f15e98ea642bd79d840cbcace59383a12621e82815151daa0fc4d5,29c3237e71f15e98ea642bd79d840cbcace59383a12621e82815151daa0fc4d5,True,5.000185938523587,5.00018593852359,0.00018593852358694818,0.00018593852358961271,0.00018593852358961271,2.7053457432504513e-15,2.7053457432504513e-15,0.5823028735262072,0.5823028735262072,0.11645624396482837,0.11645624396482837,0.10779924709610855,4.52757730155728,1.2893904095658755,1.0000000000000004e-06,0.2894268797462427,6.479755857600798,1.4275340406452368,0.7554184820977362,0.28549619118099173,0.15107807817258687,2.195123162938041,2.4802989968452125,0.2851758339071715,0.15090855240393417,8.70533117285975,12.656287939046498,3.9509567661867475,2.950479820785045,3.5575676998542836,0.6070878790692387,0.3212570706188774,1.7868404561527136,1.7927632104057196,0.005922754253006035,0.0031341865764696144,5.06512679402808,6.262319702679481,1.1971929086514006,0.6335272043129981,6.057729029690356,8.132468466109074,2.074739436418718,1.0979048283145194,7.824880983832821,10.717361594786768,2.892480610953947,1.530634822295615,8.445195002560585,11.547428418565085,3.1022334160045,1.6416312266513473,9.692960267059515,13.18875385260117,3.495793585541655,1.8498942994895309,11.190211755397367,15.134346361948348,3.94413460655098,2.087146150520649,3.7667952172906816,3.610810686660322,-0.15598453063035977,-0.08254345886298735,5.043257510185207,4.64402317269666,-0.3992343374885463,-0.21126571320889592,7.492950236423112,8.797328655888416,1.304378419465304,0.6902473339747129,0.5208353811514583,0.7276287841664673,0.20679340301500893,0.20679340301500893,0.0032182021597489036,0.08494765886545466,0.08172945670570576,0.08172945670570576,2.1594239516188387e-07,0.0005902210071581063,0.0005900050647629444,0.0005900050647629444,1.6090160734552852e-13,2.65693335733779e-07,2.6569317483217167e-07,2.6569317483217167e-07,2.087146150520649,0.6902473339747129
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,x2c-QZVPall,dyall-v4z,Be_q0_mult1_nist,Be,4,0,4,nist_reference,reference,PASS,low,,,1,867563c492970abb28a90b9479cd248ade306867eac0243d5fc7457c0a429c1b,867563c492970abb28a90b9479cd248ade306867eac0243d5fc7457c0a429c1b,True,4.00014875081887,4.000148750818871,0.00014875081886955854,0.0001487508188713349,0.0001487508188713349,-1.5205904367118168e-16,1.5205904367118168e-16,0.008804386287189896,0.008804386287189896,0.002201014721111946,0.002201014721111946,0.003253566473351732,2.528512613051648,1.2257667384415214,1.0000000000000004e-06,0.0017311250098304143,3.308527136816369,0.00594031495049181,0.003143479297386648,0.001485023513007052,0.0007858406007384467,1.5112758998217992,1.5117516369233381,0.00047573710153892,0.000251749232515443,4.177879251028622,4.184543524559293,0.006664273530670783,2.0439861181105465,2.045615683494652,0.0016295653841056357,0.0008623288649450961,0.9867239930318523,0.9865153505027551,-0.00020864252909724712,-0.00011040887162342924,3.462371640738034,3.458152764151789,-0.0042188765862447575,-0.0022325333450529707,4.132634099813598,4.130854743097056,-0.0017793567165416135,-0.000941595024461011,5.533985977031921,5.560102266941255,0.02611628990933479,0.013820145453355945,6.1038430451960455,6.144646545904489,0.04080350070844396,0.02159228269997296,7.39096051462139,7.455424479743966,0.06446396512257646,0.03411286126731328,9.088000193622062,9.255440977472938,0.16744078385087668,0.088605846989619,3.3628479296342224,3.362242401536309,-0.000605528097913588,-0.00032043166997731113,4.136827483683877,4.129170343367725,-0.0076571403161525,-0.004051984155994495,5.678717734881102,5.685431308098987,0.006713573217884239,0.00355266995063306,0.07524096829470273,0.07637217766905552,0.001131209374352793,0.001131209374352793,9.969563605855287e-05,0.00014866594109555123,4.897030503699836e-05,4.897030503699836e-05,4.5071473187230455e-09,5.135684346196549e-08,4.6849696143242445e-08,4.6849696143242445e-08,3.0462936939013425e-15,7.467245202157822e-13,7.436782265218809e-13,7.436782265218809e-13,0.088605846989619,0.004051984155994495
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,x2c-QZVPall,dyall-v4z,Be_qp1_mult2_nist,Be,4,1,3,nist_reference,reference,PASS,low,,,2,29e3776755055a350fee17eaf5efa95af9b0675e3c09ef313386c025e73c98e2,29e3776755055a350fee17eaf5efa95af9b0675e3c09ef313386c025e73c98e2,True,3.0001115631141526,3.000111563114152,0.000111563114152613,0.00011156311415216891,0.000111563114152613,9.985729383998274e-16,9.985729383998274e-16,0.002680250455678979,0.002680250455678979,0.0008933835956743044,0.0008933835956743044,0.0016917164671566565,1.310473916547162,1.213779201648066,1.0000000000000004e-06,0.0005942226177904075,1.639594156622846,0.0011642905330483456,0.0006161160169592906,0.0003880824124552881,0.00020536436862359701,1.0311463344591811,1.031160007198316,1.3672739134884537e-05,7.235301960802496e-06,2.150010009363145,2.149891329046611,-0.00011868031653383682,1.4662912430220487,1.4662507729057166,-4.047011633212527e-05,-2.1415863285554e-05,0.5359110168529947,0.5359376724880149,2.665563502024515e-05,1.4105554594861659e-05,2.623858089573783,2.6234968906266065,-0.0003611989471763444,-0.00019113825144787794,3.1863384798312584,3.185307114683454,-0.0010313651478042196,-0.0005457749323375973,4.312359092899831,4.307244001889672,-0.005115091010158501,-0.002706789594270684,4.751490684803287,4.7498056151805,-0.0016850696227876938,-0.000891700443164162,5.700982441300045,5.728176800400411,0.02719435910036605,0.014390635101026322,6.982412620549532,7.029546795367632,0.04713417481810023,0.024942331168456695,2.795765038955426,2.7958771941473506,0.00011215519192475654,5.9349971651033325e-05,3.429910068352736,3.4311319579309707,0.0012218895782347694,0.0006465961190417183,4.66965057138731,4.6610243134238,-0.008626257963509687,-0.004564819129659848,0.009966985168436884,0.01002140513440249,5.441996596560611e-05,5.441996596560611e-05,1.9833733587681764e-06,6.668648194267755e-07,-1.3165085393414008e-06,1.3165085393414008e-06,8.4903770562133e-11,4.1814592204966965e-11,-4.3089178357166036e-11,4.3089178357166036e-11,5.738295081786254e-17,5.917928361304763e-16,5.344098853126138e-16,5.344098853126138e-16,0.024942331168456695,0.004564819129659848
