comparison_id,comparison_kind,base_dataset_id,diffuse_dataset_id,base_basis_id,diffuse_basis_id,state_id,symbol,z,charge,electron_count,state_category,state_role,release_gate_status,sensitivity_tier,sensitivity_flags,integrity_flags,status,multiplicity,base_state_record_sha256,diffuse_state_record_sha256,state_record_sha256_match,base_electron_count_trapz,diffuse_electron_count_trapz,base_electron_count_error,diffuse_electron_count_error,max_abs_electron_count_error,signed_delta_electrons_trapz,abs_signed_delta_electrons_trapz,l1_delta_electrons_trapz,radial_distribution_l1_delta_electrons,relative_l1_delta,relative_radial_distribution_l1_delta,max_abs_radial_distribution_delta_e_per_bohr,r_at_max_abs_radial_distribution_delta_bohr,max_abs_density_delta_e_bohr3,r_at_max_abs_density_delta_bohr,max_abs_cumulative_delta_electrons,r_at_max_abs_cumulative_delta_bohr,integrated_abs_cumulative_delta_electron_bohr,integrated_abs_cumulative_delta_electron_angstrom,mean_abs_radial_shift_bohr,mean_abs_radial_shift_angstrom,base_mean_r_bohr,diffuse_mean_r_bohr,delta_mean_r_bohr,delta_mean_r_angstrom,base_mean_r2_bohr2,diffuse_mean_r2_bohr2,delta_mean_r2_bohr2,base_rms_r_bohr,diffuse_rms_r_bohr,delta_rms_r_bohr,delta_rms_r_angstrom,base_r50_bohr,diffuse_r50_bohr,delta_r50_bohr,delta_r50_angstrom,base_r90_bohr,diffuse_r90_bohr,delta_r90_bohr,delta_r90_angstrom,base_r95_bohr,diffuse_r95_bohr,delta_r95_bohr,delta_r95_angstrom,base_r99_bohr,diffuse_r99_bohr,delta_r99_bohr,delta_r99_angstrom,base_r99p5_bohr,diffuse_r99p5_bohr,delta_r99p5_bohr,delta_r99p5_angstrom,base_r99p9_bohr,diffuse_r99p9_bohr,delta_r99p9_bohr,delta_r99p9_angstrom,base_r99p99_bohr,diffuse_r99p99_bohr,delta_r99p99_bohr,delta_r99p99_angstrom,base_r_iso_0p003_e_bohr3_bohr,diffuse_r_iso_0p003_e_bohr3_bohr,delta_r_iso_0p003_e_bohr3_bohr,delta_r_iso_0p003_e_bohr3_angstrom,base_r_iso_0p001_e_bohr3_bohr,diffuse_r_iso_0p001_e_bohr3_bohr,delta_r_iso_0p001_e_bohr3_bohr,delta_r_iso_0p001_e_bohr3_angstrom,base_r_iso_0p0001_e_bohr3_bohr,diffuse_r_iso_0p0001_e_bohr3_bohr,delta_r_iso_0p0001_e_bohr3_bohr,delta_r_iso_0p0001_e_bohr3_angstrom,base_tail_electrons_gt_5_bohr,diffuse_tail_electrons_gt_5_bohr,delta_tail_electrons_gt_5_bohr,abs_delta_tail_electrons_gt_5_bohr,base_tail_electrons_gt_10_bohr,diffuse_tail_electrons_gt_10_bohr,delta_tail_electrons_gt_10_bohr,abs_delta_tail_electrons_gt_10_bohr,base_tail_electrons_gt_15_bohr,diffuse_tail_electrons_gt_15_bohr,delta_tail_electrons_gt_15_bohr,abs_delta_tail_electrons_gt_15_bohr,base_tail_electrons_gt_20_bohr,diffuse_tail_electrons_gt_20_bohr,delta_tail_electrons_gt_20_bohr,abs_delta_tail_electrons_gt_20_bohr,max_abs_quantile_radius_delta_angstrom,max_abs_cutoff_radius_delta_angstrom
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c_supplemented_basis_sensitivity,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c-QZVPall,x2c-QZVPall-s,H_qm1_mult1_ning2022,H,1,-1,2,ning2022_monoanion_reference,bound_experimental,PASS,low,,,PASS,1,df30689b463c8c60a8de55bb53f41e5348f79751eb5008f6866f0465d7534abd,df30689b463c8c60a8de55bb53f41e5348f79751eb5008f6866f0465d7534abd,True,2.0000743754094343,2.0000743754094374,7.437540943433518e-05,7.437540943744381e-05,7.437540943744381e-05,2.7401297603403977e-15,2.7401297603403977e-15,7.707398598604608e-11,7.707398598604608e-11,3.853555994399871e-11,3.853555994399871e-11,2.928413067593283e-11,1.0318895204669456,1.1942835609346503e-11,3.835728714326801e-06,3.852962393580128e-11,2.277480847333662,1.0718326947472013e-10,5.6718943596097055e-11,5.358964186158258e-11,2.835841721360292e-11,2.1699124088075696,2.169912408861085,5.3515414322191646e-11,2.8319137691335834e-11,6.260895364236645,6.2608953645171335,2.8048852129813895e-10,2.5021781240024947,2.5021781240585437,5.604894326438625e-11,2.9659823470708406e-11,1.9570108664833863,1.9570108665462116,6.282530051748836e-11,3.324571730198729e-11,3.92320892977871,3.923208929854983,7.627320997016795e-11,4.036204451863237e-11,4.502429117965331,4.502429118034634,6.930278573236137e-11,3.667345486165921e-11,5.597161359113011,5.597161359173213,6.020162146569419e-11,3.1857326139054226e-11,6.000527375184536,6.00052737523595,5.141398418118115e-11,2.72071087504084e-11,6.838103939807309,6.838103939853554,4.624567395694612e-11,2.447215676086625e-11,7.865759474612212,7.865759474646582,3.4369840307135746e-11,1.8187736232911603e-11,3.1392845721295353,3.1392845721674276,3.789235591966644e-11,2.0051771220112867e-11,4.021915084665289,4.021915084719694,5.440536909873117e-11,2.8790081477814822e-11,5.498057454716875,5.498057454769226,5.235101241396478e-11,2.770296273717021e-11,0.05048425251992227,0.05048425252464563,4.723360591540882e-12,4.723360591540882e-12,5.527921309786053e-07,5.527921310324681e-07,5.386282511590096e-17,5.386282511590096e-17,1.6896502754433788e-15,1.6896502756080156e-15,1.646368486414356e-25,1.646368486414356e-25,1.7533226006406367e-27,1.753322600811478e-27,1.7084128651678556e-37,1.7084128651678556e-37,4.036204451863237e-11,2.8790081477814822e-11
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c_supplemented_basis_sensitivity,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c-QZVPall,x2c-QZVPall-s,H_q0_mult2_nist,H,1,0,1,nist_reference,reference,PASS,low,,,PASS,2,ec46271458438d403de3c7ddc2c1472b4b70e1f7b199dfcddec01ac7557b43dc,ec46271458438d403de3c7ddc2c1472b4b70e1f7b199dfcddec01ac7557b43dc,True,1.0000371877047176,1.0000371877047165,3.718770471761168e-05,3.718770471650146e-05,3.718770471761168e-05,-5.142281024789156e-16,5.142281024789156e-16,2.2496053081500764e-11,2.2496053081500764e-11,2.249521653603068e-11,2.249521653603068e-11,1.1373346708865029e-11,0.8755360164827907,4.122702179643056e-12,0.00022638785825739962,1.1248224573989773e-11,1.7667388347857775,2.6282522086573644e-11,1.3908111733269536e-11,2.6281544736248488e-11,1.3907594541750395e-11,1.5251834769345987,1.5251834769608148,2.621614036968367e-11,1.3872984041470747e-11,3.1364497405606264,3.1364497406772913,1.1666489996287055e-10,1.771002467689028,1.7710024677219656,3.2937652605369294e-11,1.7429855139401254e-11,1.3474924332939464,1.3474924333144667,2.0520252164146768e-11,1.0858849807249435e-11,2.7373151335254744,2.737315133583089,5.7614801818317574e-11,3.048844013294638e-11,3.254800838370996,3.2548008384382623,6.726619261598898e-11,3.5595736196593023e-11,4.369301620549167,4.369301620636006,8.683898045092064e-11,4.595320947267832e-11,4.8204111411128885,4.820411141206303,9.341416529196067e-11,4.9432647448031574e-11,5.789900131154928,5.7899001312415,8.657163874659091e-11,4.5811738335223056e-11,6.9758522392929185,6.975852239359518,6.659917062279419e-11,3.524276335862324e-11,2.332257881725107,2.332257881737493,1.2386092151928096e-11,6.554437698944847e-12,2.9063956637353012,2.9063956637618777,2.6576518763476997e-11,1.4063688074768003e-11,4.122293783070556,4.122293783126428,5.587175166965608e-11,2.956605771681363e-11,0.0037593613167675776,0.0037593613173116515,5.440739005158068e-13,5.440739005158068e-13,3.680170210018861e-08,3.6801702105944147e-08,5.7555359370337674e-18,5.7555359370337674e-18,1.1248652563082048e-16,1.1248652564841267e-16,1.759218983210748e-26,1.759218983210748e-26,1.1672543751944963e-28,1.1672543753770478e-28,1.8255152299880261e-38,1.8255152299880261e-38,4.9432647448031574e-11,2.956605771681363e-11
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c_supplemented_basis_sensitivity,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c-QZVPall,x2c-QZVPall-s,He_q0_mult1_nist,He,2,0,2,nist_reference,reference,PASS,low,,,PASS,1,86faf6f35bcfc68c0da5dd7e993cebec75fdc1dc5545e3b0a7a5e8f062ab7d0e,86faf6f35bcfc68c0da5dd7e993cebec75fdc1dc5545e3b0a7a5e8f062ab7d0e,True,2.000074375409433,2.0000743754094326,7.437540943300291e-05,7.437540943255883e-05,7.437540943300291e-05,-1.1548608825053517e-15,1.1548608825053517e-15,2.429814199625367e-11,2.429814199625367e-11,1.214861921886261e-11,1.214861921886261e-11,1.8416601577087022e-11,0.44041578439853785,3.483391353142906e-11,3.396087685324201e-05,9.048539695299951e-12,0.8497665247491873,1.1464357088433212e-11,6.066676508853124e-12,5.731965385580401e-12,3.0332254557339754e-12,0.9382830288348001,0.9382830288366377,1.837641150359559e-12,9.724378185878518e-13,1.224414273109045,1.2244142731058199,-3.2251978865360797e-12,1.1065325449841252,1.106532544982668,-1.4572787421229805e-12,-7.711587002648709e-13,0.812768679069095,0.8127686790751095,6.014522213604323e-12,3.182748089909273e-12,1.7231175557115788,1.723117555708199,-3.3797409315639015e-12,-1.7884818797396923e-12,2.0731763716603675,2.07317637164561,-1.475752853252743e-11,-7.809347788664307e-12,2.8394220259011758,2.8394220258612832,-3.9892533720831125e-11,-2.111021973024329e-11,3.1564863402813783,3.1564863402349785,-4.639977291276409e-11,-2.4553702416509068e-11,3.8532556581720514,3.853255658117463,-5.45883338531894e-11,-2.888690225627258e-11,4.716736510789993,4.716736510745711,-4.4281911470989144e-11,-2.3432978405671597e-11,2.150687152806159,2.150687152806833,6.741274205523951e-13,3.567328682011501e-13,2.536914978769596,2.536914978758816,-1.077982147990042e-11,-5.704435864765954e-12,3.36337501221071,3.3633750121746178,-3.609201826293429e-11,-1.9099073560239705e-11,8.477035672409205e-05,8.477035671257403e-05,-1.1518021779399756e-14,1.1518021779399756e-14,3.553202713689172e-15,3.553202713204707e-15,-4.844647254451904e-25,4.844647254451904e-25,1.120719294769439e-32,1.1207192946166344e-32,-1.528046184114103e-42,1.528046184114103e-42,4.3102909832632306e-57,4.3102909826755413e-57,-5.876892350783293e-67,5.876892350783293e-67,2.888690225627258e-11,1.9099073560239705e-11
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c_supplemented_basis_sensitivity,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c-QZVPall,x2c-QZVPall-s,Li_qm1_mult1_ning2022,Li,3,-1,4,ning2022_monoanion_reference,bound_experimental,PASS,low,,,PASS,1,694cd8ab6e917885f0fdc5b1947c0a42b3c2f46d83189ffffc88cf9dbf48b4ba,694cd8ab6e917885f0fdc5b1947c0a42b3c2f46d83189ffffc88cf9dbf48b4ba,True,4.000148750818875,4.000148750818876,0.00014875081887488761,0.0001487508188757758,0.0001487508188757758,1.41011487282021e-15,1.41011487282021e-15,2.1939114990405833e-10,2.1939114990405833e-10,5.484574788853702e-11,5.484574788853702e-11,4.693773147934621e-11,4.460449998087171,6.188294321418653e-11,2.674137385585091e-05,1.0198775157732598e-10,6.479755857600798,4.71322544071771e-10,2.4941314930760603e-10,1.178262543299886e-10,6.23509686374909e-11,2.8039149003881687,2.803914900273264,-1.149045303350249e-10,-6.080485888280763e-11,15.46887574068688,15.468875739046275,-1.6406040970196045e-09,3.933049165811035,3.9330491656024686,-2.085664974060819e-10,-1.103686373851582e-10,1.531178216278118,1.5311782162762388,-1.87916349148054e-12,-9.944104952524155e-13,6.913751332783891,6.9137513322777036,-5.061870922418166e-10,-2.6786267366762407e-10,8.187169404675158,8.187169404087566,-5.875921971210118e-10,-3.109404000208628e-10,10.483625267387001,10.483625266771716,-6.152856002472618e-10,-3.2559511784762416e-10,11.30821775889941,11.308217758308603,-5.908074030003263e-10,-3.1264181370055735e-10,12.997567370284013,12.997567369775398,-5.086153720412767e-10,-2.6914766399919447e-10,15.05651730117913,15.056517300722323,-4.56806148463329e-10,-2.417314035671662e-10,3.061169758985731,3.0611697590668214,8.109024562941158e-11,4.2911110013611203e-11,5.035446508420061,5.035446508640257,2.2019630563363535e-10,1.165228668663517e-10,8.677919100828602,8.67791910043735,-3.9125147566210217e-10,-2.070413646525542e-10,0.8968731871895741,0.896873187119456,-7.011813352164609e-11,7.011813352164609e-11,0.0583414081362057,0.05834140810933656,-2.686913885829867e-11,2.686913885829867e-11,0.0004247726121450987,0.00042477261191422547,-2.3087320900547215e-13,2.3087320900547215e-13,3.446120018032341e-07,3.4461200161455794e-07,-1.8867616548442177e-16,1.8867616548442177e-16,3.2559511784762416e-10,2.070413646525542e-10
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c_supplemented_basis_sensitivity,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c-QZVPall,x2c-QZVPall-s,Li_q0_mult2_nist,Li,3,0,3,nist_reference,reference,PASS,low,,,PASS,2,766545275ee62b188cdf3e50c91d0e4f44cfe562a180c0f4e2cba9290e5f966f,766545275ee62b188cdf3e50c91d0e4f44cfe562a180c0f4e2cba9290e5f966f,True,3.00011156311415,3.0001115631141517,0.00011156311414994846,0.00011156311415172482,0.00011156311415172482,-8.345691461695996e-17,8.345691461695996e-17,7.730262259924103e-11,7.730262259924103e-11,2.5766582666345915e-11,2.5766582666345915e-11,1.9708595866418932e-11,2.3117556734278697,7.225864351312339e-11,1.2325960791117509e-06,2.7913671374335536e-11,3.4088594754287445,9.645506294025326e-11,5.104182118419653e-11,3.215049204374646e-11,1.7013307708868844e-11,1.6508828496345784,1.6508828496463739,1.1795453502827513e-11,6.241885185962285e-12,5.98068839091896,5.980688390908255,-1.070521449264561e-11,2.4455446000674286,2.44554460006524,-2.1884716261411086e-12,-1.1580893112617047e-12,0.7485139623160305,0.7485139623164268,3.9623859748871837e-13,2.0968043587119643e-13,4.41858092084332,4.4185809209347,9.137934853242768e-11,4.8355868790523226e-11,5.409185680134036,5.409185680144888,1.085176393189613e-11,5.742506170858567e-12,7.390561275675962,7.390561275340676,-3.352855770799579e-10,-1.7742548653517492e-10,8.17497706474956,8.17497706422716,-5.223999011150227e-10,-2.7644212264805067e-10,9.90951825544501,9.909518254537211,-9.07798280991301e-10,-4.803861623975145e-10,12.228777206544741,12.228777205393886,-1.1508554109695979e-09,-6.090064565295176e-10,2.6897203987960463,2.6897203986836447,-1.1240164354830995e-10,-5.948038823380784e-11,4.161905541177964,4.161905541253406,7.544187496932864e-11,3.9922120981562176e-11,6.48531620244515,6.485316202513008,6.785860762192897e-11,3.5909228717133424e-11,0.2020240462097888,0.2020240462173843,7.595479800670546e-12,7.595479800670546e-12,0.002745155942639816,0.002745155940232442,-2.407374213170277e-12,2.407374213170277e-12,1.3207196286218449e-05,1.3207196268556736e-05,-1.7661712682095175e-14,1.7661712682095175e-14,1.0484717180447866e-08,1.0484717166148246e-08,-1.429962014171445e-17,1.429962014171445e-17,6.090064565295176e-10,5.948038823380784e-11
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c_supplemented_basis_sensitivity,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c-QZVPall,x2c-QZVPall-s,Be_qm1_mult2_formal,Be,4,-1,5,formal_anion_reference,formal_monoanion,PASS,low,,,PASS,2,29c3237e71f15e98ea642bd79d840cbcace59383a12621e82815151daa0fc4d5,29c3237e71f15e98ea642bd79d840cbcace59383a12621e82815151daa0fc4d5,True,5.000185938523587,5.000185938523586,0.00018593852358694818,0.00018593852358606,0.00018593852358694818,-1.7162801051547599e-16,1.7162801051547599e-16,0.00921888609163504,0.00921888609163504,0.0018437086550339601,0.0018437086550339601,0.002392533186704515,2.1453884519109727,0.00026462063519572254,0.4026611071643915,0.0024457319849977566,5.256998596223277,0.008873298852468481,0.004695547538258061,0.0017745937774243084,0.0009390745856232147,2.195123162938041,2.1964384579278664,0.0013152949898254107,0.0006960241342305006,8.70533117285975,8.721237182235697,0.01590600937594644,2.950479820785045,2.95317408600233,0.002694265217284997,0.0014257437531158398,1.7868404561527136,1.787716144777859,0.00087568862514531,0.00046339446427387775,5.06512679402808,5.072720211113303,0.007593417085223209,0.004018263274381605,6.057729029690356,6.06842107289332,0.010692043202963575,0.005657985600998643,7.824880983832821,7.835620310222165,0.01073932638934405,0.005683006785690069,8.445195002560585,8.455195092485841,0.010000089925256361,0.005291819695426351,9.692960267059515,9.701785208524852,0.008824941465336522,0.0046699579110090145,11.190211755397367,11.197860554606097,0.0076487992087290735,0.004047570232032324,3.7667952172906816,3.7620123000429366,-0.004782917247744933,-0.0025310108091415166,5.043257510185207,5.041588122491765,-0.001669387693441493,-0.0008834019235311616,7.492950236423112,7.502011552875647,0.009061316452535273,0.004795042167462082,0.5208353811514583,0.5232079770845907,0.0023725959331323265,0.0023725959331323265,0.0032182021597489036,0.003259851604800679,4.164944505177532e-05,4.164944505177532e-05,2.1594239516188387e-07,2.1888491480540667e-07,2.9425196435228038e-09,2.9425196435228038e-09,1.6090160734552852e-13,1.6311447470083146e-13,2.2128673553029444e-15,2.2128673553029444e-15,0.005683006785690069,0.004795042167462082
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c_supplemented_basis_sensitivity,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c-QZVPall,x2c-QZVPall-s,Be_q0_mult1_nist,Be,4,0,4,nist_reference,reference,PASS,low,,,PASS,1,867563c492970abb28a90b9479cd248ade306867eac0243d5fc7457c0a429c1b,867563c492970abb28a90b9479cd248ade306867eac0243d5fc7457c0a429c1b,True,4.00014875081887,4.000148750818873,0.00014875081886955854,0.00014875081887311126,0.00014875081887311126,2.175575964084017e-15,2.175575964084017e-15,3.6707425186221874e-11,3.6707425186221874e-11,9.17651504302371e-12,9.17651504302371e-12,1.5369483463700817e-11,1.6642691411124497,7.642597665835638e-11,1.4712814769911125e-05,1.481303968375869e-11,2.454091362921812,3.090635549904173e-11,1.63549390021595e-11,7.72630155133978e-12,4.088582705533507e-12,1.5112758998217992,1.511275899816663,-5.136113756520899e-12,-2.7179143525562593e-12,4.177879251028622,4.177879251008461,-2.0160761948773143e-11,2.0439861181105465,2.043986118105615,-4.931610675384945e-12,-2.609695982459665e-12,0.9867239930318523,0.9867239930327923,9.4002583495012e-13,4.974402495156683e-13,3.462371640738034,3.4623716407207716,-1.7262191676081784e-11,-9.13475844522194e-12,4.132634099813598,4.132634099809985,-3.6131098113401094e-12,-1.9119753726512233e-12,5.533985977031921,5.533985977070663,3.874234266731946e-11,2.0501564836540405e-11,6.1038430451960455,6.103843045248947,5.290168303417886e-11,2.7994365080101322e-11,7.39096051462139,7.390960514701087,7.969713777811194e-11,4.217390908637339e-11,9.088000193622062,9.088000193706181,8.411937812979886e-11,4.4514057901621775e-11,3.3628479296342224,3.362847929615464,-1.8758328224066645e-11,-9.926479810814611e-12,4.136827483683877,4.136827483664199,-1.9678481066875975e-11,-1.0413403725776919e-11,5.678717734881102,5.67871773489377,1.2667200621763186e-11,6.7031938949733895e-12,0.07524096829470273,0.07524096829659219,1.8894608100339383e-12,1.8894608100339383e-12,9.969563605855287e-05,9.969563607166664e-05,1.3113764089391078e-14,1.3113764089391078e-14,4.5071473187230455e-09,4.507147319324575e-09,6.015298773516245e-19,6.015298773516245e-19,3.0462936939013425e-15,3.046293694307909e-15,4.0656628877642595e-25,4.0656628877642595e-25,4.4514057901621775e-11,1.0413403725776919e-11
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c_supplemented_basis_sensitivity,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c-QZVPall,x2c-QZVPall-s,B_qm2_mult4_formal,B,5,-2,7,formal_anion_reference,formal_multianion,PASS,low,,,PASS,4,b45f8b6c7801fc4a780680ad60c034e4acc218c470833374d7e1e0d51b1a9c80,b45f8b6c7801fc4a780680ad60c034e4acc218c470833374d7e1e0d51b1a9c80,True,7.000260313933023,7.000260313933022,0.00026031393302261563,0.00026031393302172745,0.00026031393302261563,-7.2282850595296e-16,7.2282850595296e-16,0.06629989034374249,0.06629989034374249,0.009471060699240282,0.009471060699240282,0.016903383020032137,3.784595681598465,0.006286668402196938,1.0000000000000004e-06,0.018524957433385225,5.102270316268386,0.06103105596037566,0.0322962439715765,0.008718398062840894,0.004613577570436262,2.3201611042203223,2.3274222672762273,0.007261163055904962,0.003842442013835692,9.334610767518576,9.415071180375918,0.08046041285734162,3.0552595253952775,3.0683987974798708,0.013139272084593312,0.006953003355020735,1.8491685753910532,1.853467378380968,0.004298802989914918,0.0022748285764246537,5.332452861039596,5.371964527070973,0.03951166603137679,0.020908673228614776,6.240699008620435,6.281045154348821,0.04034614572838535,0.021350260867232948,7.7815487941069765,7.8167119760238615,0.035163181916884945,0.01860755453325198,8.321783279319972,8.352356504338065,0.030573225018093453,0.016178653943384514,9.416118394403465,9.446187897643073,0.030069503239607442,0.01591209585757419,10.743974904496042,10.76501060626077,0.021035701764727577,0.011131613989245854,4.0622067242962165,4.024918072933508,-0.03728865136270887,-0.019732304526452627,5.680417572569669,5.699618473125894,0.01920090055622481,0.010160679003168905,7.869877426541046,7.9008660407063385,0.03098861416529264,0.016398468413738754,0.8626359061994947,0.8810481154471262,0.01841220924763154,0.01841220924763154,0.002660817969346841,0.002781926029412396,0.00012110806006555494,0.00012110806006555494,3.2895722961422374e-08,3.4397908370960956e-08,1.5021854095385823e-09,1.5021854095385823e-09,2.1679834536626314e-15,2.266984732293402e-15,9.900127863077057e-17,9.900127863077057e-17,0.021350260867232948,0.019732304526452627
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c_supplemented_basis_sensitivity,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c-QZVPall,x2c-QZVPall-s,B_qm1_mult3_ning2022,B,5,-1,6,ning2022_monoanion_reference,bound_experimental,PASS,low,,,PASS,3,d4dd99f1f1be29dcff31b0cb006b599c1534fde4f1f035015959e1c98bef3383,d4dd99f1f1be29dcff31b0cb006b599c1534fde4f1f035015959e1c98bef3383,True,6.000223126228303,6.000223126228308,0.00022312622830256146,0.00022312622830789053,0.00022312622830789053,3.390177726790942e-15,3.390177726790942e-15,0.025016812669711137,0.025016812669711137,0.004169313731077284,0.004169313731077284,0.008368261833885837,1.234467288882948,0.0041557172190920255,1.0000000000000004e-06,0.00496839849608488,5.102270316268386,0.018556000091023706,0.009819412373683738,0.0030925516769386985,0.001636507870975816,1.8117757276869948,1.8138920632106639,0.0021163355236690773,0.0011199165297501423,5.802349611682985,5.8257416828209765,0.0233920711379918,2.408806677938889,2.4136573250610733,0.004850647122184526,0.0025668519151922707,1.509912175592974,1.5118760892883978,0.0019639136954237024,0.0010392583717985186,4.021253670681767,4.026491208737626,0.005237538055859581,0.002771585780398094,4.992564264887094,5.0141649709546705,0.021600706067576247,0.011430601390375507,6.783239620438951,6.81695812801312,0.03371850757416883,0.017843065793910342,7.40670709467707,7.439543063701509,0.03283596902443975,0.017376046505650326,8.646839664317682,8.675367575208645,0.02852791089096307,0.015096320318169154,10.09985655452462,10.121858484098524,0.022001929573903567,0.01164291972640252,3.6635849297428873,3.6538873565693004,-0.009697573173586882,-0.00513173472452646,4.680737087140082,4.6733180775879894,-0.007419009552092959,-0.003925970782439267,6.857227173584723,6.882610134055774,0.025382960471051597,0.013432084226532182,0.29821871882016543,0.30317163335515795,0.004952914534992525,0.004952914534992525,0.0007087090647802225,0.0007383998487250024,2.9690783944779937e-05,2.9690783944779937e-05,8.745220681417608e-09,9.113269688727414e-09,3.680490073098061e-10,3.680490073098061e-10,5.763503205818781e-16,6.006065282189691e-16,2.4256207637090927e-17,2.4256207637090927e-17,0.017843065793910342,0.013432084226532182
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c_supplemented_basis_sensitivity,pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2,pbe0_sfx2c_x2cqzvpalls_h-rn_spherical_v2,x2c-QZVPall,x2c-QZVPall-s,B_q0_mult2_nist,B,5,0,5,nist_reference,reference,PASS,low,,,PASS,2,e25bbb706b18d78624d151d95d9e2196b02aef62a9b1d8fb06d3d9b48eb82d39,e25bbb706b18d78624d151d95d9e2196b02aef62a9b1d8fb06d3d9b48eb82d39,True,5.000185938523587,5.00018593852358,0.00018593852358694818,0.00018593852357984275,0.00018593852358694818,-3.5030204345788246e-16,3.5030204345788246e-16,0.0080529966885876,0.0080529966885876,0.001610539445452188,0.001610539445452188,0.003756452159019208,1.234467288882948,0.002393104397413026,1.0000000000000004e-06,0.0016098101715380508,1.7147387332007553,0.004327879820443374,0.0022902153725056005,0.0008655437765022948,0.00045802604156393393,1.378265644728638,1.3785685444803246,0.00030289975168651395,0.0001602876457806807,3.2947778406829995,3.2979709432849607,0.003193102601961151,1.8151522913196565,1.8160316471044662,0.0008793557848096878,0.0004653350415970092,1.1787086657922512,1.1789086193768161,0.00019995358456492696,0.00010581088019012519,2.9623844057385913,2.9604178345641468,-0.0019665711744445424,-0.0010406646491348,3.5846022503868014,3.5823949531181363,-0.002207297268665087,-0.0011680514122660007,5.013622744804787,5.025771578860409,0.012148834055621727,0.006428886121277287,5.6233095485602576,5.645181341466813,0.0218717929065555,0.011574054367739058,6.981473003950001,7.02002305091455,0.038550046964549445,0.020399806332879935,8.699208006191558,8.735206880235882,0.035998874044324225,0.019049783762423892,3.260527762464307,3.2592930388982335,-0.001234723566073459,-0.000653387572930959,3.9194600178452514,3.91499538276944,-0.004464635075811518,-0.002362583137117643,5.401458965960583,5.404759848241159,0.003300882280576012,0.0017467516787543478,0.05075197878664071,0.051454698461668356,0.0007027196750276493,0.0007027196750276493,6.210954121743554e-05,6.585754162668976e-05,3.7480004092542196e-06,3.7480004092542196e-06,7.609601028024885e-10,8.073563718732299e-10,4.6396269070741366e-11,4.6396269070741366e-11,5.0150314817415664e-17,5.3208052647078973e-17,3.0577378296633095e-18,3.0577378296633095e-18,0.020399806332879935,0.002362583137117643
