state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,r_iso_0.003_e_bohr3_bohr,r_iso_0.001_e_bohr3_bohr,r_iso_0.0001_e_bohr3_bohr,r_iso_0.003_e_bohr3_angstrom,r_iso_0.001_e_bohr3_angstrom,r_iso_0.0001_e_bohr3_angstrom
H_q0_mult2_hund,H,1,0,1,2,nist_ground_state,recommended,2.3322578817251056,2.9063956637352977,4.122293783070546,1.2341777209578302,1.5379983511160182,2.181423926648048
He_q0_mult1_hund,He,2,0,2,1,nist_ground_state,recommended,2.150687152806158,2.5369149787695955,3.3633750122107102,1.1380946290468767,1.342477592763338,1.779821408182507
Li_q0_mult2_hund,Li,3,0,3,2,nist_ground_state,recommended,2.6897203987960463,4.161905541177966,6.485316202445142,1.4233387387437966,2.202385566322297,3.4318815398339555
Be_q0_mult1_hund,Be,4,0,4,1,nist_ground_state,recommended,3.362847929634222,4.136827483683876,5.678717734881101,1.7795424880947655,2.189114829802709,3.0050480124497825
B_q0_mult2_hund,B,5,0,5,2,nist_ground_state,recommended,3.2605277624641067,3.919460017844849,5.401458965959491,1.7253969874125552,2.07408892048896,2.8583289904134457
C_q0_mult3_hund,C,6,0,6,3,nist_ground_state,recommended,3.091902436106092,3.652040478347188,4.882847443904939,1.6361643075228127,1.9325765944366229,2.5838915916304583
N_q0_mult4_hund,N,7,0,7,4,nist_ground_state,recommended,2.911304173980303,3.3932833842422827,4.432549461916914,1.5405958228771588,1.7956482370768239,2.345604161446786
O_q0_mult3_hund,O,8,0,8,3,nist_ground_state,recommended,2.806378314907484,3.2715504335746197,4.290072661692814,1.4850714494214035,1.7312299337675174,2.2702086856858124
F_q0_mult2_hund,F,9,0,9,2,nist_ground_state,recommended,2.683570938028117,3.103898128076756,4.02499783386326,1.4200845842460663,1.6425121543427001,2.1299371276143764
Ne_q0_mult1_hund,Ne,10,0,10,1,nist_ground_state,recommended,2.5619154420364247,2.94680398050962,3.782368449237662,1.3557072681861615,1.5593815114839389,2.0015431865750912
Na_q0_mult2_hund,Na,11,0,11,2,nist_ground_state,recommended,2.767444858931923,4.243669603608362,6.700359414217164,1.4644687517774413,2.2456532448313125,3.5456775068630977
Mg_q0_mult1_hund,Mg,12,0,12,1,nist_ground_state,recommended,3.6227088705043182,4.541218539877408,6.30317988374928,1.9170549760070323,2.4031093610333207,3.3354991507023395
Al_q0_mult2_hund,Al,13,0,13,2,nist_ground_state,recommended,3.7392402730374616,4.571072468028139,6.393850120708217,1.978720738582136,2.418907379466623,3.383479773808184
Si_q0_mult3_hund,Si,14,0,14,3,nist_ground_state,recommended,3.7186493569899386,4.432861049502931,5.952999838240426,1.96782449505817,2.345769046496506,3.1501918509060785
P_q0_mult4_hund,P,15,0,15,4,nist_ground_state,recommended,3.6035207238022604,4.213145606594537,5.506834644255595,1.9069010460528397,2.229500641225925,2.9140913979511898
S_q0_mult3_hund,S,16,0,16,3,nist_ground_state,recommended,3.5013772474210634,4.072610554174483,5.302620213831081,1.8528490461095015,2.155132694152174,2.806025775233001
Cl_q0_mult2_hund,Cl,17,0,17,2,nist_ground_state,recommended,3.379383445807824,3.899800249247316,5.017418288771412,1.7882927064243535,2.0636854189755187,2.6551034159857587
Ar_q0_mult1_hund,Ar,18,0,18,1,nist_ground_state,recommended,3.251607156963308,3.725348469727545,4.742736425058912,1.7206764062740765,1.9713695128521813,2.50974803346074
K_q0_mult2_hund,K,19,0,19,2,nist_ground_state,recommended,3.168544721781243,4.415525281421955,7.458000531812791,1.6767216584936202,2.336595353094554,3.9466039203377834
Ca_q0_mult1_hund,Ca,20,0,20,1,nist_ground_state,recommended,3.8942333861165688,5.103960537038116,7.223558256039495,2.0607395618705113,2.7008996015488083,3.8225424107263186
Sc_q0_mult2_hund,Sc,21,0,21,2,nist_ground_state,recommended,3.9666856735954905,4.995541117353123,6.9273981215748925,2.099079661282149,2.643526515432182,3.665821216789683
Ti_q0_mult3_hund,Ti,22,0,22,3,nist_ground_state,recommended,3.9197459520270588,4.865579571552682,6.7005296806635,2.0742402303420033,2.574753827100862,3.54576760798628
V_q0_mult4_hund,V,23,0,23,4,nist_ground_state,recommended,3.8539625307512133,4.754814772249896,6.533707388450501,2.0394291429475944,2.5161396195395827,3.45748905267656
Cr_q0_mult7_hund,Cr,24,0,24,7,nist_ground_state,recommended,3.5450758600890966,4.391803775773334,6.146409769672871,1.875973356081502,2.324042472896997,3.25253997898244
Mn_q0_mult6_hund,Mn,25,0,25,6,nist_ground_state,recommended,3.7279388581594968,4.57649572256288,6.29683160472442,1.9727402873777569,2.4217772421753345,3.33213978611393
Fe_q0_mult5_hund,Fe,26,0,26,5,nist_ground_state,recommended,3.6903460911409836,4.494000647932683,6.136286396663207,1.9528470517767738,2.378122728669292,3.247182920688256
Co_q0_mult4_hund,Co,27,0,27,4,nist_ground_state,recommended,3.6372122653041337,4.408468422827262,5.996590374916441,1.9247298420158239,2.3328610243456778,3.1732589695260573
Ni_q0_mult3_hund,Ni,28,0,28,3,nist_ground_state,recommended,3.585368653245892,4.332879919575285,5.885084488128776,1.8972953839837063,2.292861311018464,3.114252595356495
Cu_q0_mult2_hund,Cu,29,0,29,2,nist_ground_state,recommended,3.344923358735282,4.081847606033159,5.677408368519831,1.7700572136598314,2.1600207314917146,3.0043551256106755
Zn_q0_mult1_hund,Zn,30,0,30,1,nist_ground_state,recommended,3.489280587956353,4.204680498639347,5.710016076390036,1.8464477695927226,2.225021099008205,3.0216103815153703
Ga_q0_mult2_hund,Ga,31,0,31,2,nist_ground_state,recommended,3.6491271907162774,4.446872162945026,6.295117811652555,1.9310349490135392,2.3531834084294396,3.331232885876096
Ge_q0_mult3_hund,Ge,32,0,32,3,nist_ground_state,recommended,3.731732406395577,4.460001512316111,6.02946932911874,1.9747477466527517,2.3601311609106017,3.1906577628082373
As_q0_mult4_hund,As,33,0,33,4,nist_ground_state,recommended,3.7046266666527035,4.3398156311217795,5.694208133756077,1.9604040068961555,2.296531531510266,3.0132451785222174
Se_q0_mult3_hund,Se,34,0,34,3,nist_ground_state,recommended,3.666258993796108,4.26830819528175,5.568107982586183,1.9401007087850635,2.258691426053614,2.946515852231686
Br_q0_mult2_hund,Br,35,0,35,2,nist_ground_state,recommended,3.593594753529618,4.148852895854165,5.34507627991141,1.9016484487884568,2.1954784038749415,2.828492557867303
Kr_q0_mult1_hund,Kr,36,0,36,1,nist_ground_state,recommended,3.5031359651049296,4.014300527381743,5.116924934393749,1.8537797194282157,2.1242763568063125,2.7077600651825002
Rb_q0_mult2_hund,Rb,37,0,37,2,nist_ground_state,recommended,3.438910390744672,4.514697190099156,7.677204589285782,1.8197930091196113,2.3890748671282824,4.062601712089961
Sr_q0_mult1_hund,Sr,38,0,38,1,nist_ground_state,recommended,3.9756558318390463,5.276778263535825,7.5617095551868,2.103826464602833,2.7923508040514635,4.001484372072316
Y_q0_mult2_hund,Y,39,0,39,2,nist_ground_state,recommended,4.168525280205068,5.229750905635921,7.253152127606138,2.205888581357564,2.767464997961855,3.8382028131417765
Zr_q0_mult3_hund,Zr,40,0,40,3,nist_ground_state,recommended,4.148595768404202,5.1001421421196085,6.973609801726184,2.1953423378881234,2.698878993975706,3.6902753848032845
Nb_q0_mult6_hund,Nb,41,0,41,6,nist_ground_state,recommended,3.909796131222044,4.754133665309744,6.51901846330493,2.068975011919421,2.5157791932686666,3.449716008236864
Mo_q0_mult7_hund,Mo,42,0,42,7,nist_ground_state,recommended,3.8260185664600774,4.616242808982507,6.29415914348748,2.024641833862438,2.4428104945083935,3.33072558053032
Tc_q0_mult6_hund,Tc,43,0,43,6,nist_ground_state,recommended,3.9354888957909773,4.768648346708767,6.516544049047959,2.082571037414396,2.5234600318885474,3.4484066046017414
Ru_q0_mult5_hund,Ru,44,0,44,5,nist_ground_state,recommended,3.729048791380943,4.476892004936747,6.107805827927393,1.9733276387441705,2.3690692246863674,3.2321116527597065
