z,symbol,charge,electron_count,configuration
40,Zr,27,13,[Ne] 3s2 3p1
40,Zr,28,12,[Ne] 3s2
40,Zr,29,11,[Ne] 3s1
40,Zr,30,10,1s2 2s2 2p6
40,Zr,31,9,1s2 2s2 2p5
40,Zr,32,8,1s2 2s2 2p4
40,Zr,33,7,1s2 2s2 2p3
40,Zr,34,6,1s2 2s2 2p2
40,Zr,35,5,1s2 2s2 2p1
40,Zr,36,4,1s2 2s2
40,Zr,37,3,1s2 2s1
40,Zr,38,2,1s2
40,Zr,39,1,1s1
41,Nb,0,41,[Kr] 4d4 5s1
41,Nb,1,40,[Kr] 4d4
41,Nb,2,39,[Kr] 4d3
41,Nb,3,38,[Kr] 4d2
41,Nb,4,37,[Kr] 4d1
41,Nb,5,36,[Ar] 3d10 4s2 4p6
41,Nb,6,35,[Ar] 3d10 4s2 4p5
41,Nb,7,34,[Ar] 3d10 4s2 4p4
41,Nb,8,33,[Ar] 3d10 4s2 4p3
41,Nb,9,32,[Ar] 3d10 4s2 4p2
41,Nb,10,31,[Ar] 3d10 4s2 4p1
41,Nb,11,30,[Ar] 3d10 4s2
41,Nb,12,29,[Ar] 3d10 4s1
41,Nb,13,28,[Ar] 3d10
41,Nb,14,27,[Ar] 3d9
41,Nb,15,26,[Ar] 3d8
41,Nb,16,25,[Ar] 3d7
41,Nb,17,24,[Ar] 3d6
41,Nb,18,23,[Ar] 3d5
41,Nb,19,22,[Ar] 3d4
41,Nb,20,21,[Ar] 3d3
41,Nb,21,20,[Ar] 3d2
41,Nb,22,19,[Ar] 3d1
41,Nb,23,18,[Ne] 3s2 3p6
41,Nb,24,17,[Ne] 3s2 3p5
41,Nb,25,16,[Ne] 3s2 3p4
41,Nb,26,15,[Ne] 3s2 3p3
41,Nb,27,14,[Ne] 3s2 3p2
41,Nb,28,13,[Ne] 3s2 3p1
41,Nb,29,12,[Ne] 3s2
41,Nb,30,11,[Ne] 3s1
41,Nb,31,10,1s2 2s2 2p6
41,Nb,32,9,1s2 2s2 2p5
41,Nb,33,8,1s2 2s2 2p4
41,Nb,34,7,1s2 2s2 2p3
41,Nb,35,6,1s2 2s2 2p2
41,Nb,36,5,1s2 2s2 2p1
41,Nb,37,4,1s2 2s2
41,Nb,38,3,1s2 2s1
41,Nb,39,2,1s2
41,Nb,40,1,1s1
42,Mo,0,42,[Kr] 4d5 5s1
42,Mo,1,41,[Kr] 4d5
42,Mo,2,40,[Kr] 4d4
42,Mo,3,39,[Kr] 4d3
42,Mo,4,38,[Kr] 4d2
42,Mo,5,37,[Kr] 4d1
42,Mo,6,36,[Ar] 3d10 4s2 4p6
42,Mo,7,35,[Ar] 3d10 4s2 4p5
42,Mo,8,34,[Ar] 3d10 4s2 4p4
42,Mo,9,33,[Ar] 3d10 4s2 4p3
42,Mo,10,32,[Ar] 3d10 4s2 4p2
42,Mo,11,31,[Ar] 3d10 4s2 4p1
42,Mo,12,30,[Ar] 3d10 4s2
42,Mo,13,29,[Ar] 3d10 4s1
42,Mo,14,28,[Ar] 3d10
42,Mo,15,27,[Ar] 3d9
42,Mo,16,26,[Ar] 3d8
42,Mo,17,25,[Ar] 3d7
42,Mo,18,24,[Ar] 3d6
42,Mo,19,23,[Ar] 3d5
42,Mo,20,22,[Ar] 3d4
42,Mo,21,21,[Ar] 3d3
42,Mo,22,20,[Ar] 3d2
42,Mo,23,19,[Ar] 3d1
42,Mo,24,18,[Ne] 3s2 3p6
42,Mo,25,17,[Ne] 3s2 3p5
42,Mo,26,16,[Ne] 3s2 3p4
42,Mo,27,15,[Ne] 3s2 3p3
42,Mo,28,14,[Ne] 3s2 3p2
42,Mo,29,13,[Ne] 3s2 3p1
42,Mo,30,12,[Ne] 3s2
42,Mo,31,11,[Ne] 3s1
42,Mo,32,10,1s2 2s2 2p6
42,Mo,33,9,1s2 2s2 2p5
42,Mo,34,8,1s2 2s2 2p4
42,Mo,35,7,1s2 2s2 2p3
42,Mo,36,6,1s2 2s2 2p2
42,Mo,37,5,1s2 2s2 2p1
42,Mo,38,4,1s2 2s2
42,Mo,39,3,1s2 2s1
42,Mo,40,2,1s2
42,Mo,41,1,1s1
43,Tc,0,43,[Kr] 4d5 5s2
43,Tc,1,42,[Kr] 4d5 5s1
43,Tc,2,41,[Kr] 4d5
43,Tc,3,40,[Kr] 4d4
43,Tc,4,39,[Kr] 4d3
43,Tc,5,38,[Kr] 4d2
43,Tc,6,37,[Kr] 4d1
43,Tc,7,36,[Ar] 3d10 4s2 4p6
43,Tc,8,35,[Ar] 3d10 4s2 4p5
43,Tc,9,34,[Ar] 3d10 4s2 4p4
43,Tc,10,33,[Ar] 3d10 4s2 4p3
43,Tc,11,32,[Ar] 3d10 4s2 4p2
43,Tc,12,31,[Ar] 3d10 4s2 4p1
43,Tc,13,30,[Ar] 3d10 4s2
43,Tc,14,29,[Ar] 3d10 4s1
43,Tc,15,28,[Ar] 3d10
43,Tc,16,27,[Ar] 3d9
43,Tc,17,26,[Ar] 3d8
43,Tc,18,25,[Ar] 3d7
43,Tc,19,24,[Ar] 3d6
43,Tc,20,23,[Ar] 3d5
43,Tc,21,22,[Ar] 3d4
43,Tc,22,21,[Ar] 3d3
43,Tc,23,20,[Ar] 3d2
43,Tc,24,19,[Ar] 3d1
43,Tc,25,18,[Ne] 3s2 3p6
43,Tc,26,17,[Ne] 3s2 3p5
43,Tc,27,16,[Ne] 3s2 3p4
43,Tc,28,15,[Ne] 3s2 3p3
43,Tc,29,14,[Ne] 3s2 3p2
43,Tc,30,13,[Ne] 3s2 3p1
43,Tc,31,12,[Ne] 3s2
43,Tc,32,11,[Ne] 3s1
43,Tc,33,10,1s2 2s2 2p6
43,Tc,34,9,1s2 2s2 2p5
43,Tc,35,8,1s2 2s2 2p4
43,Tc,36,7,1s2 2s2 2p3
43,Tc,37,6,1s2 2s2 2p2
43,Tc,38,5,1s2 2s2 2p1
43,Tc,39,4,1s2 2s2
43,Tc,40,3,1s2 2s1
43,Tc,41,2,1s2
43,Tc,42,1,1s1
44,Ru,0,44,[Kr] 4d7 5s1
44,Ru,1,43,[Kr] 4d7
44,Ru,2,42,[Kr] 4d6
44,Ru,3,41,[Kr] 4d5
44,Ru,4,40,[Kr] 4d4
44,Ru,5,39,[Kr] 4d3
44,Ru,6,38,[Kr] 4d2
44,Ru,7,37,[Kr] 4d1
44,Ru,8,36,[Ar] 3d10 4s2 4p6
44,Ru,9,35,[Ar] 3d10 4s2 4p5
44,Ru,10,34,[Ar] 3d10 4s2 4p4
44,Ru,11,33,[Ar] 3d10 4s2 4p3
44,Ru,12,32,[Ar] 3d10 4s2 4p2
44,Ru,13,31,[Ar] 3d10 4s2 4p1
44,Ru,14,30,[Ar] 3d10 4s2
44,Ru,15,29,[Ar] 3d10 4s1
44,Ru,16,28,[Ar] 3d10
44,Ru,17,27,[Ar] 3d9
44,Ru,18,26,[Ar] 3d8
44,Ru,19,25,[Ar] 3d7
44,Ru,20,24,[Ar] 3d6
44,Ru,21,23,[Ar] 3d5
44,Ru,22,22,[Ar] 3d4
44,Ru,23,21,[Ar] 3d3
44,Ru,24,20,[Ar] 3d2
44,Ru,25,19,[Ar] 3d1
44,Ru,26,18,[Ne] 3s2 3p6
44,Ru,27,17,[Ne] 3s2 3p5
44,Ru,28,16,[Ne] 3s2 3p4
44,Ru,29,15,[Ne] 3s2 3p3
44,Ru,30,14,[Ne] 3s2 3p2
44,Ru,31,13,[Ne] 3s2 3p1
44,Ru,32,12,[Ne] 3s2
44,Ru,33,11,[Ne] 3s1
44,Ru,34,10,1s2 2s2 2p6
44,Ru,35,9,1s2 2s2 2p5
44,Ru,36,8,1s2 2s2 2p4
44,Ru,37,7,1s2 2s2 2p3
44,Ru,38,6,1s2 2s2 2p2
44,Ru,39,5,1s2 2s2 2p1
44,Ru,40,4,1s2 2s2
44,Ru,41,3,1s2 2s1
44,Ru,42,2,1s2
44,Ru,43,1,1s1
45,Rh,0,45,[Kr] 4d8 5s1
45,Rh,1,44,[Kr] 4d8
45,Rh,2,43,[Kr] 4d7
45,Rh,3,42,[Kr] 4d6
45,Rh,4,41,[Kr] 4d5
45,Rh,5,40,[Kr] 4d4
45,Rh,6,39,[Kr] 4d3
45,Rh,7,38,[Kr] 4d2
45,Rh,8,37,[Kr] 4d1
45,Rh,9,36,[Ar] 3d10 4s2 4p6
45,Rh,10,35,[Ar] 3d10 4s2 4p5
45,Rh,11,34,[Ar] 3d10 4s2 4p4
45,Rh,12,33,[Ar] 3d10 4s2 4p3
45,Rh,13,32,[Ar] 3d10 4s2 4p2
45,Rh,14,31,[Ar] 3d10 4s2 4p1
45,Rh,15,30,[Ar] 3d10 4s2
45,Rh,16,29,[Ar] 3d10 4s1
45,Rh,17,28,[Ar] 3d10
45,Rh,18,27,[Ar] 3d9
45,Rh,19,26,[Ar] 3d8
45,Rh,20,25,[Ar] 3d7
45,Rh,21,24,[Ar] 3d6
45,Rh,22,23,[Ar] 3d5
45,Rh,23,22,[Ar] 3d4
45,Rh,24,21,[Ar] 3d3
45,Rh,25,20,[Ar] 3d2
45,Rh,26,19,[Ar] 3d1
45,Rh,27,18,[Ne] 3s2 3p6
45,Rh,28,17,[Ne] 3s2 3p5
45,Rh,29,16,[Ne] 3s2 3p4
45,Rh,30,15,[Ne] 3s2 3p3
45,Rh,31,14,[Ne] 3s2 3p2
45,Rh,32,13,[Ne] 3s2 3p1
45,Rh,33,12,[Ne] 3s2
45,Rh,34,11,[Ne] 3s1
45,Rh,35,10,1s2 2s2 2p6
45,Rh,36,9,1s2 2s2 2p5
45,Rh,37,8,1s2 2s2 2p4
45,Rh,38,7,1s2 2s2 2p3
45,Rh,39,6,1s2 2s2 2p2
45,Rh,40,5,1s2 2s2 2p1
45,Rh,41,4,1s2 2s2
45,Rh,42,3,1s2 2s1
45,Rh,43,2,1s2
45,Rh,44,1,1s1
46,Pd,0,46,[Kr] 4d10
46,Pd,1,45,[Kr] 4d9
46,Pd,2,44,[Kr] 4d8
46,Pd,3,43,[Kr] 4d7
46,Pd,4,42,[Kr] 4d6
46,Pd,5,41,[Kr] 4d5
46,Pd,6,40,[Kr] 4d4
46,Pd,7,39,[Kr] 4d3
46,Pd,8,38,[Kr] 4d2
46,Pd,9,37,[Kr] 4d1
46,Pd,10,36,[Ar] 3d10 4s2 4p6
46,Pd,11,35,[Ar] 3d10 4s2 4p5
46,Pd,12,34,[Ar] 3d10 4s2 4p4
46,Pd,13,33,[Ar] 3d10 4s2 4p3
46,Pd,14,32,[Ar] 3d10 4s2 4p2
46,Pd,15,31,[Ar] 3d10 4s2 4p1
46,Pd,16,30,[Ar] 3d10 4s2
46,Pd,17,29,[Ar] 3d10 4s1
46,Pd,18,28,[Ar] 3d10
46,Pd,19,27,[Ar] 3d9
46,Pd,20,26,[Ar] 3d8
46,Pd,21,25,[Ar] 3d7
46,Pd,22,24,[Ar] 3d6
46,Pd,23,23,[Ar] 3d5
46,Pd,24,22,[Ar] 3d4
46,Pd,25,21,[Ar] 3d3
46,Pd,26,20,[Ar] 3d2
46,Pd,27,19,[Ar] 3d1
46,Pd,28,18,[Ne] 3s2 3p6
46,Pd,29,17,[Ne] 3s2 3p5
46,Pd,30,16,[Ne] 3s2 3p4
46,Pd,31,15,[Ne] 3s2 3p3
46,Pd,32,14,[Ne] 3s2 3p2
46,Pd,33,13,[Ne] 3s2 3p1
46,Pd,34,12,[Ne] 3s2
46,Pd,35,11,[Ne] 3s1
46,Pd,36,10,1s2 2s2 2p6
46,Pd,37,9,1s2 2s2 2p5
46,Pd,38,8,1s2 2s2 2p4
46,Pd,39,7,1s2 2s2 2p3
46,Pd,40,6,1s2 2s2 2p2
46,Pd,41,5,1s2 2s2 2p1
46,Pd,42,4,1s2 2s2
46,Pd,43,3,1s2 2s1
46,Pd,44,2,1s2
46,Pd,45,1,1s1
47,Ag,0,47,[Kr] 4d10 5s1
47,Ag,1,46,[Kr] 4d10
47,Ag,2,45,[Kr] 4d9
47,Ag,3,44,[Kr] 4d8
47,Ag,4,43,[Kr] 4d7
47,Ag,5,42,[Kr] 4d6
47,Ag,6,41,[Kr] 4d5
47,Ag,7,40,[Kr] 4d4
47,Ag,8,39,[Kr] 4d3
47,Ag,9,38,[Kr] 4d2
47,Ag,10,37,[Kr] 4d1
47,Ag,11,36,[Ar] 3d10 4s2 4p6
47,Ag,12,35,[Ar] 3d10 4s2 4p5
47,Ag,13,34,[Ar] 3d10 4s2 4p4
47,Ag,14,33,[Ar] 3d10 4s2 4p3
47,Ag,15,32,[Ar] 3d10 4s2 4p2
47,Ag,16,31,[Ar] 3d10 4s2 4p1
47,Ag,17,30,[Ar] 3d10 4s2
47,Ag,18,29,[Ar] 3d10 4s1
47,Ag,19,28,[Ar] 3d10
47,Ag,20,27,[Ar] 3d9
47,Ag,21,26,[Ar] 3d8
47,Ag,22,25,[Ar] 3d7
47,Ag,23,24,[Ar] 3d6
47,Ag,24,23,[Ar] 3d5
47,Ag,25,22,[Ar] 3d4
47,Ag,26,21,[Ar] 3d3
47,Ag,27,20,[Ar] 3d2
47,Ag,28,19,[Ar] 3d1
47,Ag,29,18,[Ne] 3s2 3p6
47,Ag,30,17,[Ne] 3s2 3p5
47,Ag,31,16,[Ne] 3s2 3p4
47,Ag,32,15,[Ne] 3s2 3p3
47,Ag,33,14,[Ne] 3s2 3p2
47,Ag,34,13,[Ne] 3s2 3p1
47,Ag,35,12,[Ne] 3s2
47,Ag,36,11,[Ne] 3s1
47,Ag,37,10,1s2 2s2 2p6
47,Ag,38,9,1s2 2s2 2p5
47,Ag,39,8,1s2 2s2 2p4
47,Ag,40,7,1s2 2s2 2p3
47,Ag,41,6,1s2 2s2 2p2
47,Ag,42,5,1s2 2s2 2p1
47,Ag,43,4,1s2 2s2
47,Ag,44,3,1s2 2s1
47,Ag,45,2,1s2
47,Ag,46,1,1s1
48,Cd,0,48,[Kr] 4d10 5s2
48,Cd,1,47,[Kr] 4d10 5s1
48,Cd,2,46,[Kr] 4d10
48,Cd,3,45,[Kr] 4d9
48,Cd,4,44,[Kr] 4d8
48,Cd,5,43,[Kr] 4d7
48,Cd,6,42,[Kr] 4d6
48,Cd,7,41,[Kr] 4d5
48,Cd,8,40,[Kr] 4d4
48,Cd,9,39,[Kr] 4d3
48,Cd,10,38,[Kr] 4d2
48,Cd,11,37,[Kr] 4d1
48,Cd,12,36,[Ar] 3d10 4s2 4p6
48,Cd,13,35,[Ar] 3d10 4s2 4p5
48,Cd,14,34,[Ar] 3d10 4s2 4p4
48,Cd,15,33,[Ar] 3d10 4s2 4p3
48,Cd,16,32,[Ar] 3d10 4s2 4p2
48,Cd,17,31,[Ar] 3d10 4s2 4p1
48,Cd,18,30,[Ar] 3d10 4s2
48,Cd,19,29,[Ar] 3d10 4s1
48,Cd,20,28,[Ar] 3d10
48,Cd,21,27,[Ar] 3d9
48,Cd,22,26,[Ar] 3d8
48,Cd,23,25,[Ar] 3d7
48,Cd,24,24,[Ar] 3d6
48,Cd,25,23,[Ar] 3d5
48,Cd,26,22,[Ar] 3d4
48,Cd,27,21,[Ar] 3d3
48,Cd,28,20,[Ar] 3d2
48,Cd,29,19,[Ar] 3d1
48,Cd,30,18,[Ne] 3s2 3p6
48,Cd,31,17,[Ne] 3s2 3p5
48,Cd,32,16,[Ne] 3s2 3p4
48,Cd,33,15,[Ne] 3s2 3p3
48,Cd,34,14,[Ne] 3s2 3p2
48,Cd,35,13,[Ne] 3s2 3p1
48,Cd,36,12,[Ne] 3s2
48,Cd,37,11,[Ne] 3s1
48,Cd,38,10,1s2 2s2 2p6
48,Cd,39,9,1s2 2s2 2p5
48,Cd,40,8,1s2 2s2 2p4
48,Cd,41,7,1s2 2s2 2p3
48,Cd,42,6,1s2 2s2 2p2
48,Cd,43,5,1s2 2s2 2p1
48,Cd,44,4,1s2 2s2
48,Cd,45,3,1s2 2s1
48,Cd,46,2,1s2
48,Cd,47,1,1s1
49,In,0,49,[Cd] 5p1
49,In,1,48,[Kr] 4d10 5s2
49,In,2,47,[Kr] 4d10 5s1
49,In,3,46,[Kr] 4d10
49,In,4,45,[Kr] 4d9
49,In,5,44,[Kr] 4d8
49,In,6,43,[Kr] 4d7
49,In,7,42,[Kr] 4d6
49,In,8,41,[Kr] 4d5
49,In,9,40,[Kr] 4d4
49,In,10,39,[Kr] 4d3
49,In,11,38,[Kr] 4d2
49,In,12,37,[Kr] 4d1
49,In,13,36,[Ar] 3d10 4s2 4p6
49,In,14,35,[Ar] 3d10 4s2 4p5
49,In,15,34,[Ar] 3d10 4s2 4p4
49,In,16,33,[Ar] 3d10 4s2 4p3
49,In,17,32,[Ar] 3d10 4s2 4p2
49,In,18,31,[Ar] 3d10 4s2 4p1
49,In,19,30,[Ar] 3d10 4s2
49,In,20,29,[Ar] 3d10 4s1
49,In,21,28,[Ar] 3d10
49,In,22,27,[Ar] 3d9
49,In,23,26,[Ar] 3d8
49,In,24,25,[Ar] 3d7
49,In,25,24,[Ar] 3d6
49,In,26,23,[Ar] 3d5
49,In,27,22,[Ar] 3d4
49,In,28,21,[Ar] 3d3
49,In,29,20,[Ar] 3d2
49,In,30,19,[Ar] 3d1
49,In,31,18,[Ne] 3s2 3p6
49,In,32,17,[Ne] 3s2 3p5
49,In,33,16,[Ne] 3s2 3p4
49,In,34,15,[Ne] 3s2 3p3
49,In,35,14,[Ne] 3s2 3p2
49,In,36,13,[Ne] 3s2 3p1
49,In,37,12,[Ne] 3s2
49,In,38,11,[Ne] 3s1
49,In,39,10,1s2 2s2 2p6
49,In,40,9,1s2 2s2 2p5
49,In,41,8,1s2 2s2 2p4
49,In,42,7,1s2 2s2 2p3
49,In,43,6,1s2 2s2 2p2
49,In,44,5,1s2 2s2 2p1
49,In,45,4,1s2 2s2
49,In,46,3,1s2 2s1
49,In,47,2,1s2
49,In,48,1,1s1
50,Sn,0,50,[Cd] 5p2
50,Sn,1,49,[Cd] 5p1
50,Sn,2,48,[Kr] 4d10 5s2
50,Sn,3,47,[Kr] 4d10 5s1
50,Sn,4,46,[Kr] 4d10
50,Sn,5,45,[Kr] 4d9
50,Sn,6,44,[Kr] 4d8
50,Sn,7,43,[Kr] 4d7
50,Sn,8,42,[Kr] 4d6
50,Sn,9,41,[Kr] 4d5
50,Sn,10,40,[Kr] 4d4
50,Sn,11,39,[Kr] 4d3
50,Sn,12,38,[Kr] 4d2
50,Sn,13,37,[Kr] 4d1
50,Sn,14,36,[Ar] 3d10 4s2 4p6
50,Sn,15,35,[Ar] 3d10 4s2 4p5
50,Sn,16,34,[Ar] 3d10 4s2 4p4
50,Sn,17,33,[Ar] 3d10 4s2 4p3
50,Sn,18,32,[Ar] 3d10 4s2 4p2
50,Sn,19,31,[Ar] 3d10 4s2 4p1
50,Sn,20,30,[Ar] 3d10 4s2
50,Sn,21,29,[Ar] 3d10 4s1
50,Sn,22,28,[Ar] 3d10
50,Sn,23,27,[Ar] 3d9
50,Sn,24,26,[Ar] 3d8
50,Sn,25,25,[Ar] 3d7
50,Sn,26,24,[Ar] 3d6
50,Sn,27,23,[Ar] 3d5
50,Sn,28,22,[Ar] 3d4
50,Sn,29,21,[Ar] 3d3
50,Sn,30,20,[Ar] 3d2
50,Sn,31,19,[Ar] 3d1
50,Sn,32,18,[Ne] 3s2 3p6
50,Sn,33,17,[Ne] 3s2 3p5
50,Sn,34,16,[Ne] 3s2 3p4
50,Sn,35,15,[Ne] 3s2 3p3
50,Sn,36,14,[Ne] 3s2 3p2
50,Sn,37,13,[Ne] 3s2 3p1
50,Sn,38,12,[Ne] 3s2
50,Sn,39,11,[Ne] 3s1
50,Sn,40,10,1s2 2s2 2p6
50,Sn,41,9,1s2 2s2 2p5
50,Sn,42,8,1s2 2s2 2p4
50,Sn,43,7,1s2 2s2 2p3
50,Sn,44,6,1s2 2s2 2p2
50,Sn,45,5,1s2 2s2 2p1
50,Sn,46,4,1s2 2s2
50,Sn,47,3,1s2 2s1
50,Sn,48,2,1s2
50,Sn,49,1,1s1
51,Sb,0,51,[Cd] 5p3
51,Sb,1,50,[Cd] 5p2
51,Sb,2,49,[Cd] 5p1
51,Sb,3,48,[Kr] 4d10 5s2
51,Sb,4,47,[Kr] 4d10 5s1
51,Sb,5,46,[Kr] 4d10
51,Sb,6,45,[Kr] 4d9
51,Sb,7,44,[Kr] 4d8
51,Sb,8,43,[Kr] 4d7
51,Sb,9,42,[Kr] 4d6
51,Sb,10,41,[Kr] 4d5
51,Sb,11,40,[Kr] 4d4
51,Sb,12,39,[Kr] 4d3
51,Sb,13,38,[Kr] 4d2
51,Sb,14,37,[Kr] 4d1
51,Sb,15,36,[Ar] 3d10 4s2 4p6
51,Sb,16,35,[Ar] 3d10 4s2 4p5
51,Sb,17,34,[Ar] 3d10 4s2 4p4
51,Sb,18,33,[Ar] 3d10 4s2 4p3
51,Sb,19,32,[Ar] 3d10 4s2 4p2
51,Sb,20,31,[Ar] 3d10 4s2 4p1
51,Sb,21,30,[Ar] 3d10 4s2
51,Sb,22,29,[Ar] 3d10 4s1
51,Sb,23,28,[Ar] 3d10
51,Sb,24,27,[Ar] 3d9
51,Sb,25,26,[Ar] 3d8
51,Sb,26,25,[Ar] 3d7
51,Sb,27,24,[Ar] 3d6
51,Sb,28,23,[Ar] 3d5
51,Sb,29,22,[Ar] 3d4
51,Sb,30,21,[Ar] 3d3
51,Sb,31,20,[Ar] 3d2
51,Sb,32,19,[Ar] 3d1
51,Sb,33,18,[Ne] 3s2 3p6
51,Sb,34,17,[Ne] 3s2 3p5
51,Sb,35,16,[Ne] 3s2 3p4
51,Sb,36,15,[Ne] 3s2 3p3
51,Sb,37,14,[Ne] 3s2 3p2
51,Sb,38,13,[Ne] 3s2 3p1
51,Sb,39,12,[Ne] 3s2
51,Sb,40,11,[Ne] 3s1
51,Sb,41,10,1s2 2s2 2p6
51,Sb,42,9,1s2 2s2 2p5
51,Sb,43,8,1s2 2s2 2p4
51,Sb,44,7,1s2 2s2 2p3
51,Sb,45,6,1s2 2s2 2p2
51,Sb,46,5,1s2 2s2 2p1
51,Sb,47,4,1s2 2s2
51,Sb,48,3,1s2 2s1
51,Sb,49,2,1s2
51,Sb,50,1,1s1
52,Te,0,52,[Cd] 5p4
52,Te,1,51,[Cd] 5p3
52,Te,2,50,[Cd] 5p2
52,Te,3,49,[Cd] 5p1
52,Te,4,48,[Kr] 4d10 5s2
52,Te,5,47,[Kr] 4d10 5s1
52,Te,6,46,[Kr] 4d10
52,Te,7,45,[Kr] 4d9
52,Te,8,44,[Kr] 4d8
52,Te,9,43,[Kr] 4d7
52,Te,10,42,[Kr] 4d6
52,Te,11,41,[Kr] 4d5
52,Te,12,40,[Kr] 4d4
52,Te,13,39,[Kr] 4d3
52,Te,14,38,[Kr] 4d2
52,Te,15,37,[Kr] 4d1
52,Te,16,36,[Ar] 3d10 4s2 4p6
52,Te,17,35,[Ar] 3d10 4s2 4p5
52,Te,18,34,[Ar] 3d10 4s2 4p4
52,Te,19,33,[Ar] 3d10 4s2 4p3
52,Te,20,32,[Ar] 3d10 4s2 4p2
52,Te,21,31,[Ar] 3d10 4s2 4p1
52,Te,22,30,[Ar] 3d10 4s2
52,Te,23,29,[Ar] 3d10 4s1
52,Te,24,28,[Ar] 3d10
52,Te,25,27,[Ar] 3d9
52,Te,26,26,[Ar] 3d8
52,Te,27,25,[Ar] 3d7
52,Te,28,24,[Ar] 3d6
52,Te,29,23,[Ar] 3d5
52,Te,30,22,[Ar] 3d4
52,Te,31,21,[Ar] 3d3
52,Te,32,20,[Ar] 3d2
52,Te,33,19,[Ar] 3d1
52,Te,34,18,[Ne] 3s2 3p6
52,Te,35,17,[Ne] 3s2 3p5
52,Te,36,16,[Ne] 3s2 3p4
52,Te,37,15,[Ne] 3s2 3p3
52,Te,38,14,[Ne] 3s2 3p2
52,Te,39,13,[Ne] 3s2 3p1
52,Te,40,12,[Ne] 3s2
52,Te,41,11,[Ne] 3s1
52,Te,42,10,1s2 2s2 2p6
52,Te,43,9,1s2 2s2 2p5
52,Te,44,8,1s2 2s2 2p4
52,Te,45,7,1s2 2s2 2p3
52,Te,46,6,1s2 2s2 2p2
52,Te,47,5,1s2 2s2 2p1
52,Te,48,4,1s2 2s2
52,Te,49,3,1s2 2s1
52,Te,50,2,1s2
52,Te,51,1,1s1
53,I,0,53,[Cd] 5p5
53,I,1,52,[Cd] 5p4
53,I,2,51,[Cd] 5p3
53,I,3,50,[Cd] 5p2
53,I,4,49,[Cd] 5p1
53,I,5,48,[Kr] 4d10 5s2
53,I,6,47,[Kr] 4d10 5s1
53,I,7,46,[Kr] 4d10
53,I,8,45,[Kr] 4d9
53,I,9,44,[Kr] 4d8
53,I,10,43,[Kr] 4d7
53,I,11,42,[Kr] 4d6
53,I,12,41,[Kr] 4d5
53,I,13,40,[Kr] 4d4
53,I,14,39,[Kr] 4d3
53,I,15,38,[Kr] 4d2
53,I,16,37,[Kr] 4d1
53,I,17,36,[Ar] 3d10 4s2 4p6
53,I,18,35,[Ar] 3d10 4s2 4p5
53,I,19,34,[Ar] 3d10 4s2 4p4
53,I,20,33,[Ar] 3d10 4s2 4p3
53,I,21,32,[Ar] 3d10 4s2 4p2
53,I,22,31,[Ar] 3d10 4s2 4p1
53,I,23,30,[Ar] 3d10 4s2
53,I,24,29,[Ar] 3d10 4s1
53,I,25,28,[Ar] 3d10
53,I,26,27,[Ar] 3d9
53,I,27,26,[Ar] 3d8
53,I,28,25,[Ar] 3d7
53,I,29,24,[Ar] 3d6
53,I,30,23,[Ar] 3d5
53,I,31,22,[Ar] 3d4
53,I,32,21,[Ar] 3d3
53,I,33,20,[Ar] 3d2
53,I,34,19,[Ar] 3d1
53,I,35,18,[Ne] 3s2 3p6
53,I,36,17,[Ne] 3s2 3p5
53,I,37,16,[Ne] 3s2 3p4
53,I,38,15,[Ne] 3s2 3p3
53,I,39,14,[Ne] 3s2 3p2
53,I,40,13,[Ne] 3s2 3p1
53,I,41,12,[Ne] 3s2
53,I,42,11,[Ne] 3s1
53,I,43,10,1s2 2s2 2p6
53,I,44,9,1s2 2s2 2p5
53,I,45,8,1s2 2s2 2p4
53,I,46,7,1s2 2s2 2p3
53,I,47,6,1s2 2s2 2p2
53,I,48,5,1s2 2s2 2p1
53,I,49,4,1s2 2s2
53,I,50,3,1s2 2s1
53,I,51,2,1s2
53,I,52,1,1s1
54,Xe,0,54,[Cd] 5p6
54,Xe,1,53,[Cd] 5p5
54,Xe,2,52,[Cd] 5p4
54,Xe,3,51,[Cd] 5p3
54,Xe,4,50,[Cd] 5p2
54,Xe,5,49,[Cd] 5p1
54,Xe,6,48,[Kr] 4d10 5s2
54,Xe,7,47,[Kr] 4d10 5s1
54,Xe,8,46,[Kr] 4d10
54,Xe,9,45,[Kr] 4d9
54,Xe,10,44,[Kr] 4d8
54,Xe,11,43,[Kr] 4d7
54,Xe,12,42,[Kr] 4d6
54,Xe,13,41,[Kr] 4d5
54,Xe,14,40,[Kr] 4d4
54,Xe,15,39,[Kr] 4d3
54,Xe,16,38,[Kr] 4d2
54,Xe,17,37,[Kr] 4d1
54,Xe,18,36,[Ar] 3d10 4s2 4p6
54,Xe,19,35,[Ar] 3d10 4s2 4p5
54,Xe,20,34,[Ar] 3d10 4s2 4p4
54,Xe,21,33,[Ar] 3d10 4s2 4p3
54,Xe,22,32,[Ar] 3d10 4s2 4p2
54,Xe,23,31,[Ar] 3d10 4s2 4p1
54,Xe,24,30,[Ar] 3d10 4s2
54,Xe,25,29,[Ar] 3d10 4s1
54,Xe,26,28,[Ar] 3d10
54,Xe,27,27,[Ar] 3d9
54,Xe,28,26,[Ar] 3d8
54,Xe,29,25,[Ar] 3d7
54,Xe,30,24,[Ar] 3d6
